H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	3525011	3725011	harbor1	chr1	3558525	3558828	LTR/ERV1	1243	+	152	3558677	33666
chr1	150461410	150661410	harbor1	chr1	150531155	150531212	LTR/ERV1	2485	+	28	150531183	69773
chr1	150461410	150661410	harbor1	chr1	150531490	150531932	LTR/ERV1	2485	+	221	150531711	70301
chr1	150461410	150661410	harbor1	chr1	150532207	150532247	LTR/ERV1	2485	+	20	150532227	70817
chr1	21742123	21942123	harbor1	chr1	21789463	21789492	LTR/ERV1	3134	+	14	21789477	47354
chr1	21742123	21942123	harbor1	chr1	21789793	21790371	LTR/ERV1	3134	+	289	21790082	47959
chr1	15942113	16142113	harbor1	chr1	16010782	16011057	LTR/ERV1	1082	+	138	16010920	68807
chr1	2375365	2575365	harbor1	chr1	2384393	2384801	LTR/ERV1	980	+	204	2384597	9232
chr1	16596895	16796895	harbor1	chr1	16667986	16668531	LTR/ERV1	3509	+	272	16668258	71363
chr1	16596895	16796895	harbor1	chr1	16674777	16675682	LTR/ERV1	4973	+	452	16675229	78334
chr1	960023	1160023	harbor1	chr1	985600	986089	LTR/ERV1	2410	+	244	985844	25821
chr1	960023	1160023	harbor1	chr1	986390	986445	LTR/ERV1	2410	+	28	986418	26395
chr1	89721500	89921500	harbor1	chr1	89768952	89769961	LTR/ERV1	1320	+	504	89769456	47956
chr1	89721500	89921500	harbor1	chr1	89799391	89799683	LTR/ERV1	557	+	146	89799537	78037
chr1	16625292	16825292	harbor1	chr1	16667986	16668531	LTR/ERV1	3509	+	272	16668258	42966
chr1	16625292	16825292	harbor1	chr1	16674777	16675682	LTR/ERV1	4973	+	452	16675229	49937
chr1	16526616	16726616	harbor1	chr1	16540199	16541110	LTR/ERV1	4875	+	456	16540655	14039
chr1	227441496	227641496	harbor1	chr1	227499424	227499610	LTR/ERV1	830	+	93	227499517	58021
chr1	227441496	227641496	harbor1	chr1	227500566	227503796	LTR/ERV1	12933	+	1615	227502181	60685
chr1	227441496	227641496	harbor1	chr1	227504450	227506052	LTR/ERV1	12933	+	801	227505251	63755
chr1	227441496	227641496	harbor1	chr1	227516809	227518273	LTR/ERV1	2504	+	732	227517541	76045
chr1	16526581	16726581	harbor1	chr1	16540199	16541110	LTR/ERV1	4875	+	456	16540655	14074
chr1	145348336	145548336	harbor1	chr1	145409349	145410006	LTR/ERV1	4808	+	328	145409677	61341
chr1	145348336	145548336	harbor1	chr1	145445027	145445129	LTR/ERV1	649	+	51	145445078	96742
chr1	77131620	77331620	harbor1	chr1	77172110	77172482	LTR/ERV1	2494	+	186	77172296	40676
chr1	77131620	77331620	harbor1	chr1	77172483	77172639	LTR/ERV1	3459	+	78	77172561	40941
chr1	77131620	77331620	harbor1	chr1	77172933	77173323	LTR/ERV1	3459	+	195	77173128	41508
chr1	77131620	77331620	harbor1	chr1	77173324	77174200	LTR/ERV1	5503	+	438	77173762	42142
chr1	77131620	77331620	harbor1	chr1	77174203	77174321	LTR/ERV1	742	+	59	77174262	42642
chr1	77131620	77331620	harbor1	chr1	77174318	77177226	LTR/ERV1	14709	+	1454	77175772	44152
chr1	77131620	77331620	harbor1	chr1	77177738	77179323	LTR/ERV1	14709	+	792	77178530	46910
chr1	77131620	77331620	harbor1	chr1	77179324	77179746	LTR/ERV1	2685	+	211	77179535	47915
chr1	77131620	77331620	harbor1	chr1	77220810	77221119	LTR/ERV1	1347	+	154	77220964	89344
chr1	77131620	77331620	harbor1	chr1	77223674	77223881	LTR/ERV1	878	+	104	77223778	92158
chr1	11666518	11866518	harbor1	chr1	11688684	11689013	LTR/ERV1	4003	+	164	11688848	22330
chr1	11666518	11866518	harbor1	chr1	11689610	11689849	LTR/ERV1	4003	+	120	11689730	23212
chr1	11666518	11866518	harbor1	chr1	11732645	11732829	LTR/ERV1	2679	+	92	11732737	66219
chr1	11666518	11866518	harbor1	chr1	11733124	11733550	LTR/ERV1	2679	+	213	11733337	66819
chr1	11666518	11866518	harbor1	chr1	11735362	11735702	LTR/ERV1	894	+	170	11735532	69014
chr1	6685469	6885469	harbor1	chr1	6685409	6685826	LTR/ERV1	2226	+	208	6685617	148
chr1	6685469	6885469	harbor1	chr1	6693819	6693834	LTR/ERV1	848	+	8	6693827	8358
chr1	6685469	6885469	harbor1	chr1	6694137	6694304	LTR/ERV1	848	+	84	6694221	8752
chr1	6685469	6885469	harbor1	chr1	6694340	6694611	LTR/ERV1	936	+	136	6694476	9007
