H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	21742123	21942123	harbor1	chr1	21785464	21785750	LTR/ERV1	2463	-	143	21785607	43484
chr1	21742123	21942123	harbor1	chr1	21786035	21786132	LTR/ERV1	2463	-	48	21786083	43960
chr1	21742123	21942123	harbor1	chr1	21787213	21787258	LTR/ERV1	4430	-	22	21787235	45112
chr1	21742123	21942123	harbor1	chr1	21787562	21787800	LTR/ERV1	4430	-	119	21787681	45558
chr1	21742123	21942123	harbor1	chr1	21788106	21788334	LTR/ERV1	4430	-	114	21788220	46097
chr1	21742123	21942123	harbor1	chr1	21788615	21788693	LTR/ERV1	4430	-	39	21788654	46531
chr1	21742123	21942123	harbor1	chr1	21791392	21791926	LTR/ERV1	3255	-	267	21791659	49536
chr1	21742123	21942123	harbor1	chr1	21792183	21792255	LTR/ERV1	3255	-	36	21792219	50096
chr1	21742123	21942123	harbor1	chr1	21794989	21795452	LTR/ERV1	3996	-	232	21795221	53098
chr1	21742123	21942123	harbor1	chr1	21795755	21796004	LTR/ERV1	3996	-	124	21795879	53756
chr1	15942113	16142113	harbor1	chr1	15980143	15980599	LTR/ERV1	2725	-	228	15980371	38258
chr1	15942113	16142113	harbor1	chr1	15981524	15981647	LTR/ERV1	869	-	62	15981586	39473
chr1	15942113	16142113	harbor1	chr1	16010092	16010678	LTR/ERV1	4278	-	293	16010385	68272
chr1	2375365	2575365	harbor1	chr1	2423400	2423980	LTR/ERV1	3253	-	290	2423690	48325
chr1	16596895	16796895	harbor1	chr1	16659139	16659674	LTR/ERV1	1540	-	268	16659407	62512
chr1	16596895	16796895	harbor1	chr1	16661013	16661173	LTR/ERV1	471	-	80	16661093	64198
chr1	16596895	16796895	harbor1	chr1	16661754	16662271	LTR/ERV1	2239	-	258	16662012	65117
chr1	16596895	16796895	harbor1	chr1	16668820	16669389	LTR/ERV1	2554	-	284	16669104	72209
chr1	16596895	16796895	harbor1	chr1	16670469	16671381	LTR/ERV1	1726	-	456	16670925	74030
chr1	960023	1160023	harbor1	chr1	1017170	1018876	LTR/ERV1	11165	-	853	1018023	58000
chr1	89721500	89921500	harbor1	chr1	89783014	89783591	LTR/ERV1	3616	-	288	89783302	61802
chr1	16625292	16825292	harbor1	chr1	16659139	16659674	LTR/ERV1	1540	-	268	16659407	34115
chr1	16625292	16825292	harbor1	chr1	16661013	16661173	LTR/ERV1	471	-	80	16661093	35801
chr1	16625292	16825292	harbor1	chr1	16661754	16662271	LTR/ERV1	2239	-	258	16662012	36720
chr1	16625292	16825292	harbor1	chr1	16668820	16669389	LTR/ERV1	2554	-	284	16669104	43812
chr1	16625292	16825292	harbor1	chr1	16670469	16671381	LTR/ERV1	1726	-	456	16670925	45633
chr1	16526616	16726616	harbor1	chr1	16529151	16530064	LTR/ERV1	2695	-	456	16529607	2991
chr1	16526616	16726616	harbor1	chr1	16530372	16531095	LTR/ERV1	2695	-	362	16530734	4118
chr1	227441496	227641496	harbor1	chr1	227449360	227449533	LTR/ERV1	4486	-	86	227449446	7950
chr1	227441496	227641496	harbor1	chr1	227449828	227450396	LTR/ERV1	4486	-	284	227450112	8616
chr1	227441496	227641496	harbor1	chr1	227495272	227496668	LTR/ERV1	7841	-	698	227495970	54474
chr1	227441496	227641496	harbor1	chr1	227496775	227496874	LTR/ERV1	7841	-	50	227496825	55329
chr1	227441496	227641496	harbor1	chr1	227497528	227499185	LTR/ERV1	7841	-	828	227498356	56860
chr1	16526581	16726581	harbor1	chr1	16529151	16530064	LTR/ERV1	2695	-	456	16529607	3026
chr1	16526581	16726581	harbor1	chr1	16530372	16531095	LTR/ERV1	2695	-	362	16530734	4153
chr1	145348336	145548336	harbor1	chr1	145426164	145426265	LTR/ERV1	491	-	50	145426214	77878
chr1	77131620	77331620	harbor1	chr1	77180478	77180942	LTR/ERV1	3189	-	232	77180710	49090
chr1	11666518	11866518	harbor1	chr1	11744658	11744860	LTR/ERV1	4470	-	101	11744759	78241
chr1	11666518	11866518	harbor1	chr1	11745153	11745541	LTR/ERV1	4470	-	194	11745347	78829
chr1	6685469	6885469	harbor1	chr1	6710137	6710292	LTR/ERV1	2239	-	78	6710215	24746
chr1	6685469	6885469	harbor1	chr1	6710603	6710889	LTR/ERV1	2239	-	143	6710746	25277
chr1	3431207	3631207	harbor1	chr1	3442544	3442893	LTR/ERV1	1086	-	174	3442718	11511
chr1	26400749	26600749	harbor1	chr1	26483294	26483414	LTR/ERV1	4122	-	60	26483354	82605
chr1	26400749	26600749	harbor1	chr1	26483724	26484149	LTR/ERV1	4122	-	212	26483936	83187
chr1	244605525	244805525	harbor1	chr1	244681859	244682404	LTR/ERV1	3959	-	272	244682131	76606
chr1	244605525	244805525	harbor1	chr1	244682858	244683294	LTR/ERV1	2574	-	218	244683076	77551
chr1	4738326	4938326	harbor1	chr1	4755618	4756134	LTR/ERV1	2522	-	258	4755876	17550
chr1	4738326	4938326	harbor1	chr1	4817869	4818344	LTR/ERV1	2669	-	238	4818107	79781
chr1	4738326	4938326	harbor1	chr1	4818670	4819104	LTR/ERV1	2484	-	217	4818887	80561
