H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	239725062	239925062	harbor2	chr1	239755384	239755509	DNA/TcMar-Tigger	457	+	62	239755446	30384
chr1	239725062	239925062	harbor2	chr1	239770391	239770546	DNA/TcMar-Tigger	609	+	78	239770469	45407
chr1	239725062	239925062	harbor2	chr1	239798186	239798390	DNA/TcMar-Tigger	996	+	102	239798288	73226
chr1	221568264	221768264	harbor2	chr1	221605900	221607054	DNA/TcMar-Tigger	13539	+	577	221606477	38213
chr1	221568264	221768264	harbor2	chr1	221607360	221607447	DNA/TcMar-Tigger	13539	+	44	221607404	39140
chr1	221568264	221768264	harbor2	chr1	221607749	221608453	DNA/TcMar-Tigger	13539	+	352	221608101	39837
chr1	221568264	221768264	harbor2	chr1	221608764	221609196	DNA/TcMar-Tigger	13539	+	216	221608980	40716
chr1	173169202	173369202	harbor2	chr1	173185034	173185271	DNA/TcMar-Tigger	467	+	118	173185152	15950
chr1	193404752	193604752	harbor2	chr1	193484804	193485072	DNA/TcMar-Tigger	1236	+	134	193484938	80186
chr1	204668520	204868520	harbor2	chr1	204764562	204764695	DNA/TcMar-Tigger	957	+	66	204764628	96108
chr1	204668520	204868520	harbor2	chr1	204764894	204765093	DNA/TcMar-Tigger	957	+	100	204764994	96474
chr1	204668520	204868520	harbor2	chr1	204765244	204765440	DNA/TcMar-Tigger	957	+	98	204765342	96822
chr1	204668520	204868520	harbor2	chr1	204717956	204718604	DNA/TcMar-Tigger	3463	+	324	204718280	49760
chr1	231377078	231577078	harbor2	chr1	231438160	231438478	DNA/TcMar-Tigger	1399	+	159	231438319	61241
chr1	180421925	180621925	harbor2	chr1	180431537	180431627	DNA/TcMar-Tigger	443	+	45	180431582	9657
chr1	180421925	180621925	harbor2	chr1	180487252	180487992	DNA/TcMar-Tigger	3869	+	370	180487622	65697
chr1	180421925	180621925	harbor2	chr1	180498913	180499864	DNA/TcMar-Tigger	1280	+	476	180499389	77464
chr1	180421925	180621925	harbor2	chr1	180506533	180506761	DNA/TcMar-Tigger	5268	+	114	180506647	84722
chr1	180421925	180621925	harbor2	chr1	180507042	180507752	DNA/TcMar-Tigger	5268	+	355	180507397	85472
chr1	238928802	239128802	harbor2	chr1	238936808	238937130	DNA/TcMar-Tigger	1636	+	161	238936969	8167
chr1	238928802	239128802	harbor2	chr1	238940445	238940715	DNA/TcMar-Tigger	786	+	135	238940580	11778
chr1	238928802	239128802	harbor2	chr1	238975008	238975349	DNA/TcMar-Tigger	2887	+	170	238975178	46376
chr1	238928802	239128802	harbor2	chr1	238975660	238975862	DNA/TcMar-Tigger	2887	+	101	238975761	46959
chr1	245997606	246197606	harbor2	chr1	246026381	246028033	DNA/TcMar-Tigger	9302	+	826	246027207	29601
chr1	245997606	246197606	harbor2	chr1	246040956	246041286	DNA/TcMar-Tigger	1826	+	165	246041121	43515
chr1	244363444	244563444	harbor2	chr1	244406409	244407141	DNA/TcMar-Tigger	3741	+	366	244406775	43331
chr1	244363444	244563444	harbor2	chr1	244407145	244407498	DNA/TcMar-Tigger	1955	+	176	244407321	43877
chr1	191744002	191944002	harbor2	chr1	191763496	191763986	DNA/TcMar-Tigger	1945	+	245	191763741	19739
chr1	191744002	191944002	harbor2	chr1	191816633	191817061	DNA/TcMar-Tigger	2041	+	214	191816847	72845
chr1	191744002	191944002	harbor2	chr1	191838442	191838770	DNA/TcMar-Tigger	1597	+	164	191838606	94604
chr1	207031304	207231304	harbor2	chr1	207086423	207086590	DNA/TcMar-Tigger	472	+	84	207086507	55203
chr1	182771213	182971213	harbor2	chr1	182793805	182794013	DNA/TcMar-Tigger	968	+	104	182793909	22696
chr1	240849580	241049580	harbor2	chr1	240850126	240852503	DNA/TcMar-Tigger	14415	+	1188	240851314	1734
chr1	240849580	241049580	harbor2	chr1	240883504	240883795	DNA/TcMar-Tigger	2994	+	146	240883650	34070
chr1	240849580	241049580	harbor2	chr1	240884105	240884449	DNA/TcMar-Tigger	2994	+	172	240884277	34697
chr1	219423544	219623544	harbor2	chr1	219463491	219463693	DNA/TcMar-Tigger	665	+	101	219463592	40048
chr1	87815295	88015295	harbor2	chr1	87830747	87831083	DNA/TcMar-Tigger	2144	+	168	87830915	15620
chr1	149124647	149324647	harbor2	chr1	149217087	149217428	DNA/TcMar-Tigger	1687	+	170	149217257	92610
chr1	240690402	240890402	harbor2	chr1	240774779	240775077	DNA/TcMar-Tigger	1290	+	149	240774928	84526
chr1	230709504	230909504	harbor2	chr1	230756558	230756651	DNA/TcMar-Tigger	504	+	46	230756604	47100
chr1	230709504	230909504	harbor2	chr1	230757072	230757217	DNA/TcMar-Tigger	892	+	72	230757144	47640
chr1	230709504	230909504	harbor2	chr1	230769691	230770100	DNA/TcMar-Tigger	2211	+	204	230769895	60391
chr1	243259341	243459341	harbor2	chr1	243300820	243301965	DNA/TcMar-Tigger	17140	+	572	243301392	42051
chr1	243259341	243459341	harbor2	chr1	243304085	243304153	DNA/TcMar-Tigger	17140	+	34	243304119	44778
chr1	243259341	243459341	harbor2	chr1	243325913	243326106	DNA/TcMar-Tigger	507	+	96	243326009	66668
chr1	243259341	243459341	harbor2	chr1	243326311	243326807	DNA/TcMar-Tigger	921	+	248	243326559	67218
chr1	243259341	243459341	harbor2	chr1	243302271	243303790	DNA/TcMar-Tigger	17140	+	760	243303031	43690
chr1	241178131	241378131	harbor2	chr1	241184451	241184828	DNA/TcMar-Tigger	1613	+	188	241184639	6508
chr1	236818810	237018810	harbor2	chr1	236851061	236851695	DNA/TcMar-Tigger	3178	+	317	236851378	32568
chr1	236818810	237018810	harbor2	chr1	236866090	236868487	DNA/TcMar-Tigger	14616	+	1198	236867288	48478
chr1	236818810	237018810	harbor2	chr1	236905231	236905509	DNA/TcMar-Tigger	629	+	139	236905370	86560
chr1	173238349	173438349	harbor2	chr1	173283877	173284178	DNA/TcMar-Tigger	1846	+	150	173284027	45678
