H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	103708441	103908441	harbor1	chr1	103716724	103717141	LINE/CR1	440	-	208	103716932	8491
chr1	103708441	103908441	harbor1	chr1	103755514	103755933	LINE/CR1	459	-	210	103755724	47283
chr1	217328960	217528960	harbor1	chr1	217339131	217339338	LINE/CR1	415	-	104	217339235	10275
chr1	217328960	217528960	harbor1	chr1	217351506	217352105	LINE/CR1	845	-	300	217351806	22846
chr1	217328960	217528960	harbor1	chr1	217411389	217411556	LINE/CR1	515	-	84	217411473	82513
chr1	161699396	161899396	harbor1	chr1	161734470	161734715	LINE/CR1	605	-	122	161734592	35196
chr1	161699396	161899396	harbor1	chr1	161738735	161739028	LINE/CR1	422	-	146	161738881	39485
chr1	178962333	179162333	harbor1	chr1	178965493	178966171	LINE/CR1	759	-	339	178965832	3499
chr1	222698793	222898793	harbor1	chr1	222703462	222703577	LINE/CR1	508	-	58	222703520	4727
chr1	50085083	50285083	harbor1	chr1	50164235	50164522	LINE/CR1	725	-	144	50164379	79296
chr1	50085083	50285083	harbor1	chr1	50164642	50164725	LINE/CR1	725	-	42	50164684	79601
chr1	109248550	109448550	harbor1	chr1	109321716	109321873	LINE/CR1	511	-	78	109321794	73244
chr1	215718321	215918321	harbor1	chr1	215767208	215767345	LINE/CR1	422	-	68	215767276	48955
chr1	111130357	111330357	harbor1	chr1	111158780	111158902	LINE/CR1	472	-	61	111158841	28484
chr1	111130357	111330357	harbor1	chr1	111159214	111159292	LINE/CR1	472	-	39	111159253	28896
chr1	198379030	198579030	harbor1	chr1	198388498	198388880	LINE/CR1	871	-	191	198388689	9659
chr1	198379030	198579030	harbor1	chr1	198388924	198389353	LINE/CR1	871	-	214	198389138	10108
chr1	208001267	208201267	harbor1	chr1	208068317	208068602	LINE/CR1	665	-	142	208068459	67192
chr1	197582611	197782611	harbor1	chr1	197662830	197663358	LINE/CR1	450	-	264	197663094	80483
chr1	87353233	87553233	harbor1	chr1	87407561	87407749	LINE/CR1	409	-	94	87407655	54422
chr1	87353233	87553233	harbor1	chr1	87439272	87439856	LINE/CR1	680	-	292	87439564	86331
chr1	87353233	87553233	harbor1	chr1	87441580	87441882	LINE/CR1	779	-	151	87441731	88498
chr1	87353233	87553233	harbor1	chr1	87442094	87442208	LINE/CR1	779	-	57	87442151	88918
chr1	57087097	57287097	harbor1	chr1	57133998	57134301	LINE/CR1	655	-	152	57134150	47053
chr1	17977487	18177487	harbor1	chr1	17990734	17991361	LINE/CR1	812	-	314	17991048	13561
chr1	17977487	18177487	harbor1	chr1	18011635	18012054	LINE/CR1	614	-	210	18011845	34358
chr1	17977487	18177487	harbor1	chr1	18057552	18057771	LINE/CR1	398	-	110	18057662	80175
chr1	184683952	184883952	harbor1	chr1	184772327	184772585	LINE/CR1	443	-	129	184772456	88504
chr1	168490883	168690883	harbor1	chr1	168533292	168533528	LINE/CR1	529	-	118	168533410	42527
chr1	18254878	18454878	harbor1	chr1	18271159	18271326	LINE/CR1	433	-	84	18271243	16365
chr1	70933892	71133892	harbor1	chr1	70997858	70998157	LINE/CR1	621	-	150	70998008	64116
chr1	17904948	18104948	harbor1	chr1	17990734	17991361	LINE/CR1	812	-	314	17991048	86100
chr1	88548172	88748172	harbor1	chr1	88646459	88646736	LINE/CR1	423	-	138	88646597	98425
chr1	166995668	167195668	harbor1	chr1	167079618	167079920	LINE/CR1	405	-	151	167079769	84101
chr1	164953409	165153409	harbor1	chr1	165033057	165033205	LINE/CR1	423	-	74	165033131	79722
chr1	147613982	147813982	harbor1	chr1	147633432	147633740	LINE/CR1	395	-	154	147633586	19604
chr1	147613982	147813982	harbor1	chr1	147634992	147635510	LINE/CR1	536	-	259	147635251	21269
chr1	40176712	40376712	harbor1	chr1	40207344	40207623	LINE/CR1	405	-	140	40207484	30772
chr1	40176712	40376712	harbor1	chr1	40207911	40208054	LINE/CR1	405	-	72	40207983	31271
chr1	71611143	71811143	harbor1	chr1	71665484	71665878	LINE/CR1	647	-	197	71665681	54538
chr1	48208172	48408172	harbor1	chr1	48254837	48255105	LINE/CR1	430	-	134	48254971	46799
chr1	154830364	155030364	harbor1	chr1	154831606	154831774	LINE/CR1	460	-	84	154831690	1326
chr1	14714041	14914041	harbor1	chr1	14720402	14720707	LINE/CR1	460	-	152	14720554	6513
chr1	98857149	99057149	harbor1	chr1	98912922	98913876	LINE/CR1	1243	-	477	98913399	56250
chr1	98857149	99057149	harbor1	chr1	98926407	98926447	LINE/CR1	572	-	20	98926427	69278
chr1	98857149	99057149	harbor1	chr1	98926498	98926828	LINE/CR1	572	-	165	98926663	69514
chr1	51722227	51922227	harbor1	chr1	51739962	51740324	LINE/CR1	520	-	181	51740143	17916
chr1	218310499	218510499	harbor1	chr1	218397736	218397972	LINE/CR1	662	-	118	218397854	87355
chr1	209621836	209821836	harbor1	chr1	209662697	209663024	LINE/CR1	396	-	164	209662861	41025
chr1	179729439	179929439	harbor1	chr1	179793040	179793258	LINE/CR1	411	-	109	179793149	63710
chr1	176660658	176860658	harbor1	chr1	176660363	176661161	LINE/CR1	1635	-	399	176660762	104
chr1	176660658	176860658	harbor1	chr1	176662577	176663470	LINE/CR1	789	-	446	176663023	2365
chr1	176660658	176860658	harbor1	chr1	176663789	176664142	LINE/CR1	803	-	176	176663965	3307
chr1	176660658	176860658	harbor1	chr1	176664642	176664963	LINE/CR1	803	-	160	176664802	4144
chr1	176660658	176860658	harbor1	chr1	176707770	176708082	LINE/CR1	652	-	156	176707926	47268
chr1	40192911	40392911	harbor1	chr1	40207344	40207623	LINE/CR1	405	-	140	40207484	14573
chr1	40192911	40392911	harbor1	chr1	40207911	40208054	LINE/CR1	405	-	72	40207983	15072
chr1	55316616	55516616	harbor1	chr1	55331470	55331686	LINE/CR1	420	-	108	55331578	14962
chr1	202516063	202716063	harbor1	chr1	202581885	202582432	LINE/CR1	599	-	274	202582159	66096
chr1	193475728	193675728	harbor1	chr1	193499628	193499942	LINE/CR1	395	-	157	193499785	24057
chr1	66360768	66560768	harbor1	chr1	66377599	66377970	LINE/CR1	778	-	186	66377785	17017
chr1	66360768	66560768	harbor1	chr1	66378556	66379312	LINE/CR1	1377	-	378	66378934	18166
chr1	49172083	49372083	harbor1	chr1	49217851	49218130	LINE/CR1	447	-	140	49217991	45908
chr1	175893864	176093864	harbor1	chr1	175919159	175919396	LINE/CR1	579	-	118	175919277	25413
chr1	117850570	118050570	harbor1	chr1	117911027	117911501	LINE/CR1	477	-	237	117911264	60694
chr1	117850570	118050570	harbor1	chr1	117917131	117917390	LINE/CR1	599	-	130	117917261	66691
chr1	59514821	59714821	harbor1	chr1	59603203	59603467	LINE/CR1	476	-	132	59603335	88514
chr1	60147330	60347330	harbor1	chr1	60151721	60152120	LINE/CR1	551	-	200	60151921	4591
chr1	60147330	60347330	harbor1	chr1	60197120	60197588	LINE/CR1	890	-	234	60197354	50024
chr1	29020983	29220983	harbor1	chr1	29075838	29076137	LINE/CR1	569	-	150	29075988	55005
chr1	184758351	184958351	harbor1	chr1	184772327	184772585	LINE/CR1	443	-	129	184772456	14105
chr1	184758351	184958351	harbor1	chr1	184837541	184838430	LINE/CR1	1748	-	444	184837985	79634
chr1	205904320	206104320	harbor1	chr1	205911288	205911441	LINE/CR1	411	-	76	205911364	7044
chr1	146538911	146738911	harbor1	chr1	146594011	146594193	LINE/CR1	430	-	91	146594102	55191
chr1	184789190	184989190	harbor1	chr1	184837541	184838430	LINE/CR1	1748	-	444	184837985	48795
chr1	184789190	184989190	harbor1	chr1	184863580	184863757	LINE/CR1	499	-	88	184863668	74478
chr1	63234272	63434272	harbor1	chr1	63331151	63331313	LINE/CR1	440	-	81	63331232	96960
chr1	147973195	148173195	harbor1	chr1	148000852	148001234	LINE/CR1	496	-	191	148001043	27848
