H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	83434866	83634866	harbor2	chr1	83509639	83510272	LINE/CR1	1136	+	316	83509955	75089
chr1	213652921	213852921	harbor2	chr1	213657039	213657602	LINE/CR1	1543	+	282	213657321	4400
chr1	213652921	213852921	harbor2	chr1	213727437	213727724	LINE/CR1	543	+	144	213727581	74660
chr1	240507613	240707613	harbor2	chr1	240509916	240510043	LINE/CR1	442	+	64	240509980	2367
chr1	245342135	245542135	harbor2	chr1	245409503	245409694	LINE/CR1	575	+	96	245409599	67464
chr1	172903948	173103948	harbor2	chr1	172929259	172929406	LINE/CR1	976	+	74	172929333	25385
chr1	172903948	173103948	harbor2	chr1	172929700	172930135	LINE/CR1	976	+	218	172929918	25970
chr1	118918529	119118529	harbor2	chr1	118932485	118932672	LINE/CR1	695	+	94	118932579	14050
chr1	88435331	88635331	harbor2	chr1	88528102	88528452	LINE/CR1	627	+	175	88528277	92946
chr1	240711816	240911816	harbor2	chr1	240790489	240790829	LINE/CR1	721	+	170	240790659	78843
chr1	181095157	181295157	harbor2	chr1	181108129	181108367	LINE/CR1	406	+	119	181108248	13091
chr1	181095157	181295157	harbor2	chr1	181139897	181140487	LINE/CR1	659	+	295	181140192	45035
chr1	76260370	76460370	harbor2	chr1	76333263	76333498	LINE/CR1	576	+	118	76333381	73011
chr1	232561820	232761820	harbor2	chr1	232625110	232625651	LINE/CR1	559	+	270	232625380	63560
chr1	235282553	235482553	harbor2	chr1	235374283	235374500	LINE/CR1	450	+	108	235374391	91838
chr1	235282553	235482553	harbor2	chr1	235374800	235374910	LINE/CR1	450	+	55	235374855	92302
chr1	245311543	245511543	harbor2	chr1	245409503	245409694	LINE/CR1	575	+	96	245409599	98056
chr1	146585524	146785524	harbor2	chr1	146646749	146647341	LINE/CR1	681	+	296	146647045	61521
chr1	172255479	172455479	harbor2	chr1	172277245	172277525	LINE/CR1	423	+	140	172277385	21906
chr1	172255479	172455479	harbor2	chr1	172291836	172292096	LINE/CR1	565	+	130	172291966	36487
chr1	172255479	172455479	harbor2	chr1	172292372	172292601	LINE/CR1	450	+	114	172292486	37007
chr1	245832758	246032758	harbor2	chr1	245880750	245881044	LINE/CR1	478	+	147	245880897	48139
chr1	172897804	173097804	harbor2	chr1	172929259	172929406	LINE/CR1	976	+	74	172929333	31529
chr1	172897804	173097804	harbor2	chr1	172929700	172930135	LINE/CR1	976	+	218	172929918	32114
chr1	202037199	202237199	harbor2	chr1	202113906	202114070	LINE/CR1	430	+	82	202113988	76789
chr1	235679347	235879347	harbor2	chr1	235713805	235714187	LINE/CR1	544	+	191	235713996	34649
chr1	40086215	40286215	harbor2	chr1	40182557	40182736	LINE/CR1	460	+	90	40182647	96432
chr1	40086215	40286215	harbor2	chr1	40182794	40182906	LINE/CR1	460	+	56	40182850	96635
chr1	66780247	66980247	harbor2	chr1	66828080	66828334	LINE/CR1	419	+	127	66828207	47960
chr1	248377263	248577263	harbor2	chr1	248402283	248402625	LINE/CR1	483	+	171	248402454	25191
chr1	172655810	172855810	harbor2	chr1	172715880	172716101	LINE/CR1	425	+	110	172715990	60180
chr1	181809342	182009342	harbor2	chr1	181898900	181899222	LINE/CR1	704	+	161	181899061	89719
chr1	245851156	246051156	harbor2	chr1	245880750	245881044	LINE/CR1	478	+	147	245880897	29741
