H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	238791763	238991763	harbor2	chr1	238823457	238823905	LTR/ERV1	1923	+	224	238823681	31918
chr1	238791763	238991763	harbor2	chr1	238830016	238830508	LTR/ERV1	3011	+	246	238830262	38499
chr1	238791763	238991763	harbor2	chr1	238834418	238834854	LTR/ERV1	521	+	218	238834636	42873
chr1	85236785	85436785	harbor2	chr1	85283609	85285342	LTR/ERV1	9171	+	866	85284475	47690
chr1	223639212	223839212	harbor2	chr1	223639419	223639756	LTR/ERV1	1047	+	168	223639587	375
chr1	223639212	223839212	harbor2	chr1	223647230	223647699	LTR/ERV1	2073	+	234	223647464	8252
chr1	223639212	223839212	harbor2	chr1	223699620	223700093	LTR/ERV1	2708	+	236	223699856	60644
chr1	223639212	223839212	harbor2	chr1	223710424	223711053	LTR/ERV1	2731	+	314	223710738	71526
chr1	178027537	178227537	harbor2	chr1	178040241	178040673	LTR/ERV1	3643	+	216	178040457	12920
chr1	178027537	178227537	harbor2	chr1	178040674	178041186	LTR/ERV1	1836	+	256	178040930	13393
chr1	178027537	178227537	harbor2	chr1	178041157	178043398	LTR/ERV1	13281	+	1120	178042277	14740
chr1	178027537	178227537	harbor2	chr1	178043378	178043824	LTR/ERV1	2896	+	223	178043601	16064
chr1	178027537	178227537	harbor2	chr1	178045047	178045465	LTR/ERV1	2784	+	209	178045256	17719
chr1	178027537	178227537	harbor2	chr1	178045466	178045930	LTR/ERV1	3985	+	232	178045698	18161
chr1	178027537	178227537	harbor2	chr1	178043819	178045066	LTR/ERV1	6948	+	624	178044443	16906
chr1	179174585	179374585	harbor2	chr1	179209041	179209558	LTR/ERV1	1426	+	258	179209299	34714
chr1	179174585	179374585	harbor2	chr1	179263224	179263659	LTR/ERV1	1723	+	218	179263442	88857
chr1	237881455	238081455	harbor2	chr1	237955010	237955423	LTR/ERV1	2149	+	206	237955216	73761
chr1	237881455	238081455	harbor2	chr1	237955525	237955765	LTR/ERV1	1256	+	120	237955645	74190
chr1	237881455	238081455	harbor2	chr1	237960452	237961005	LTR/ERV1	3189	+	276	237960728	79273
chr1	237881455	238081455	harbor2	chr1	237962822	237963455	LTR/ERV1	3584	+	316	237963138	81683
chr1	247524244	247724244	harbor2	chr1	247533250	247533882	LTR/ERV1	3835	+	316	247533566	9322
chr1	247524244	247724244	harbor2	chr1	247574664	247575328	LTR/ERV1	2238	+	332	247574996	50752
chr1	248710745	248910745	harbor2	chr1	248712385	248712858	LTR/ERV1	3507	+	236	248712621	1876
chr1	248710745	248910745	harbor2	chr1	248712862	248713003	LTR/ERV1	2346	+	70	248712932	2187
chr1	248710745	248910745	harbor2	chr1	248713004	248713639	LTR/ERV1	3928	+	318	248713322	2577
chr1	248710745	248910745	harbor2	chr1	248713640	248713943	LTR/ERV1	2346	+	152	248713792	3047
chr1	248710745	248910745	harbor2	chr1	248714133	248714267	LTR/ERV1	569	+	67	248714200	3455
chr1	248710745	248910745	harbor2	chr1	248714272	248714843	LTR/ERV1	1539	+	286	248714558	3813
chr1	248710745	248910745	harbor2	chr1	248714846	248717595	LTR/ERV1	15135	+	1374	248716220	5475
chr1	248710745	248910745	harbor2	chr1	248717601	248718003	LTR/ERV1	2688	+	201	248717802	7057
chr1	248710745	248910745	harbor2	chr1	248732369	248732931	LTR/ERV1	2785	+	281	248732650	21905
chr1	248710745	248910745	harbor2	chr1	248773924	248773962	LTR/ERV1	1107	+	19	248773943	63198
chr1	248710745	248910745	harbor2	chr1	248774896	248775007	LTR/ERV1	576	+	56	248774952	64207
chr1	248710745	248910745	harbor2	chr1	248775257	248775499	LTR/ERV1	1022	+	121	248775378	64633
