H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	234473588	234673588	harbor1	chr1	234508902	234509049	SINE/MIR	614	+	74	234508976	35388
chr1	234473588	234673588	harbor1	chr1	234538253	234538414	SINE/MIR	544	+	80	234538333	64745
chr1	234473588	234673588	harbor1	chr1	234541394	234541596	SINE/MIR	405	+	101	234541495	67907
chr1	234473588	234673588	harbor1	chr1	234548207	234548292	SINE/MIR	748	+	42	234548249	74661
chr1	234473588	234673588	harbor1	chr1	234548592	234548766	SINE/MIR	748	+	87	234548679	75091
chr1	217328960	217528960	harbor1	chr1	217335234	217335407	SINE/MIR	423	+	86	217335320	6360
chr1	217328960	217528960	harbor1	chr1	217338513	217338735	SINE/MIR	461	+	111	217338624	9664
chr1	217328960	217528960	harbor1	chr1	217354745	217354963	SINE/MIR	776	+	109	217354854	25894
chr1	217328960	217528960	harbor1	chr1	217361667	217361903	SINE/MIR	645	+	118	217361785	32825
chr1	161699396	161899396	harbor1	chr1	161708935	161709099	SINE/MIR	421	+	82	161709017	9621
chr1	161699396	161899396	harbor1	chr1	161710166	161710389	SINE/MIR	485	+	112	161710278	10882
chr1	161699396	161899396	harbor1	chr1	161720460	161720622	SINE/MIR	469	+	81	161720541	21145
chr1	161699396	161899396	harbor1	chr1	161724046	161724134	SINE/MIR	402	+	44	161724090	24694
chr1	161699396	161899396	harbor1	chr1	161733084	161733302	SINE/MIR	636	+	109	161733193	33797
chr1	36619682	36819682	harbor1	chr1	36623022	36623260	SINE/MIR	643	+	119	36623141	3459
chr1	36619682	36819682	harbor1	chr1	36624074	36624252	SINE/MIR	401	+	89	36624163	4481
chr1	36619682	36819682	harbor1	chr1	36626520	36626751	SINE/MIR	805	+	116	36626636	6954
chr1	36619682	36819682	harbor1	chr1	36647555	36647706	SINE/MIR	575	+	76	36647631	27949
chr1	36619682	36819682	harbor1	chr1	36649495	36649682	SINE/MIR	642	+	94	36649589	29907
chr1	36619682	36819682	harbor1	chr1	36655549	36655661	SINE/MIR	408	+	56	36655605	35923
chr1	36619682	36819682	harbor1	chr1	36671506	36671676	SINE/MIR	569	+	85	36671591	51909
chr1	36619682	36819682	harbor1	chr1	36673890	36674091	SINE/MIR	909	+	100	36673990	54308
chr1	36619682	36819682	harbor1	chr1	36674573	36674696	SINE/MIR	488	+	62	36674635	54953
chr1	36619682	36819682	harbor1	chr1	36676029	36676262	SINE/MIR	797	+	116	36676145	56463
chr1	36619682	36819682	harbor1	chr1	36690248	36690475	SINE/MIR	752	+	114	36690362	70680
chr1	36619682	36819682	harbor1	chr1	36695325	36695544	SINE/MIR	534	+	110	36695435	75753
chr1	36619682	36819682	harbor1	chr1	36698700	36698948	SINE/MIR	661	+	124	36698824	79142
chr1	36619682	36819682	harbor1	chr1	36702123	36702284	SINE/MIR	701	+	80	36702203	82521
chr1	36619682	36819682	harbor1	chr1	36712448	36712642	SINE/MIR	797	+	97	36712545	92863
chr1	36619682	36819682	harbor1	chr1	36717168	36717324	SINE/MIR	428	+	78	36717246	97564
chr1	36619682	36819682	harbor1	chr1	36719240	36719378	SINE/MIR	513	+	69	36719309	99627
chr1	28686527	28886527	harbor1	chr1	28691320	28691436	SINE/MIR	445	+	58	28691378	4851
chr1	232034265	232234265	harbor1	chr1	232106171	232106380	SINE/MIR	551	+	104	232106275	72010
chr1	187934296	188134296	harbor1	chr1	187987572	187987771	SINE/MIR	710	+	100	187987672	53376
chr1	187934296	188134296	harbor1	chr1	187992772	187993017	SINE/MIR	461	+	122	187992894	58598
chr1	79114311	79314311	harbor1	chr1	79148931	79149140	SINE/MIR	730	+	104	79149035	34724
chr1	244268148	244468148	harbor1	chr1	244270324	244270553	SINE/MIR	490	+	114	244270438	2290
chr1	244268148	244468148	harbor1	chr1	244273337	244273573	SINE/MIR	517	+	118	244273455	5307
chr1	244268148	244468148	harbor1	chr1	244340728	244340884	SINE/MIR	402	+	78	244340806	72658
chr1	244268148	244468148	harbor1	chr1	244342249	244342417	SINE/MIR	583	+	84	244342333	74185
chr1	244268148	244468148	harbor1	chr1	244342727	244342794	SINE/MIR	583	+	34	244342761	74613
chr1	244268148	244468148	harbor1	chr1	244362347	244362488	SINE/MIR	434	+	70	244362417	94269
chr1	182089820	182289820	harbor1	chr1	182090906	182091124	SINE/MIR	686	+	109	182091015	1195
chr1	182089820	182289820	harbor1	chr1	182092896	182093152	SINE/MIR	1000	+	128	182093024	3204
chr1	182089820	182289820	harbor1	chr1	182128451	182128595	SINE/MIR	418	+	72	182128523	38703
chr1	182089820	182289820	harbor1	chr1	182135243	182135424	SINE/MIR	426	+	90	182135333	45513
chr1	182089820	182289820	harbor1	chr1	182147280	182147481	SINE/MIR	689	+	100	182147380	57560
chr1	182089820	182289820	harbor1	chr1	182166249	182166470	SINE/MIR	756	+	110	182166359	76539
chr1	182089820	182289820	harbor1	chr1	182175554	182175785	SINE/MIR	541	+	116	182175670	85850
chr1	182089820	182289820	harbor1	chr1	182180802	182180988	SINE/MIR	651	+	93	182180895	91075
chr1	182089820	182289820	harbor1	chr1	182181891	182182007	SINE/MIR	465	+	58	182181949	92129
chr1	178962333	179162333	harbor1	chr1	178966683	178966848	SINE/MIR	798	+	82	178966765	4432
