H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	26400749	26600749	harbor1	chr1	26459173	26459399	LINE/CR1	465	+	113	26459286	58537
chr1	6046640	6246640	harbor1	chr1	6075109	6075678	LINE/CR1	761	+	284	6075393	28753
chr1	211033794	211233794	harbor1	chr1	211128936	211129115	LINE/CR1	460	+	90	211129026	95232
chr1	226479130	226679130	harbor1	chr1	226512931	226513192	LINE/CR1	460	+	130	226513061	33931
chr1	226479130	226679130	harbor1	chr1	226526522	226526763	LINE/CR1	574	+	120	226526642	47512
chr1	211033705	211233705	harbor1	chr1	211128936	211129115	LINE/CR1	460	+	90	211129026	95321
chr1	211033814	211233814	harbor1	chr1	211128936	211129115	LINE/CR1	460	+	90	211129026	95212
chr1	1	128757	harbor1	chr1	19972	20405	LINE/CR1	994	+	216	20188	20187
chr1	39855348	40055348	harbor1	chr1	39952565	39953025	LINE/CR1	749	+	230	39952795	97447
chr1	29137918	29337918	harbor1	chr1	29235964	29236208	LINE/CR1	470	+	122	29236086	98168
chr1	211033766	211233766	harbor1	chr1	211128936	211129115	LINE/CR1	460	+	90	211129026	95260
chr1	26400777	26600777	harbor1	chr1	26459173	26459399	LINE/CR1	465	+	113	26459286	58509
chr1	244605801	244805801	harbor1	chr1	244612255	244612659	LINE/CR1	691	+	202	244612457	6656
chr1	39855400	40055400	harbor1	chr1	39952565	39953025	LINE/CR1	749	+	230	39952795	97395
chr1	226638244	226838244	harbor1	chr1	226693914	226694427	LINE/CR1	912	+	256	226694170	55926
chr1	226638244	226838244	harbor1	chr1	226695262	226695550	LINE/CR1	482	+	144	226695406	57162
chr1	226637969	226837969	harbor1	chr1	226693914	226694427	LINE/CR1	912	+	256	226694170	56201
chr1	226637969	226837969	harbor1	chr1	226695262	226695550	LINE/CR1	482	+	144	226695406	57437
chr1	244589301	244789301	harbor1	chr1	244612255	244612659	LINE/CR1	691	+	202	244612457	23156
chr1	226638245	226838245	harbor1	chr1	226693914	226694427	LINE/CR1	912	+	256	226694170	55925
chr1	226638245	226838245	harbor1	chr1	226695262	226695550	LINE/CR1	482	+	144	226695406	57161
chr1	53846279	54046279	harbor1	chr1	53941626	53942004	LINE/CR1	703	+	189	53941815	95536
chr1	53846338	54046338	harbor1	chr1	53941626	53942004	LINE/CR1	703	+	189	53941815	95477
chr1	204585380	204785380	harbor1	chr1	204607777	204608014	LINE/CR1	684	+	118	204607895	22515
chr1	204585380	204785380	harbor1	chr1	204611036	204611645	LINE/CR1	1315	+	304	204611340	25960
chr1	204585380	204785380	harbor1	chr1	204613926	204614069	LINE/CR1	454	+	72	204613998	28618
chr1	204585380	204785380	harbor1	chr1	204614379	204614637	LINE/CR1	454	+	129	204614508	29128
chr1	211033792	211233792	harbor1	chr1	211128936	211129115	LINE/CR1	460	+	90	211129026	95234
chr1	116272513	116472513	harbor1	chr1	116340991	116341535	LINE/CR1	823	+	272	116341263	68750
chr1	244605835	244805835	harbor1	chr1	244612255	244612659	LINE/CR1	691	+	202	244612457	6622
chr1	244605400	244805400	harbor1	chr1	244612255	244612659	LINE/CR1	691	+	202	244612457	7057
chr1	30662344	30862344	harbor1	chr1	30696068	30696298	LINE/CR1	456	+	115	30696183	33839
chr1	24895887	25095887	harbor1	chr1	24939989	24940170	LINE/CR1	468	+	90	24940079	44192
chr1	244605782	244805782	harbor1	chr1	244612255	244612659	LINE/CR1	691	+	202	244612457	6675
chr1	203028332	203228332	harbor1	chr1	203030084	203030273	LINE/CR1	487	+	94	203030178	1846
chr1	203028332	203228332	harbor1	chr1	203057046	203057271	LINE/CR1	479	+	112	203057158	28826
chr1	203028332	203228332	harbor1	chr1	203066506	203066619	LINE/CR1	460	+	56	203066562	38230
chr1	53187531	53387531	harbor1	chr1	53263535	53263958	LINE/CR1	894	+	212	53263747	76216
chr1	89721428	89921428	harbor1	chr1	89753934	89754086	LINE/CR1	460	+	76	89754010	32582
chr1	53846292	54046292	harbor1	chr1	53941626	53942004	LINE/CR1	703	+	189	53941815	95523
chr1	7604696	7804696	harbor1	chr1	7607727	7608036	LINE/CR1	627	+	154	7607881	3185
chr1	53846310	54046310	harbor1	chr1	53941626	53942004	LINE/CR1	703	+	189	53941815	95505
chr1	245603515	245803515	harbor1	chr1	245675781	245676104	LINE/CR1	725	+	162	245675943	72428
chr1	26400758	26600758	harbor1	chr1	26459173	26459399	LINE/CR1	465	+	113	26459286	58528
chr1	111713067	111913067	harbor1	chr1	111788953	111789429	LINE/CR1	848	+	238	111789191	76124
chr1	111713067	111913067	harbor1	chr1	111791718	111791984	LINE/CR1	848	+	133	111791851	78784
chr1	244605833	244805833	harbor1	chr1	244612255	244612659	LINE/CR1	691	+	202	244612457	6624
chr1	234508642	234708642	harbor1	chr1	234543600	234543966	LINE/CR1	759	+	183	234543783	35141
chr1	211033696	211233696	harbor1	chr1	211128936	211129115	LINE/CR1	460	+	90	211129026	95330
chr1	24895890	25095890	harbor1	chr1	24939989	24940170	LINE/CR1	468	+	90	24940079	44189
chr1	54786918	54986918	harbor1	chr1	54875469	54875872	LINE/CR1	892	+	202	54875671	88753
chr1	46503416	46703416	harbor1	chr1	46597803	46598167	LINE/CR1	713	+	182	46597985	94569
chr2	74453401	74653401	harbor1	chr2	74547430	74548654	LINE/CR1	1159	+	612	74548042	94641
chr2	74453409	74653409	harbor1	chr2	74547430	74548654	LINE/CR1	1159	+	612	74548042	94633
chr2	175979735	176179735	harbor1	chr2	176052676	176052858	LINE/CR1	537	+	91	176052767	73032
chr2	26403762	26603762	harbor1	chr2	26432954	26433183	LINE/CR1	452	+	114	26433068	29306
chr2	26403762	26603762	harbor1	chr2	26486490	26486815	LINE/CR1	456	+	162	26486652	82890
chr2	26403771	26603771	harbor1	chr2	26432954	26433183	LINE/CR1	452	+	114	26433068	29297
chr2	26403771	26603771	harbor1	chr2	26486490	26486815	LINE/CR1	456	+	162	26486652	82881
chr2	26403748	26603748	harbor1	chr2	26432954	26433183	LINE/CR1	452	+	114	26433068	29320
chr2	26403748	26603748	harbor1	chr2	26486490	26486815	LINE/CR1	456	+	162	26486652	82904
chr2	56085032	56285032	harbor1	chr2	56133491	56133557	LINE/CR1	554	+	33	56133524	48492
chr2	56085032	56285032	harbor1	chr2	56134024	56134416	LINE/CR1	554	+	196	56134220	49188
chr2	111023146	111223146	harbor1	chr2	111084330	111084591	LINE/CR1	481	+	130	111084460	61314
chr2	111023146	111223146	harbor1	chr2	111089751	111090163	LINE/CR1	696	+	206	111089957	66811
chr2	43054951	43254951	harbor1	chr2	43072416	43072806	LINE/CR1	690	+	195	43072611	17660
chr2	175979808	176179808	harbor1	chr2	176052676	176052858	LINE/CR1	537	+	91	176052767	72959
chr2	43055485	43255485	harbor1	chr2	43072416	43072806	LINE/CR1	690	+	195	43072611	17126
chr2	24693648	24893648	harbor1	chr2	24735607	24735939	LINE/CR1	466	+	166	24735773	42125
chr2	24693648	24893648	harbor1	chr2	24736250	24736536	LINE/CR1	466	+	143	24736393	42745
chr2	160393135	160593135	harbor1	chr2	160470914	160471076	LINE/CR1	454	+	81	160470995	77860
chr2	26403834	26603834	harbor1	chr2	26432954	26433183	LINE/CR1	452	+	114	26433068	29234
chr2	26403834	26603834	harbor1	chr2	26486490	26486815	LINE/CR1	456	+	162	26486652	82818
chr2	217726903	217926903	harbor1	chr2	217819244	217819523	LINE/CR1	690	+	140	217819384	92481
chr3	51939476	52139476	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61508
chr3	51939476	52139476	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61947
chr3	42586603	42786603	harbor1	chr3	42639798	42640085	LINE/CR1	421	+	144	42639942	53339
chr3	156989205	157189205	harbor1	chr3	157023309	157023476	LINE/CR1	525	+	84	157023393	34188
chr3	51939463	52139463	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61521
chr3	51939463	52139463	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61960
chr3	51939471	52139471	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61513
chr3	51939471	52139471	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61952
chr3	51939481	52139481	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61503
chr3	51939481	52139481	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61942
chr3	161005424	161205424	harbor1	chr3	161098792	161099515	LINE/CR1	609	+	362	161099154	93730
chr3	161005424	161205424	harbor1	chr3	161099913	161100078	LINE/CR1	425	+	82	161099995	94571
chr3	124721335	124921335	harbor1	chr3	124795043	124795208	LINE/CR1	465	+	82	124795125	73790
chr3	124721335	124921335	harbor1	chr3	124796039	124796182	LINE/CR1	470	+	72	124796111	74776
chr3	51939504	52139504	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61480
chr3	51939504	52139504	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61919
chr3	51939539	52139539	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61445
chr3	51939539	52139539	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61884
chr3	51939497	52139497	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61487
chr3	51939497	52139497	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61926
chr3	51939505	52139505	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61479
chr3	51939505	52139505	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61918
chr3	179842465	180042465	harbor1	chr3	179857268	179857562	LINE/CR1	798	+	147	179857415	14950
chr3	122414401	122614401	harbor1	chr3	122461767	122462586	LINE/CR1	1122	+	410	122462177	47776
chr3	51938306	52138306	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	62678
chr3	51938306	52138306	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	63117
chr3	182580289	182780289	harbor1	chr3	182638330	182638805	LINE/CR1	702	+	238	182638568	58279
chr3	51939455	52139455	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61529
chr3	51939455	52139455	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61968
chr3	51932225	52132225	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	68759
chr3	51932225	52132225	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	69198
chr3	156989217	157189217	harbor1	chr3	157023309	157023476	LINE/CR1	525	+	84	157023393	34176
chr3	51939521	52139521	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	61463
chr3	51939521	52139521	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	61902
chr3	51281519	51481519	harbor1	chr3	51315666	51315923	LINE/CR1	648	+	128	51315794	34275
chr3	51917252	52117252	harbor1	chr3	52000878	52001091	LINE/CR1	419	+	106	52000984	83732
chr3	51917252	52117252	harbor1	chr3	52001394	52001452	LINE/CR1	419	+	29	52001423	84171
chr4	39598067	39798067	harbor1	chr4	39666229	39666696	LINE/CR1	1018	+	234	39666463	68396
chr5	10150551	10350551	harbor1	chr5	10214436	10214525	LINE/CR1	575	+	44	10214480	63929
chr5	10150551	10350551	harbor1	chr5	10214826	10215586	LINE/CR1	575	+	380	10215206	64655
chr5	150532654	150732654	harbor1	chr5	150607106	150607387	LINE/CR1	679	+	140	150607246	74592
