H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	16545136	16745136	harbor1	chr1	16643865	16644061	DNA/hAT-Charlie	1037	-	98	16643963	98827
chr1	2137978	2337978	harbor1	chr1	2165539	2165716	DNA/hAT-Charlie	635	-	88	2165627	27649
chr1	2137978	2337978	harbor1	chr1	2168119	2168297	DNA/hAT-Charlie	732	-	89	2168208	30230
chr1	3525011	3725011	harbor1	chr1	3589850	3590023	DNA/hAT-Charlie	500	-	86	3589936	64925
chr1	63219176	63419176	harbor1	chr1	63242640	63242889	DNA/hAT-Charlie	542	-	124	63242764	23588
chr1	63219176	63419176	harbor1	chr1	63294158	63294652	DNA/hAT-Charlie	904	-	247	63294405	75229
chr1	2138436	2338436	harbor1	chr1	2165539	2165716	DNA/hAT-Charlie	635	-	88	2165627	27191
chr1	2138436	2338436	harbor1	chr1	2168119	2168297	DNA/hAT-Charlie	732	-	89	2168208	29772
chr1	2138571	2338571	harbor1	chr1	2165539	2165716	DNA/hAT-Charlie	635	-	88	2165627	27056
chr1	2138571	2338571	harbor1	chr1	2168119	2168297	DNA/hAT-Charlie	732	-	89	2168208	29637
chr1	21742123	21942123	harbor1	chr1	21794540	21794764	DNA/hAT-Charlie	969	-	112	21794652	52529
chr1	1675980	1875980	harbor1	chr1	1733898	1734067	DNA/hAT-Charlie	494	-	84	1733982	58002
chr1	51230788	51430788	harbor1	chr1	51281765	51281886	DNA/hAT-Charlie	526	-	60	51281825	51037
chr1	51230788	51430788	harbor1	chr1	51286855	51287094	DNA/hAT-Charlie	669	-	120	51286975	56187
chr1	51230788	51430788	harbor1	chr1	51301128	51301339	DNA/hAT-Charlie	986	-	106	51301234	70446
chr1	51230788	51430788	harbor1	chr1	51306349	51306571	DNA/hAT-Charlie	1186	-	111	51306460	75672
chr1	109183460	109383460	harbor1	chr1	109190912	109191072	DNA/hAT-Charlie	826	-	80	109190992	7532
chr1	109183460	109383460	harbor1	chr1	109218389	109218560	DNA/hAT-Charlie	474	-	86	109218475	35015
chr1	16544784	16744784	harbor1	chr1	16643865	16644061	DNA/hAT-Charlie	1037	-	98	16643963	99179
chr1	2375365	2575365	harbor1	chr1	2421645	2421691	DNA/hAT-Charlie	1985	-	23	2421668	46303
chr1	2375365	2575365	harbor1	chr1	2422293	2422675	DNA/hAT-Charlie	1985	-	191	2422484	47119
chr1	2375365	2575365	harbor1	chr1	2422842	2423137	DNA/hAT-Charlie	1985	-	148	2422990	47625
chr1	16596895	16796895	harbor1	chr1	16643865	16644061	DNA/hAT-Charlie	1037	-	98	16643963	47068
chr1	16596895	16796895	harbor1	chr1	16650295	16650563	DNA/hAT-Charlie	1054	-	134	16650429	53534
chr1	16596895	16796895	harbor1	chr1	16653377	16653554	DNA/hAT-Charlie	954	-	88	16653465	56570
chr1	16596895	16796895	harbor1	chr1	16669402	16669589	DNA/hAT-Charlie	835	-	94	16669496	72601
chr1	16596895	16796895	harbor1	chr1	16687134	16687256	DNA/hAT-Charlie	554	-	61	16687195	90300
chr1	2138519	2338519	harbor1	chr1	2165539	2165716	DNA/hAT-Charlie	635	-	88	2165627	27108
chr1	2138519	2338519	harbor1	chr1	2168119	2168297	DNA/hAT-Charlie	732	-	89	2168208	29689
chr1	89721500	89921500	harbor1	chr1	89811835	89811960	DNA/hAT-Charlie	479	-	62	89811897	90397
chr1	16544947	16744947	harbor1	chr1	16643865	16644061	DNA/hAT-Charlie	1037	-	98	16643963	99016
chr1	16625292	16825292	harbor1	chr1	16643865	16644061	DNA/hAT-Charlie	1037	-	98	16643963	18671
chr1	16625292	16825292	harbor1	chr1	16650295	16650563	DNA/hAT-Charlie	1054	-	134	16650429	25137
chr1	16625292	16825292	harbor1	chr1	16653377	16653554	DNA/hAT-Charlie	954	-	88	16653465	28173
chr1	16625292	16825292	harbor1	chr1	16669402	16669589	DNA/hAT-Charlie	835	-	94	16669496	44204
chr1	16625292	16825292	harbor1	chr1	16687134	16687256	DNA/hAT-Charlie	554	-	61	16687195	61903
chr1	16544872	16744872	harbor1	chr1	16643865	16644061	DNA/hAT-Charlie	1037	-	98	16643963	99091
