H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	193326713	193526713	harbor1	chr1	193334898	193335032	LTR/ERV1	414	-	67	193334965	8252
chr1	193326713	193526713	harbor1	chr1	193351340	193351780	LTR/ERV1	1658	-	220	193351560	24847
chr1	2751372	2951372	harbor1	chr1	2807199	2807535	LTR/ERV1	903	-	168	2807367	55995
chr1	2751372	2951372	harbor1	chr1	2839855	2840414	LTR/ERV1	1612	-	280	2840135	88763
chr1	61689580	61889580	harbor1	chr1	61729474	61729654	LTR/ERV1	1037	-	90	61729564	39984
chr1	61689580	61889580	harbor1	chr1	61729928	61730217	LTR/ERV1	1037	-	144	61730072	40492
chr1	61689580	61889580	harbor1	chr1	61743790	61744045	LTR/ERV1	2052	-	128	61743918	54338
chr1	61689580	61889580	harbor1	chr1	61744315	61744503	LTR/ERV1	2052	-	94	61744409	54829
chr1	61689580	61889580	harbor1	chr1	61761379	61761682	LTR/ERV1	1500	-	152	61761531	71951
chr1	61689580	61889580	harbor1	chr1	61761988	61762183	LTR/ERV1	1500	-	98	61762086	72506
chr1	236259460	236459460	harbor1	chr1	236337527	236337840	LTR/ERV1	1749	-	156	236337683	78223
chr1	236259460	236459460	harbor1	chr1	236338142	236338316	LTR/ERV1	1749	-	87	236338229	78769
chr1	236259460	236459460	harbor1	chr1	236349320	236349832	LTR/ERV1	4874	-	256	236349576	90116
chr1	236259460	236459460	harbor1	chr1	236350128	236350403	LTR/ERV1	4874	-	138	236350266	90806
chr1	236259460	236459460	harbor1	chr1	236350573	236350696	LTR/ERV1	731	-	62	236350635	91175
chr1	236259460	236459460	harbor1	chr1	236351298	236351328	LTR/ERV1	1369	-	15	236351313	91853
chr1	236259460	236459460	harbor1	chr1	236351329	236351437	LTR/ERV1	4051	-	54	236351383	91923
chr1	236259460	236459460	harbor1	chr1	236351728	236352219	LTR/ERV1	4051	-	246	236351974	92514
chr1	236259460	236459460	harbor1	chr1	236352220	236352422	LTR/ERV1	1369	-	101	236352321	92861
