H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	103708441	103908441	harbor1	chr1	103729512	103729707	LTR/ERVL	550	+	98	103729610	21169
chr1	103708441	103908441	harbor1	chr1	103768602	103768796	LTR/ERVL	559	+	97	103768699	60258
chr1	234473588	234673588	harbor1	chr1	234489796	234490120	LTR/ERVL	1427	+	162	234489958	16370
chr1	234473588	234673588	harbor1	chr1	234541781	234542200	LTR/ERVL	1788	+	210	234541991	68403
chr1	234473588	234673588	harbor1	chr1	234542295	234542423	LTR/ERVL	412	+	64	234542359	68771
chr1	234473588	234673588	harbor1	chr1	234570803	234571225	LTR/ERVL	1550	+	211	234571014	97426
chr1	217328960	217528960	harbor1	chr1	217389514	217389819	LTR/ERVL	764	+	152	217389666	60706
chr1	161699396	161899396	harbor1	chr1	161702327	161702428	LTR/ERVL	2229	+	50	161702377	2981
chr1	161699396	161899396	harbor1	chr1	161702737	161703136	LTR/ERVL	2229	+	200	161702937	3541
chr1	36619682	36819682	harbor1	chr1	36629373	36629756	LTR/ERVL	1036	+	192	36629565	9883
chr1	36619682	36819682	harbor1	chr1	36630051	36630126	LTR/ERVL	1036	+	38	36630089	10407
chr1	36619682	36819682	harbor1	chr1	36658747	36659216	LTR/ERVL	864	+	234	36658981	39299
chr1	36619682	36819682	harbor1	chr1	36679620	36679872	LTR/ERVL	719	+	126	36679746	60064
chr1	232034265	232234265	harbor1	chr1	232132094	232132882	LTR/ERVL	3959	+	394	232132488	98223
chr1	187934296	188134296	harbor1	chr1	187981335	187981543	LTR/ERVL	440	+	104	187981439	47143
chr1	79114311	79314311	harbor1	chr1	79124907	79125063	LTR/ERVL	545	+	78	79124985	10674
chr1	79114311	79314311	harbor1	chr1	79136112	79136381	LTR/ERVL	528	+	134	79136246	21935
chr1	79114311	79314311	harbor1	chr1	79136694	79136745	LTR/ERVL	528	+	26	79136720	22409
chr1	79114311	79314311	harbor1	chr1	79143110	79143725	LTR/ERVL	3647	+	308	79143418	29107
chr1	232202979	232402979	harbor1	chr1	232211313	232211582	LTR/ERVL	429	+	134	232211447	8468
chr1	232202979	232402979	harbor1	chr1	232211913	232212010	LTR/ERVL	427	+	48	232211961	8982
chr1	232202979	232402979	harbor1	chr1	232213630	232214058	LTR/ERVL	1452	+	214	232213844	10865
chr1	232202979	232402979	harbor1	chr1	232214233	232214512	LTR/ERVL	3326	+	140	232214373	11394
chr1	232202979	232402979	harbor1	chr1	232214958	232216676	LTR/ERVL	3326	+	859	232215817	12838
chr1	232202979	232402979	harbor1	chr1	232224159	232224579	LTR/ERVL	2433	+	210	232224369	21390
chr1	232202979	232402979	harbor1	chr1	232235077	232235415	LTR/ERVL	1448	+	169	232235246	32267
chr1	232202979	232402979	harbor1	chr1	232235738	232235857	LTR/ERVL	1448	+	60	232235798	32819
chr1	232202979	232402979	harbor1	chr1	232236182	232236670	LTR/ERVL	2570	+	244	232236426	33447
chr1	232202979	232402979	harbor1	chr1	232269167	232269699	LTR/ERVL	875	+	266	232269433	66454
chr1	244268148	244468148	harbor1	chr1	244330020	244330603	LTR/ERVL	3011	+	292	244330312	62164
chr1	244268148	244468148	harbor1	chr1	244330939	244331191	LTR/ERVL	1028	+	126	244331065	62917
chr1	182089820	182289820	harbor1	chr1	182105313	182105771	LTR/ERVL	719	+	229	182105542	15722
chr1	222698793	222898793	harbor1	chr1	222752175	222752705	LTR/ERVL	1988	+	265	222752440	53647
chr1	222698793	222898793	harbor1	chr1	222757100	222757334	LTR/ERVL	1921	+	117	222757217	58424
chr1	222698793	222898793	harbor1	chr1	222757640	222757784	LTR/ERVL	1921	+	72	222757712	58919
chr1	104841676	105041676	harbor1	chr1	104881671	104882757	LTR/ERVL	3437	+	543	104882214	40538
chr1	104841676	105041676	harbor1	chr1	104882775	104883060	LTR/ERVL	1061	+	142	104882917	41241
chr1	104841676	105041676	harbor1	chr1	104902221	104902663	LTR/ERVL	3220	+	221	104902442	60766
chr1	104841676	105041676	harbor1	chr1	104927168	104927782	LTR/ERVL	2513	+	307	104927475	85799
chr1	150352413	150552413	harbor1	chr1	150373919	150374737	LTR/ERVL	4471	+	409	150374328	21915
chr1	94585470	94785470	harbor1	chr1	94593704	94594084	LTR/ERVL	1001	+	190	94593894	8424
chr1	94585470	94785470	harbor1	chr1	94630284	94630661	LTR/ERVL	658	+	188	94630472	45002
chr1	181147469	181347469	harbor1	chr1	181149662	181149981	LTR/ERVL	646	+	160	181149822	2353
chr1	181147469	181347469	harbor1	chr1	181154745	181154835	LTR/ERVL	647	+	45	181154790	7321
chr1	181147469	181347469	harbor1	chr1	181155320	181155734	LTR/ERVL	1788	+	207	181155527	8058
chr1	181147469	181347469	harbor1	chr1	181156389	181156937	LTR/ERVL	2194	+	274	181156663	9194
chr1	181147469	181347469	harbor1	chr1	181167696	181168232	LTR/ERVL	2997	+	268	181167964	20495
chr1	181147469	181347469	harbor1	chr1	181168509	181168555	LTR/ERVL	2997	+	23	181168532	21063
chr1	181147469	181347469	harbor1	chr1	181178989	181179036	LTR/ERVL	1815	+	24	181179013	31544
chr1	181147469	181347469	harbor1	chr1	181179352	181179759	LTR/ERVL	1815	+	204	181179556	32087
chr1	181147469	181347469	harbor1	chr1	181230158	181230531	LTR/ERVL	682	+	186	181230344	82875
chr1	181147469	181347469	harbor1	chr1	181230540	181230801	LTR/ERVL	731	+	130	181230670	83201
chr1	181147469	181347469	harbor1	chr1	181231289	181231665	LTR/ERVL	2159	+	188	181231477	84008
chr1	181147469	181347469	harbor1	chr1	181231960	181232466	LTR/ERVL	2159	+	253	181232213	84744
chr1	181147469	181347469	harbor1	chr1	181232481	181232588	LTR/ERVL	578	+	54	181232535	85066
chr1	181147469	181347469	harbor1	chr1	181232674	181232968	LTR/ERVL	729	+	147	181232821	85352
chr1	181147469	181347469	harbor1	chr1	181234471	181234761	LTR/ERVL	905	+	145	181234616	87147
chr1	89226195	89426195	harbor1	chr1	89277913	89278269	LTR/ERVL	647	+	178	89278091	51896
chr1	89226195	89426195	harbor1	chr1	89280024	89280552	LTR/ERVL	1019	+	264	89280288	54093
chr1	89226195	89426195	harbor1	chr1	89304794	89304848	LTR/ERVL	633	+	27	89304821	78626
chr1	8241903	8441903	harbor1	chr1	8275677	8275712	LTR/ERVL	828	+	18	8275695	33792
chr1	8241903	8441903	harbor1	chr1	8276031	8276307	LTR/ERVL	828	+	138	8276169	34266
chr1	8241903	8441903	harbor1	chr1	8276398	8276856	LTR/ERVL	1429	+	229	8276627	34724
chr1	8241903	8441903	harbor1	chr1	8284830	8285111	LTR/ERVL	575	+	140	8284970	43067
chr1	29488753	29688753	harbor1	chr1	29514261	29514663	LTR/ERVL	847	+	201	29514462	25709
chr1	29488753	29688753	harbor1	chr1	29587308	29587869	LTR/ERVL	2005	+	280	29587588	98835
chr1	59479253	59679253	harbor1	chr1	59503776	59504653	LTR/ERVL	4366	+	438	59504214	24961
chr1	29719198	29919198	harbor1	chr1	29719140	29719543	LTR/ERVL	1329	+	202	29719342	144
chr1	29719198	29919198	harbor1	chr1	29732795	29733176	LTR/ERVL	632	+	190	29732985	13787
chr1	29719198	29919198	harbor1	chr1	29742924	29743192	LTR/ERVL	927	+	134	29743058	23860
chr1	29719198	29919198	harbor1	chr1	29789760	29790163	LTR/ERVL	794	+	202	29789962	70764
chr1	29719198	29919198	harbor1	chr1	29793094	29793740	LTR/ERVL	1822	+	323	29793417	74219
chr1	29719198	29919198	harbor1	chr1	29794201	29794568	LTR/ERVL	3025	+	184	29794385	75187
chr1	29719198	29919198	harbor1	chr1	29794683	29794724	LTR/ERVL	3025	+	20	29794703	75505
chr1	29719198	29919198	harbor1	chr1	29794725	29796234	LTR/ERVL	32601	+	754	29795479	76281
chr1	29719198	29919198	harbor1	chr1	29796326	29799198	LTR/ERVL	32601	+	1436	29797762	78564
chr1	29719198	29919198	harbor1	chr1	29799192	29799579	LTR/ERVL	2698	+	194	29799386	80188
chr1	29719198	29919198	harbor1	chr1	29799584	29800046	LTR/ERVL	2925	+	231	29799815	80617
chr1	105798872	105998872	harbor1	chr1	105841892	105842167	LTR/ERVL	852	+	138	105842030	43158
chr1	105798872	105998872	harbor1	chr1	105842869	105843180	LTR/ERVL	824	+	156	105843025	44153
chr1	105798872	105998872	harbor1	chr1	105888166	105888711	LTR/ERVL	1761	+	272	105888438	89566
chr1	105798872	105998872	harbor1	chr1	105840611	105841231	LTR/ERVL	1150	+	310	105840921	42049
chr1	215718321	215918321	harbor1	chr1	215735098	215735446	LTR/ERVL	1152	+	174	215735272	16951
chr1	111130357	111330357	harbor1	chr1	111131931	111132670	LTR/ERVL	2587	+	370	111132301	1944
chr1	111130357	111330357	harbor1	chr1	111220543	111220944	LTR/ERVL	705	+	200	111220743	90386
chr1	219270043	219470043	harbor1	chr1	219306299	219306741	LTR/ERVL	1503	+	221	219306520	36477
chr1	219270043	219470043	harbor1	chr1	219306881	219306936	LTR/ERVL	1295	+	28	219306909	36866
chr1	219270043	219470043	harbor1	chr1	219342175	219342622	LTR/ERVL	1611	+	224	219342399	72356
chr1	237802493	238002493	harbor1	chr1	237857158	237857387	LTR/ERVL	620	+	114	237857272	54779
chr1	237802493	238002493	harbor1	chr1	237858465	237858680	LTR/ERVL	485	+	108	237858573	56080
chr1	237802493	238002493	harbor1	chr1	237870404	237870512	LTR/ERVL	445	+	54	237870458	67965
chr1	25981437	26181437	harbor1	chr1	26004373	26004579	LTR/ERVL	637	+	103	26004476	23039
chr1	25981437	26181437	harbor1	chr1	26013937	26014124	LTR/ERVL	964	+	94	26014031	32594
chr1	25981437	26181437	harbor1	chr1	26049855	26050127	LTR/ERVL	468	+	136	26049991	68554
chr1	116082008	116282008	harbor1	chr1	116147893	116148310	LTR/ERVL	1384	+	208	116148101	66093
chr1	13675368	13875368	harbor1	chr1	13684986	13685376	LTR/ERVL	1004	+	195	13685181	9813
chr1	230352990	230552990	harbor1	chr1	230354299	230354475	LTR/ERVL	459	+	88	230354387	1397
chr1	168750546	168950546	harbor1	chr1	168757777	168758198	LTR/ERVL	1626	+	210	168757987	7441
chr1	168750546	168950546	harbor1	chr1	168782022	168782150	LTR/ERVL	650	+	64	168782086	31540
chr1	168750546	168950546	harbor1	chr1	168846453	168846944	LTR/ERVL	1180	+	246	168846699	96153
chr1	195409037	195609037	harbor1	chr1	195443297	195443780	LTR/ERVL	520	+	242	195443539	34502
chr1	195409037	195609037	harbor1	chr1	195444358	195444542	LTR/ERVL	871	+	92	195444450	35413
chr1	195409037	195609037	harbor1	chr1	195450446	195450601	LTR/ERVL	538	+	78	195450524	41487
chr1	195409037	195609037	harbor1	chr1	195450630	195451009	LTR/ERVL	1907	+	190	195450820	41783
chr1	195409037	195609037	harbor1	chr1	195451016	195451273	LTR/ERVL	1312	+	128	195451144	42107
chr1	195409037	195609037	harbor1	chr1	195468814	195469029	LTR/ERVL	614	+	108	195468922	59885
chr1	198379030	198579030	harbor1	chr1	198392875	198393085	LTR/ERVL	482	+	105	198392980	13950
chr1	198379030	198579030	harbor1	chr1	198398556	198398660	LTR/ERVL	1103	+	52	198398608	19578
chr1	198379030	198579030	harbor1	chr1	198398959	198399243	LTR/ERVL	1103	+	142	198399101	20071
chr1	80621502	80821502	harbor1	chr1	80659443	80660686	LTR/ERVL	2209	+	622	80660065	38563
chr1	208001267	208201267	harbor1	chr1	208017627	208017985	LTR/ERVL	2264	+	179	208017806	16539
chr1	208001267	208201267	harbor1	chr1	208018038	208018085	LTR/ERVL	2264	+	24	208018062	16795
chr1	208001267	208201267	harbor1	chr1	208048785	208049288	LTR/ERVL	2439	+	252	208049037	47770
chr1	197582611	197782611	harbor1	chr1	197632741	197633166	LTR/ERVL	1153	+	212	197632953	50342
chr1	197582611	197782611	harbor1	chr1	197633318	197634343	LTR/ERVL	1868	+	512	197633830	51219
chr1	239265468	239465468	harbor1	chr1	239280409	239280736	LTR/ERVL	1128	+	164	239280573	15105
chr1	239265468	239465468	harbor1	chr1	239297133	239297619	LTR/ERVL	831	+	243	239297376	31908
chr1	114302945	114502945	harbor1	chr1	114311277	114312145	LTR/ERVL	5134	+	434	114311711	8766
chr1	114302945	114502945	harbor1	chr1	114312378	114312785	LTR/ERVL	2729	+	204	114312582	9637
chr1	114302945	114502945	harbor1	chr1	114334656	114335110	LTR/ERVL	2683	+	227	114334883	31938
chr1	114302945	114502945	harbor1	chr1	114335176	114335237	LTR/ERVL	2683	+	30	114335206	32261
chr1	114302945	114502945	harbor1	chr1	114340341	114340588	LTR/ERVL	618	+	124	114340465	37520
chr1	79262110	79462110	harbor1	chr1	79268672	79269343	LTR/ERVL	1665	+	336	79269008	6898
