H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	26431527	26631527	harbor2	chr1	26461859	26462055	DNA/TcMar-Tigger	855	-	98	26461957	30430
chr1	26431527	26631527	harbor2	chr1	26462321	26462755	DNA/TcMar-Tigger	855	-	217	26462538	31011
chr1	150264161	150464161	harbor2	chr1	150347364	150347448	DNA/TcMar-Tigger	1276	-	42	150347406	83245
chr1	150264161	150464161	harbor2	chr1	150347741	150347988	DNA/TcMar-Tigger	1276	-	124	150347865	83704
chr1	211034356	211234356	harbor2	chr1	211066304	211066596	DNA/TcMar-Tigger	1373	-	146	211066450	32094
chr1	211034356	211234356	harbor2	chr1	211069719	211069898	DNA/TcMar-Tigger	826	-	90	211069809	35453
chr1	211034356	211234356	harbor2	chr1	211070885	211071858	DNA/TcMar-Tigger	5023	-	486	211071371	37015
chr1	211034356	211234356	harbor2	chr1	211101822	211102225	DNA/TcMar-Tigger	473	-	202	211102024	67668
chr1	6348816	6548816	harbor2	chr1	6365295	6365490	DNA/TcMar-Tigger	2387	-	98	6365393	16577
chr1	6348816	6548816	harbor2	chr1	6365784	6365898	DNA/TcMar-Tigger	2387	-	57	6365841	17025
chr1	6348816	6548816	harbor2	chr1	6366172	6366300	DNA/TcMar-Tigger	2387	-	64	6366236	17420
chr1	6348816	6548816	harbor2	chr1	6366608	6366659	DNA/TcMar-Tigger	2387	-	26	6366634	17818
chr1	6348816	6548816	harbor2	chr1	6366887	6366916	DNA/TcMar-Tigger	2387	-	14	6366901	18085
chr1	6348816	6548816	harbor2	chr1	6367215	6367282	DNA/TcMar-Tigger	2387	-	34	6367249	18433
chr1	6348816	6548816	harbor2	chr1	6369282	6369394	DNA/TcMar-Tigger	486	-	56	6369338	20522
chr1	6348816	6548816	harbor2	chr1	6369861	6369958	DNA/TcMar-Tigger	8394	-	48	6369909	21093
chr1	6348816	6548816	harbor2	chr1	6370367	6370457	DNA/TcMar-Tigger	8394	-	45	6370412	21596
chr1	6348816	6548816	harbor2	chr1	6370793	6370803	DNA/TcMar-Tigger	8394	-	5	6370798	21982
chr1	6348816	6548816	harbor2	chr1	6371109	6371362	DNA/TcMar-Tigger	8394	-	126	6371235	22419
chr1	6348816	6548816	harbor2	chr1	6371662	6371762	DNA/TcMar-Tigger	8394	-	50	6371712	22896
chr1	6348816	6548816	harbor2	chr1	6372066	6372547	DNA/TcMar-Tigger	8394	-	240	6372306	23490
