H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	3525011	3725011	harbor1	chr1	3534222	3534440	DNA/hAT-Charlie	602	+	109	3534331	9320
chr1	3525011	3725011	harbor1	chr1	3606179	3606376	DNA/hAT-Charlie	693	+	98	3606277	81266
chr1	63219176	63419176	harbor1	chr1	63260848	63261047	DNA/hAT-Charlie	1081	+	100	63260948	41772
chr1	63219176	63419176	harbor1	chr1	63303650	63303887	DNA/hAT-Charlie	647	+	118	63303768	84592
chr1	63219176	63419176	harbor1	chr1	63311427	63311545	DNA/hAT-Charlie	687	+	59	63311486	92310
chr1	63219176	63419176	harbor1	chr1	63311862	63311969	DNA/hAT-Charlie	687	+	54	63311916	92740
chr1	150461410	150661410	harbor1	chr1	150466897	150467111	DNA/hAT-Charlie	1153	+	107	150467004	5594
chr1	150461410	150661410	harbor1	chr1	150522650	150522828	DNA/hAT-Charlie	753	+	89	150522739	61329
chr1	21742123	21942123	harbor1	chr1	21824925	21825287	DNA/hAT-Charlie	1362	+	181	21825106	82983
chr1	1675980	1875980	harbor1	chr1	1768927	1769088	DNA/hAT-Charlie	435	+	80	1769007	93027
chr1	51230788	51430788	harbor1	chr1	51259084	51259296	DNA/hAT-Charlie	1047	+	106	51259190	28402
chr1	51230788	51430788	harbor1	chr1	51300406	51300570	DNA/hAT-Charlie	431	+	82	51300488	69700
chr1	51230788	51430788	harbor1	chr1	51303934	51304388	DNA/hAT-Charlie	795	+	227	51304161	73373
chr1	109183460	109383460	harbor1	chr1	109211037	109211194	DNA/hAT-Charlie	543	+	78	109211115	27655
chr1	109183460	109383460	harbor1	chr1	109231857	109232015	DNA/hAT-Charlie	719	+	79	109231936	48476
chr1	109183460	109383460	harbor1	chr1	109233026	109233186	DNA/hAT-Charlie	728	+	80	109233106	49646
chr1	109183460	109383460	harbor1	chr1	109248211	109248421	DNA/hAT-Charlie	515	+	105	109248316	64856
chr1	15942113	16142113	harbor1	chr1	15967931	15968128	DNA/hAT-Charlie	989	+	98	15968029	25916
