H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	16543082	16743082	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	6824
chr1	16543082	16743082	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	7224
chr1	16543082	16743082	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	8390
chr1	16543082	16743082	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	8833
chr1	16543082	16743082	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	41303
chr1	16543082	16743082	harbor1	chr1	16616012	16616256	SINE/MIR	462	-	122	16616134	73052
chr1	16543082	16743082	harbor1	chr1	16619309	16619456	SINE/MIR	456	-	74	16619383	76301
chr1	16543082	16743082	harbor1	chr1	16621378	16621593	SINE/MIR	530	-	108	16621486	78404
chr1	16543082	16743082	harbor1	chr1	16623030	16623201	SINE/MIR	537	-	86	16623116	80034
chr1	16543082	16743082	harbor1	chr1	16623585	16623784	SINE/MIR	569	-	100	16623685	80603
chr1	6394942	6594942	harbor1	chr1	6482506	6482662	SINE/MIR	518	-	78	6482584	87642
chr1	6394942	6594942	harbor1	chr1	6492605	6492774	SINE/MIR	520	-	84	6492689	97747
chr1	26400749	26600749	harbor1	chr1	26407188	26407397	SINE/MIR	605	-	104	26407292	6543
chr1	26400749	26600749	harbor1	chr1	26448676	26448857	SINE/MIR	494	-	90	26448766	48017
chr1	26400749	26600749	harbor1	chr1	26452528	26452761	SINE/MIR	901	-	116	26452644	51895
chr1	26400749	26600749	harbor1	chr1	26459430	26459626	SINE/MIR	726	-	98	26459528	58779
chr1	26400749	26600749	harbor1	chr1	26460257	26460460	SINE/MIR	620	-	102	26460359	59610
chr1	26400749	26600749	harbor1	chr1	26466803	26466909	SINE/MIR	432	-	53	26466856	66107
chr1	26400749	26600749	harbor1	chr1	26468444	26468634	SINE/MIR	600	-	95	26468539	67790
chr1	26400749	26600749	harbor1	chr1	26489988	26490129	SINE/MIR	562	-	70	26490058	89309
chr1	26400749	26600749	harbor1	chr1	26490646	26490800	SINE/MIR	452	-	77	26490723	89974
chr1	16423038	16623038	harbor1	chr1	16432889	16433060	SINE/MIR	488	-	86	16432975	9937
chr1	16423038	16623038	harbor1	chr1	16464074	16464201	SINE/MIR	651	-	64	16464138	41100
chr1	16423038	16623038	harbor1	chr1	16501288	16501446	SINE/MIR	466	-	79	16501367	78329
chr1	16543073	16743073	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	6833
chr1	16543073	16743073	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	7233
chr1	16543073	16743073	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	8399
chr1	16543073	16743073	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	8842
chr1	16543073	16743073	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	41312
chr1	16543073	16743073	harbor1	chr1	16616012	16616256	SINE/MIR	462	-	122	16616134	73061
chr1	16543073	16743073	harbor1	chr1	16619309	16619456	SINE/MIR	456	-	74	16619383	76310
chr1	16543073	16743073	harbor1	chr1	16621378	16621593	SINE/MIR	530	-	108	16621486	78413
chr1	16543073	16743073	harbor1	chr1	16623030	16623201	SINE/MIR	537	-	86	16623116	80043
chr1	16543073	16743073	harbor1	chr1	16623585	16623784	SINE/MIR	569	-	100	16623685	80612
chr1	6046640	6246640	harbor1	chr1	6094870	6095098	SINE/MIR	575	-	114	6094984	48344
chr1	16507813	16707813	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	42093
chr1	16507813	16707813	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	42493
chr1	16507813	16707813	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	43659
chr1	16507813	16707813	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	44102
chr1	16507813	16707813	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	76572
chr1	108941871	109141871	harbor1	chr1	108961872	108962059	SINE/MIR	465	-	94	108961966	20095
chr1	108941871	109141871	harbor1	chr1	109006550	109006740	SINE/MIR	555	-	95	109006645	64774
chr1	108941871	109141871	harbor1	chr1	109007700	109007820	SINE/MIR	549	-	60	109007760	65889
chr1	178438257	178638257	harbor1	chr1	178450198	178450439	SINE/MIR	728	-	120	178450318	12061
chr1	178438257	178638257	harbor1	chr1	178466551	178466768	SINE/MIR	570	-	108	178466659	28402
chr1	178438257	178638257	harbor1	chr1	178481832	178482049	SINE/MIR	851	-	108	178481940	43683
chr1	178438257	178638257	harbor1	chr1	178482844	178482984	SINE/MIR	443	-	70	178482914	44657
chr1	178438257	178638257	harbor1	chr1	178491450	178491616	SINE/MIR	478	-	83	178491533	53276
chr1	178438257	178638257	harbor1	chr1	178502685	178502921	SINE/MIR	691	-	118	178502803	64546
chr1	178438257	178638257	harbor1	chr1	178513545	178513711	SINE/MIR	578	-	83	178513628	75371
chr1	178438257	178638257	harbor1	chr1	178531084	178531133	SINE/MIR	468	-	24	178531108	92851
chr1	178438257	178638257	harbor1	chr1	178531438	178531649	SINE/MIR	468	-	106	178531544	93287
chr1	16544872	16744872	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	5034
chr1	16544872	16744872	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	5434
chr1	16544872	16744872	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	6600
chr1	16544872	16744872	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	7043
chr1	16544872	16744872	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	39513
chr1	16544872	16744872	harbor1	chr1	16616012	16616256	SINE/MIR	462	-	122	16616134	71262
chr1	16544872	16744872	harbor1	chr1	16619309	16619456	SINE/MIR	456	-	74	16619383	74511
chr1	16544872	16744872	harbor1	chr1	16621378	16621593	SINE/MIR	530	-	108	16621486	76614
chr1	16544872	16744872	harbor1	chr1	16623030	16623201	SINE/MIR	537	-	86	16623116	78244
chr1	16544872	16744872	harbor1	chr1	16623585	16623784	SINE/MIR	569	-	100	16623685	78813
chr1	211033794	211233794	harbor1	chr1	211046452	211046686	SINE/MIR	846	-	117	211046569	12775
chr1	211033794	211233794	harbor1	chr1	211046691	211046895	SINE/MIR	588	-	102	211046793	12999
chr1	211033794	211233794	harbor1	chr1	211051779	211051960	SINE/MIR	658	-	90	211051869	18075
chr1	6294371	6494371	harbor1	chr1	6334707	6334842	SINE/MIR	463	-	68	6334775	40404
chr1	33156095	33356095	harbor1	chr1	33166457	33166691	SINE/MIR	797	-	117	33166574	10479
chr1	33156095	33356095	harbor1	chr1	33171316	33171493	SINE/MIR	609	-	88	33171404	15309
chr1	33156095	33356095	harbor1	chr1	33177805	33178011	SINE/MIR	564	-	103	33177908	21813
chr1	33156095	33356095	harbor1	chr1	33220301	33220490	SINE/MIR	517	-	94	33220395	64300
chr1	33156095	33356095	harbor1	chr1	33221525	33221725	SINE/MIR	598	-	100	33221625	65530
chr1	33156095	33356095	harbor1	chr1	33231050	33231295	SINE/MIR	521	-	122	33231172	75077
chr1	109183430	109383430	harbor1	chr1	109225603	109225818	SINE/MIR	448	-	108	109225711	42281
chr1	15661997	15861997	harbor1	chr1	15708894	15709131	SINE/MIR	934	-	118	15709012	47015
chr1	15661997	15861997	harbor1	chr1	15709531	15709673	SINE/MIR	469	-	71	15709602	47605
chr1	15661997	15861997	harbor1	chr1	15735631	15735849	SINE/MIR	575	-	109	15735740	73743
chr1	15661997	15861997	harbor1	chr1	15738873	15739087	SINE/MIR	606	-	107	15738980	76983
chr1	15661997	15861997	harbor1	chr1	15739698	15739897	SINE/MIR	526	-	100	15739798	77801
chr1	15661997	15861997	harbor1	chr1	15743443	15743620	SINE/MIR	583	-	88	15743531	81534
chr1	15661997	15861997	harbor1	chr1	15748833	15749077	SINE/MIR	855	-	122	15748955	86958
chr1	15661997	15861997	harbor1	chr1	15758112	15758311	SINE/MIR	525	-	100	15758212	96215
chr1	717645	917645	harbor1	chr1	797344	797585	SINE/MIR	496	-	120	797464	79819
chr1	16544914	16744914	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	4992
chr1	16544914	16744914	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	5392
chr1	16544914	16744914	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	6558
chr1	16544914	16744914	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	7001
chr1	16544914	16744914	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	39471
chr1	16544914	16744914	harbor1	chr1	16616012	16616256	SINE/MIR	462	-	122	16616134	71220
chr1	16544914	16744914	harbor1	chr1	16619309	16619456	SINE/MIR	456	-	74	16619383	74469
chr1	16544914	16744914	harbor1	chr1	16621378	16621593	SINE/MIR	530	-	108	16621486	76572
chr1	16544914	16744914	harbor1	chr1	16623030	16623201	SINE/MIR	537	-	86	16623116	78202
chr1	16544914	16744914	harbor1	chr1	16623585	16623784	SINE/MIR	569	-	100	16623685	78771
chr1	47316941	47516941	harbor1	chr1	47397569	47397791	SINE/MIR	753	-	111	47397680	80739
chr1	16544773	16744773	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	5133
chr1	16544773	16744773	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	5533
chr1	16544773	16744773	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	6699
chr1	16544773	16744773	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	7142
chr1	16544773	16744773	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	39612
chr1	16544773	16744773	harbor1	chr1	16616012	16616256	SINE/MIR	462	-	122	16616134	71361
chr1	16544773	16744773	harbor1	chr1	16619309	16619456	SINE/MIR	456	-	74	16619383	74610
chr1	16544773	16744773	harbor1	chr1	16621378	16621593	SINE/MIR	530	-	108	16621486	76713
chr1	16544773	16744773	harbor1	chr1	16623030	16623201	SINE/MIR	537	-	86	16623116	78343
chr1	16544773	16744773	harbor1	chr1	16623585	16623784	SINE/MIR	569	-	100	16623685	78912
chr1	16504018	16704018	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	45888
chr1	16504018	16704018	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	46288
chr1	16504018	16704018	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	47454
chr1	16504018	16704018	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	47897
chr1	16504018	16704018	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	80367
chr1	226479130	226679130	harbor1	chr1	226483075	226483284	SINE/MIR	819	-	104	226483179	4049
chr1	226479130	226679130	harbor1	chr1	226517250	226517457	SINE/MIR	615	-	104	226517354	38224
chr1	226479130	226679130	harbor1	chr1	226519282	226519389	SINE/MIR	515	-	54	226519336	40206
chr1	226479130	226679130	harbor1	chr1	226529556	226529766	SINE/MIR	749	-	105	226529661	50531
chr1	226479130	226679130	harbor1	chr1	226544116	226544250	SINE/MIR	437	-	67	226544183	65053
chr1	226479130	226679130	harbor1	chr1	226572819	226572979	SINE/MIR	634	-	80	226572899	93769
chr1	226479130	226679130	harbor1	chr1	226577002	226577213	SINE/MIR	772	-	106	226577108	97978
chr1	211033705	211233705	harbor1	chr1	211046452	211046686	SINE/MIR	846	-	117	211046569	12864
chr1	211033705	211233705	harbor1	chr1	211046691	211046895	SINE/MIR	588	-	102	211046793	13088
chr1	211033705	211233705	harbor1	chr1	211051779	211051960	SINE/MIR	658	-	90	211051869	18164
chr1	16513040	16713040	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	36866
chr1	16513040	16713040	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	37266
chr1	16513040	16713040	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	38432
chr1	16513040	16713040	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	38875
chr1	16513040	16713040	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	71345
chr1	47316928	47516928	harbor1	chr1	47397569	47397791	SINE/MIR	753	-	111	47397680	80752
chr1	13662912	13862912	harbor1	chr1	13681301	13681517	SINE/MIR	515	-	108	13681409	18497
chr1	13662912	13862912	harbor1	chr1	13720623	13720762	SINE/MIR	461	-	70	13720693	57781
chr1	13662912	13862912	harbor1	chr1	13756804	13756938	SINE/MIR	482	-	67	13756871	93959
chr1	16544793	16744793	harbor1	chr1	16549882	16549929	SINE/MIR	671	-	24	16549906	5113
chr1	16544793	16744793	harbor1	chr1	16550232	16550380	SINE/MIR	671	-	74	16550306	5513
chr1	16544793	16744793	harbor1	chr1	16551364	16551580	SINE/MIR	493	-	108	16551472	6679
chr1	16544793	16744793	harbor1	chr1	16551815	16552014	SINE/MIR	530	-	100	16551915	7122
chr1	16544793	16744793	harbor1	chr1	16584312	16584458	SINE/MIR	440	-	73	16584385	39592
chr1	16544793	16744793	harbor1	chr1	16616012	16616256	SINE/MIR	462	-	122	16616134	71341
chr1	16544793	16744793	harbor1	chr1	16619309	16619456	SINE/MIR	456	-	74	16619383	74590
chr1	16544793	16744793	harbor1	chr1	16621378	16621593	SINE/MIR	530	-	108	16621486	76693
chr1	16544793	16744793	harbor1	chr1	16623030	16623201	SINE/MIR	537	-	86	16623116	78323
chr1	16544793	16744793	harbor1	chr1	16623585	16623784	SINE/MIR	569	-	100	16623685	78892
