0	1	2	3	4	5	6	7	8	9	10	11
SRR12625674.10009367	12308280	16	12308374	79M71S	2048	12311935	71M79H	79	71	12308453	12312005
SRR12625674.10078890	76990231	16	76990286	107M43S	2048	76985615	43M107H	107	43	76990393	76985657
SRR12625674.10111089	78986755	16	78986780	115M35S	2048	78978909	35M115H	115	35	78986895	78978943
SRR12625674.10120855	75205119	16	75205141	114M36S	2048	75202953	36M114H	114	36	75205255	75202988
SRR12625674.10199393	26226266	16	26226337	114M36S	2048	34979570	37M113H	114	37	26226451	34979606
SRR12625674.10200146	74478330	0	74478286	24M126S	2048	58347206	45H22M83H	24	22	74478310	58347227
SRR12625674.10222191	26267819	0	26226398	91M59S	2064	26267882	60M90H	91	60	26226489	26267941
SRR12625674.10255018	26226305	16	26226368	85M65S	2048	23423216	65M85H	85	65	26226453	23423280
SRR12625674.10299464	37276284	16	37276334	96M54S	2048	37275099	55M95H	96	55	37276430	37275153
SRR12625674.10304317	12259022	16	12259046	113M37S	2048	12245053	38M112H	113	38	12259159	12245090
SRR12625674.10349420	26226327	16	26226350	102M48S	2048	23844860	17H24M109H	102	24	26226452	23844883
SRR12625674.10353447	79068648	16	79068729	101M49S	2048	79069032	50M100H	101	50	79068830	79069081
SRR12625674.10366449	11993448	16	11993477	109M41S	2048	11981269	42M108H	109	42	11993586	11981310
SRR12625674.10373269	79396166	16	79396238	93M57S	2048	79518198	37M113H	93	37	79396331	79518234
SRR12625674.10408372	12259080	16	12259109	111M39S	2048	21936478	28M122H	111	28	12259220	21936505
SRR12625674.10408949	26227040	16	26227189	98M52S	2048	26226400	52M98H	98	52	26227287	26226451
SRR12625674.10413737	74478275	0	74478269	43M107S	2064	58460396	88H22M40H	43	22	74478312	58460417
SRR12625674.10459258	74477787	16	74477828	102M48S	2048	74478285	49M101H	102	49	74477930	74478333
SRR12625674.1049510	26226369	16	26226374	115M35S	2048	23530002	35M115H	115	35	26226489	23530036
SRR12625674.10497247	48408920	16	48408864	113S24M13S	2048	23959487	66H22M62H	24	22	48408888	23959508
SRR12625674.10527258	46466287	16	46466322	84M66S	2048	46467601	66M84H	84	66	46466406	46467666
SRR12625674.10566719	33578637	16	33578694	103M47S	2064	33569716	102H32M16H	103	32	33578797	33569747
SRR12625674.10611670	74478477	0	74478277	35M115S	2064	58460395	95H23M32H	35	23	74478312	58460417
SRR12625674.1064490	26226880	16	26226897	101M49S	2048	26226402	49M101H	101	49	26226998	26226450
SRR12625674.10673351	26131309	0	26226340	107M43S	2064	26131417	26M124H	107	26	26226447	26131442
