H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	16544779	16744779	harbor2	chr1	16560670	16560870	LTR/ERVL	779	+	100	16560770	15991
chr1	26431527	26631527	harbor2	chr1	26496945	26497334	LTR/ERVL	993	+	194	26497139	65612
chr1	16544783	16744783	harbor2	chr1	16560670	16560870	LTR/ERVL	779	+	100	16560770	15987
chr1	16544748	16744748	harbor2	chr1	16560670	16560870	LTR/ERVL	779	+	100	16560770	16022
chr1	227643530	227843530	harbor2	chr1	227691218	227691462	LTR/ERVL	908	+	122	227691340	47810
chr1	227643530	227843530	harbor2	chr1	227711887	227712200	LTR/ERVL	978	+	156	227712043	68513
chr1	227643530	227843530	harbor2	chr1	227724991	227725700	LTR/ERVL	4317	+	354	227725345	81815
chr1	227643530	227843530	harbor2	chr1	227726734	227727181	LTR/ERVL	2361	+	224	227726958	83428
chr1	178442681	178642681	harbor2	chr1	178499300	178499699	LTR/ERVL	3027	+	200	178499500	56819
chr1	178442681	178642681	harbor2	chr1	178500008	178500076	LTR/ERVL	565	+	34	178500042	57361
chr1	211034356	211234356	harbor2	chr1	211067248	211067560	LTR/ERVL	791	+	156	211067404	33048
chr1	211034356	211234356	harbor2	chr1	211074301	211074595	LTR/ERVL	1044	+	147	211074448	40092
chr1	211034356	211234356	harbor2	chr1	211074600	211074993	LTR/ERVL	1575	+	196	211074796	40440
chr1	211034356	211234356	harbor2	chr1	211093920	211094076	LTR/ERVL	730	+	78	211093998	59642
chr1	211034356	211234356	harbor2	chr1	211094405	211094497	LTR/ERVL	730	+	46	211094451	60095
chr1	211034356	211234356	harbor2	chr1	211115321	211115701	LTR/ERVL	3316	+	190	211115511	81155
chr1	211034356	211234356	harbor2	chr1	211115732	211115794	LTR/ERVL	3316	+	31	211115763	81407
chr1	6348816	6548816	harbor2	chr1	6411051	6411736	LTR/ERVL	1562	+	342	6411393	62577
chr1	727505	927505	harbor2	chr1	741124	741629	LTR/ERVL	3337	+	252	741376	13871
chr1	727505	927505	harbor2	chr1	741937	742006	LTR/ERVL	3337	+	34	741971	14466
chr1	727505	927505	harbor2	chr1	742310	742610	LTR/ERVL	3337	+	150	742460	14955
chr1	727505	927505	harbor2	chr1	752876	753134	LTR/ERVL	3365	+	129	753005	25500
chr1	727505	927505	harbor2	chr1	754046	754345	LTR/ERVL	3365	+	150	754196	26691
chr1	727505	927505	harbor2	chr1	753429	753738	LTR/ERVL	3365	+	154	753583	26078
chr1	87366701	87566701	harbor2	chr1	87425472	87425855	LTR/ERVL	1844	+	192	87425664	58963
chr1	16544774	16744774	harbor2	chr1	16560670	16560870	LTR/ERVL	779	+	100	16560770	15996
chr1	230542426	230742426	harbor2	chr1	230542137	230542560	LTR/ERVL	1292	+	212	230542349	77
chr1	230542426	230742426	harbor2	chr1	230542557	230542596	LTR/ERVL	1153	+	20	230542577	151
chr1	230542426	230742426	harbor2	chr1	230542892	230543180	LTR/ERVL	1153	+	144	230543036	610
