H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	6394942	6594942	harbor1	chr1	6415219	6415432	DNA/TcMar-Tigger	971	+	106	6415325	20383
chr1	26400749	26600749	harbor1	chr1	26487433	26487737	DNA/TcMar-Tigger	2071	+	152	26487585	86836
chr1	26400749	26600749	harbor1	chr1	26488048	26488171	DNA/TcMar-Tigger	2071	+	62	26488110	87361
chr1	108941871	109141871	harbor1	chr1	108958204	108958597	DNA/TcMar-Tigger	2208	+	196	108958400	16529
chr1	108941871	109141871	harbor1	chr1	108959386	108959518	DNA/TcMar-Tigger	831	+	66	108959452	17581
chr1	108941871	109141871	harbor1	chr1	108959506	108959725	DNA/TcMar-Tigger	1212	+	110	108959616	17745
chr1	108941871	109141871	harbor1	chr1	108986087	108986220	DNA/TcMar-Tigger	704	+	66	108986153	44282
chr1	33156095	33356095	harbor1	chr1	33186018	33186523	DNA/TcMar-Tigger	2868	+	252	33186270	30175
chr1	109183430	109383430	harbor1	chr1	109209028	109209292	DNA/TcMar-Tigger	1474	+	132	109209160	25730
chr1	717645	917645	harbor1	chr1	793726	794040	DNA/TcMar-Tigger	1971	+	157	793883	76238
chr1	717645	917645	harbor1	chr1	809061	809590	DNA/TcMar-Tigger	3061	+	264	809325	91680
chr1	47316941	47516941	harbor1	chr1	47316976	47317122	DNA/TcMar-Tigger	886	+	73	47317049	108
chr1	47316928	47516928	harbor1	chr1	47316976	47317122	DNA/TcMar-Tigger	886	+	73	47317049	121
chr1	13662912	13862912	harbor1	chr1	13682690	13683031	DNA/TcMar-Tigger	1721	+	170	13682860	19948
chr1	13662912	13862912	harbor1	chr1	13685401	13685538	DNA/TcMar-Tigger	851	+	68	13685469	22557
chr1	6684326	6884326	harbor1	chr1	6713742	6713820	DNA/TcMar-Tigger	432	+	39	6713781	29455
chr1	6684326	6884326	harbor1	chr1	6714119	6714158	DNA/TcMar-Tigger	432	+	20	6714139	29813
chr1	6684326	6884326	harbor1	chr1	6716334	6716770	DNA/TcMar-Tigger	2526	+	218	6716552	32226
chr1	3246650	3446650	harbor1	chr1	3341582	3341990	DNA/TcMar-Tigger	1757	+	204	3341786	95136
chr1	205330408	205530408	harbor1	chr1	205367549	205367769	DNA/TcMar-Tigger	444	+	110	205367659	37251
chr1	5895458	6095458	harbor1	chr1	5925138	5925430	DNA/TcMar-Tigger	1658	+	146	5925284	29826
chr1	5895458	6095458	harbor1	chr1	5926418	5926569	DNA/TcMar-Tigger	629	+	76	5926494	31036
chr1	5895458	6095458	harbor1	chr1	5945777	5945969	DNA/TcMar-Tigger	1003	+	96	5945873	50415
chr1	5895458	6095458	harbor1	chr1	5945984	5946206	DNA/TcMar-Tigger	1040	+	111	5946095	50637
chr1	5895458	6095458	harbor1	chr1	5982212	5982535	DNA/TcMar-Tigger	1784	+	162	5982374	86916
chr1	1	128757	harbor1	chr1	80712	80804	DNA/TcMar-Tigger	1018	+	46	80758	80757
chr1	1	128757	harbor1	chr1	81097	81231	DNA/TcMar-Tigger	1018	+	67	81164	81163
chr1	1	128757	harbor1	chr1	81232	81691	DNA/TcMar-Tigger	2382	+	230	81462	81461
chr1	39855348	40055348	harbor1	chr1	39860387	39860579	DNA/TcMar-Tigger	1076	+	96	39860483	5135
chr1	2138120	2338120	harbor1	chr1	2176072	2176243	DNA/TcMar-Tigger	442	+	86	2176158	38038
chr1	755937	955937	harbor1	chr1	793726	794040	DNA/TcMar-Tigger	1971	+	157	793883	37946
chr1	755937	955937	harbor1	chr1	809061	809590	DNA/TcMar-Tigger	3061	+	264	809325	53388
chr1	755937	955937	harbor1	chr1	819731	819948	DNA/TcMar-Tigger	1132	+	108	819839	63902
chr1	47234717	47434717	harbor1	chr1	47316976	47317122	DNA/TcMar-Tigger	886	+	73	47317049	82332
chr1	29137918	29337918	harbor1	chr1	29164881	29165083	DNA/TcMar-Tigger	961	+	101	29164982	27064
chr1	2138503	2338503	harbor1	chr1	2176072	2176243	DNA/TcMar-Tigger	442	+	86	2176158	37655
chr1	26400777	26600777	harbor1	chr1	26487433	26487737	DNA/TcMar-Tigger	2071	+	152	26487585	86808
chr1	26400777	26600777	harbor1	chr1	26488048	26488171	DNA/TcMar-Tigger	2071	+	62	26488110	87333
chr1	51230780	51430780	harbor1	chr1	51248946	51249107	DNA/TcMar-Tigger	856	+	80	51249026	18246
chr1	51230780	51430780	harbor1	chr1	51250447	51250552	DNA/TcMar-Tigger	484	+	52	51250499	19719
chr1	51230780	51430780	harbor1	chr1	51251497	51251654	DNA/TcMar-Tigger	673	+	78	51251575	20795
chr1	51230780	51430780	harbor1	chr1	51252117	51252317	DNA/TcMar-Tigger	1536	+	100	51252217	21437
chr1	51230780	51430780	harbor1	chr1	51252630	51252695	DNA/TcMar-Tigger	1536	+	32	51252662	21882
chr1	51230780	51430780	harbor1	chr1	51263418	51263619	DNA/TcMar-Tigger	774	+	100	51263518	32738
chr1	51230780	51430780	harbor1	chr1	51274007	51274102	DNA/TcMar-Tigger	814	+	48	51274055	43275
chr1	51230780	51430780	harbor1	chr1	51274398	51274464	DNA/TcMar-Tigger	814	+	33	51274431	43651
chr1	51230780	51430780	harbor1	chr1	51274775	51274933	DNA/TcMar-Tigger	814	+	79	51274854	44074
chr1	244605801	244805801	harbor1	chr1	244627760	244628301	DNA/TcMar-Tigger	3047	+	270	244628030	22229
chr1	6685401	6885401	harbor1	chr1	6713742	6713820	DNA/TcMar-Tigger	432	+	39	6713781	28380
chr1	6685401	6885401	harbor1	chr1	6714119	6714158	DNA/TcMar-Tigger	432	+	20	6714139	28738
chr1	6685401	6885401	harbor1	chr1	6716334	6716770	DNA/TcMar-Tigger	2526	+	218	6716552	31151
chr1	39855400	40055400	harbor1	chr1	39860387	39860579	DNA/TcMar-Tigger	1076	+	96	39860483	5083
chr1	54939721	55139721	harbor1	chr1	54971015	54971215	DNA/TcMar-Tigger	566	+	100	54971115	31394
chr1	54939721	55139721	harbor1	chr1	54971859	54972162	DNA/TcMar-Tigger	964	+	152	54972011	32290
chr1	54939721	55139721	harbor1	chr1	55022590	55022707	DNA/TcMar-Tigger	640	+	58	55022648	82927
chr1	54939721	55139721	harbor1	chr1	55028383	55028644	DNA/TcMar-Tigger	2276	+	130	55028513	88792
chr1	54939721	55139721	harbor1	chr1	55028947	55029129	DNA/TcMar-Tigger	2276	+	91	55029038	89317
chr1	10110200	10310200	harbor1	chr1	10172805	10173105	DNA/TcMar-Tigger	1640	+	150	10172955	62755
chr1	205329486	205529486	harbor1	chr1	205367549	205367769	DNA/TcMar-Tigger	444	+	110	205367659	38173
chr1	51230829	51430829	harbor1	chr1	51248946	51249107	DNA/TcMar-Tigger	856	+	80	51249026	18197
chr1	51230829	51430829	harbor1	chr1	51250447	51250552	DNA/TcMar-Tigger	484	+	52	51250499	19670
chr1	51230829	51430829	harbor1	chr1	51251497	51251654	DNA/TcMar-Tigger	673	+	78	51251575	20746
chr1	51230829	51430829	harbor1	chr1	51252117	51252317	DNA/TcMar-Tigger	1536	+	100	51252217	21388
chr1	51230829	51430829	harbor1	chr1	51252630	51252695	DNA/TcMar-Tigger	1536	+	32	51252662	21833
chr1	51230829	51430829	harbor1	chr1	51263418	51263619	DNA/TcMar-Tigger	774	+	100	51263518	32689
chr1	51230829	51430829	harbor1	chr1	51274007	51274102	DNA/TcMar-Tigger	814	+	48	51274055	43226
chr1	51230829	51430829	harbor1	chr1	51274398	51274464	DNA/TcMar-Tigger	814	+	33	51274431	43602
chr1	51230829	51430829	harbor1	chr1	51274775	51274933	DNA/TcMar-Tigger	814	+	79	51274854	44025
chr1	11740558	11940558	harbor1	chr1	11816033	11816159	DNA/TcMar-Tigger	668	+	63	11816096	75538
chr1	11740558	11940558	harbor1	chr1	11816156	11816371	DNA/TcMar-Tigger	1319	+	108	11816264	75706
chr1	11740558	11940558	harbor1	chr1	11818266	11818489	DNA/TcMar-Tigger	1208	+	112	11818378	77820
chr1	11740558	11940558	harbor1	chr1	11830289	11830629	DNA/TcMar-Tigger	1357	+	170	11830459	89901
chr1	4224540	4424540	harbor1	chr1	4248104	4248418	DNA/TcMar-Tigger	1850	+	157	4248261	23721
chr1	726325	926325	harbor1	chr1	793726	794040	DNA/TcMar-Tigger	1971	+	157	793883	67558
chr1	726325	926325	harbor1	chr1	809061	809590	DNA/TcMar-Tigger	3061	+	264	809325	83000
chr1	726325	926325	harbor1	chr1	819731	819948	DNA/TcMar-Tigger	1132	+	108	819839	93514
chr1	156525456	156725456	harbor1	chr1	156576521	156576737	DNA/TcMar-Tigger	2919	+	108	156576629	51173
chr1	156525456	156725456	harbor1	chr1	156577048	156577172	DNA/TcMar-Tigger	2919	+	62	156577110	51654
chr1	156525456	156725456	harbor1	chr1	156577464	156577746	DNA/TcMar-Tigger	2919	+	141	156577605	52149
chr1	156525456	156725456	harbor1	chr1	156587398	156587553	DNA/TcMar-Tigger	616	+	78	156587476	62020
chr1	156525456	156725456	harbor1	chr1	156587684	156587790	DNA/TcMar-Tigger	616	+	53	156587737	62281
chr1	156525456	156725456	harbor1	chr1	156588794	156589065	DNA/TcMar-Tigger	871	+	136	156588930	63474
chr1	244589301	244789301	harbor1	chr1	244627760	244628301	DNA/TcMar-Tigger	3047	+	270	244628030	38729
chr1	2136117	2336117	harbor1	chr1	2176072	2176243	DNA/TcMar-Tigger	442	+	86	2176158	40041
chr1	53846279	54046279	harbor1	chr1	53855501	53855829	DNA/TcMar-Tigger	1926	+	164	53855665	9386
chr1	53846279	54046279	harbor1	chr1	53865305	53865623	DNA/TcMar-Tigger	952	+	159	53865464	19185
chr1	53846338	54046338	harbor1	chr1	53855501	53855829	DNA/TcMar-Tigger	1926	+	164	53855665	9327
chr1	53846338	54046338	harbor1	chr1	53865305	53865623	DNA/TcMar-Tigger	952	+	159	53865464	19126
chr1	2138467	2338467	harbor1	chr1	2176072	2176243	DNA/TcMar-Tigger	442	+	86	2176158	37691
chr1	154400577	154600577	harbor1	chr1	154424470	154424790	DNA/TcMar-Tigger	519	+	160	154424630	24053
chr1	154400577	154600577	harbor1	chr1	154425254	154425269	DNA/TcMar-Tigger	519	+	8	154425262	24685
chr1	204585380	204785380	harbor1	chr1	204659123	204659238	DNA/TcMar-Tigger	593	+	58	204659181	73801
chr1	244735088	244935088	harbor1	chr1	244792281	244792501	DNA/TcMar-Tigger	916	+	110	244792391	57303
chr1	244605835	244805835	harbor1	chr1	244627760	244628301	DNA/TcMar-Tigger	3047	+	270	244628030	22195
