H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	16544779	16744779	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	53913
chr1	26431527	26631527	harbor2	chr1	26477682	26477893	LTR/ERVL-MaLR	502	-	106	26477788	46261
chr1	26431527	26631527	harbor2	chr1	26517700	26517842	LTR/ERVL-MaLR	673	-	71	26517771	86244
chr1	26431527	26631527	harbor2	chr1	26517916	26518125	LTR/ERVL-MaLR	970	-	104	26518020	86493
chr1	16544783	16744783	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	53909
chr1	16544748	16744748	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	53944
chr1	227643530	227843530	harbor2	chr1	227709565	227709835	LTR/ERVL-MaLR	907	-	135	227709700	66170
chr1	178442681	178642681	harbor2	chr1	178523688	178524154	LTR/ERVL-MaLR	2020	-	233	178523921	81240
chr1	178442681	178642681	harbor2	chr1	178525563	178525908	LTR/ERVL-MaLR	1689	-	172	178525735	83054
chr1	16591604	16791604	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	7088
chr1	16591604	16791604	harbor2	chr1	16671507	16671858	LTR/ERVL-MaLR	2578	-	176	16671683	80079
chr1	33322912	33522912	harbor2	chr1	33419287	33419612	LTR/ERVL-MaLR	1592	-	162	33419449	96537
chr1	33322912	33522912	harbor2	chr1	33419909	33420087	LTR/ERVL-MaLR	1592	-	89	33419998	97086
chr1	109235951	109435951	harbor2	chr1	109290937	109291372	LTR/ERVL-MaLR	1174	-	218	109291155	55204
chr1	727505	927505	harbor2	chr1	752224	752580	LTR/ERVL-MaLR	1428	-	178	752402	24897
chr1	727505	927505	harbor2	chr1	762854	763171	LTR/ERVL-MaLR	1537	-	158	763012	35507
chr1	87366701	87566701	harbor2	chr1	87387700	87388065	LTR/ERVL-MaLR	1585	-	182	87387882	21181
chr1	87366701	87566701	harbor2	chr1	87407886	87408247	LTR/ERVL-MaLR	1677	-	180	87408066	41365
chr1	87366701	87566701	harbor2	chr1	87421939	87422154	LTR/ERVL-MaLR	2030	-	108	87422047	55346
chr1	87366701	87566701	harbor2	chr1	87422155	87422408	LTR/ERVL-MaLR	2329	-	126	87422281	55580
chr1	87366701	87566701	harbor2	chr1	87422712	87422834	LTR/ERVL-MaLR	2329	-	61	87422773	56072
chr1	87366701	87566701	harbor2	chr1	87422835	87422993	LTR/ERVL-MaLR	2030	-	79	87422914	56213
chr1	87366701	87566701	harbor2	chr1	87443668	87444038	LTR/ERVL-MaLR	2070	-	185	87443853	77152
chr1	87366701	87566701	harbor2	chr1	87444043	87445513	LTR/ERVL-MaLR	7278	-	735	87444778	78077
chr1	87366701	87566701	harbor2	chr1	87445514	87445892	LTR/ERVL-MaLR	2166	-	189	87445703	79002
chr1	87366701	87566701	harbor2	chr1	87460369	87460799	LTR/ERVL-MaLR	1669	-	215	87460584	93883
chr1	230193142	230393142	harbor2	chr1	230217544	230217942	LTR/ERVL-MaLR	1892	-	199	230217743	24601
chr1	230193142	230393142	harbor2	chr1	230255863	230256156	LTR/ERVL-MaLR	1421	-	146	230256009	62867
chr1	230193142	230393142	harbor2	chr1	230256462	230256541	LTR/ERVL-MaLR	1421	-	40	230256502	63360
chr1	230193142	230393142	harbor2	chr1	230284885	230285238	LTR/ERVL-MaLR	830	-	176	230285061	91919
chr1	16544774	16744774	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	53918
chr1	230542426	230742426	harbor2	chr1	230558035	230558399	LTR/ERVL-MaLR	2322	-	182	230558217	15791
chr1	230542426	230742426	harbor2	chr1	230612590	230613088	LTR/ERVL-MaLR	1870	-	249	230612839	70413
chr1	230542426	230742426	harbor2	chr1	230614962	230615215	LTR/ERVL-MaLR	2160	-	126	230615088	72662
chr1	230542426	230742426	harbor2	chr1	230615585	230615738	LTR/ERVL-MaLR	2160	-	76	230615661	73235
chr1	223987701	224187701	harbor2	chr1	224054722	224055102	LTR/ERVL-MaLR	2090	-	190	224054912	67211
chr1	223987701	224187701	harbor2	chr1	224061696	224061949	LTR/ERVL-MaLR	750	-	126	224061822	74121
chr1	16544791	16744791	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	53901
chr1	66204207	66404207	harbor2	chr1	66221918	66222314	LTR/ERVL-MaLR	819	-	198	66222116	17909
chr1	66204207	66404207	harbor2	chr1	66287995	66288416	LTR/ERVL-MaLR	2400	-	210	66288205	83998
chr1	66204207	66404207	harbor2	chr1	66297643	66297789	LTR/ERVL-MaLR	667	-	73	66297716	93509
chr1	16544740	16744740	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	53952
chr1	16546455	16746455	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	52237
chr1	16545171	16745171	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	53521
chr1	6685415	6885415	harbor2	chr1	6686375	6686736	LTR/ERVL-MaLR	1038	-	180	6686555	1140
chr1	6685415	6885415	harbor2	chr1	6717019	6717234	LTR/ERVL-MaLR	1089	-	108	6717127	31712
chr1	6685415	6885415	harbor2	chr1	6724049	6724433	LTR/ERVL-MaLR	2517	-	192	6724241	38826
chr1	6685415	6885415	harbor2	chr1	6737025	6737100	LTR/ERVL-MaLR	608	-	38	6737063	51648
chr1	6685415	6885415	harbor2	chr1	6737414	6737571	LTR/ERVL-MaLR	608	-	78	6737492	52077
chr1	6685415	6885415	harbor2	chr1	6741378	6741814	LTR/ERVL-MaLR	2023	-	218	6741596	56181
chr1	6685415	6885415	harbor2	chr1	6742126	6742218	LTR/ERVL-MaLR	2023	-	46	6742172	56757
chr1	119201847	119401847	harbor2	chr1	119210900	119211369	LTR/ERVL-MaLR	784	-	234	119211134	9287
chr1	119201847	119401847	harbor2	chr1	119240772	119241140	LTR/ERVL-MaLR	1361	-	184	119240956	39109
chr1	119201847	119401847	harbor2	chr1	119259945	119260431	LTR/ERVL-MaLR	1470	-	243	119260188	58341
chr1	16544784	16744784	harbor2	chr1	16598477	16598907	LTR/ERVL-MaLR	2564	-	215	16598692	53908
chr1	17289259	17489259	harbor2	chr1	17319559	17319575	LTR/ERVL-MaLR	2725	-	8	17319567	30308
chr1	17289259	17489259	harbor2	chr1	17319979	17320279	LTR/ERVL-MaLR	2725	-	150	17320129	30870
chr1	17289259	17489259	harbor2	chr1	17320909	17321077	LTR/ERVL-MaLR	2725	-	84	17320993	31734
chr1	17289259	17489259	harbor2	chr1	17322881	17323450	LTR/ERVL-MaLR	2422	-	284	17323165	33906
chr1	17289259	17489259	harbor2	chr1	17331951	17332249	LTR/ERVL-MaLR	1114	-	149	17332100	42841
chr1	17289259	17489259	harbor2	chr1	17332550	17332666	LTR/ERVL-MaLR	1114	-	58	17332608	43349
chr1	17289259	17489259	harbor2	chr1	17366878	17367336	LTR/ERVL-MaLR	1406	-	229	17367107	77848
chr1	4635887	4835887	harbor2	chr1	4645485	4646003	LTR/ERVL-MaLR	802	-	259	4645744	9857
chr1	4635887	4835887	harbor2	chr1	4678331	4678795	LTR/ERVL-MaLR	1112	-	232	4678563	42676
chr1	4635887	4835887	harbor2	chr1	4679472	4679775	LTR/ERVL-MaLR	1710	-	152	4679624	43737
chr1	4635887	4835887	harbor2	chr1	4680329	4680465	LTR/ERVL-MaLR	1710	-	68	4680397	44510
chr1	4635887	4835887	harbor2	chr1	4686211	4686350	LTR/ERVL-MaLR	487	-	70	4686281	50394
chr1	4635887	4835887	harbor2	chr1	4693610	4693974	LTR/ERVL-MaLR	1420	-	182	4693792	57905
chr1	4635887	4835887	harbor2	chr1	4695542	4695886	LTR/ERVL-MaLR	1546	-	172	4695714	59827
chr1	4635887	4835887	harbor2	chr1	4722516	4722816	LTR/ERVL-MaLR	631	-	150	4722666	86779
chr1	4635887	4835887	harbor2	chr1	4725643	4726002	LTR/ERVL-MaLR	1805	-	180	4725823	89936
