H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	16545136	16745136	harbor1	chr1	16558396	16558809	LINE/L1	1351	-	206	16558602	13466
chr1	16545136	16745136	harbor1	chr1	16558860	16558946	LINE/L1	1351	-	43	16558903	13767
chr1	16545136	16745136	harbor1	chr1	16558939	16559708	LINE/L1	1190	-	384	16559323	14187
chr1	16545136	16745136	harbor1	chr1	16570875	16571519	LINE/L1	5414	-	322	16571197	26061
chr1	16545136	16745136	harbor1	chr1	16598017	16598253	LINE/L1	452	-	118	16598135	52999
chr1	16545136	16745136	harbor1	chr1	16598273	16598476	LINE/L1	685	-	102	16598375	53239
chr1	16545136	16745136	harbor1	chr1	16598908	16598959	LINE/L1	685	-	26	16598934	53798
chr1	16545136	16745136	harbor1	chr1	16599166	16599435	LINE/L1	583	-	134	16599300	54164
chr1	16545136	16745136	harbor1	chr1	16599563	16600156	LINE/L1	1381	-	296	16599859	54723
chr1	16545136	16745136	harbor1	chr1	16596119	16597202	LINE/L1	3658	-	542	16596661	51525
chr1	2137978	2337978	harbor1	chr1	2152189	2152250	LINE/L1	1732	-	30	2152219	14241
chr1	2137978	2337978	harbor1	chr1	2152547	2153263	LINE/L1	1732	-	358	2152905	14927
chr1	2137978	2337978	harbor1	chr1	2170477	2171048	LINE/L1	1704	-	286	2170763	32785
chr1	2137978	2337978	harbor1	chr1	2171359	2171370	LINE/L1	1501	-	6	2171365	33387
chr1	2137978	2337978	harbor1	chr1	2171667	2171762	LINE/L1	1501	-	48	2171715	33737
chr1	2137978	2337978	harbor1	chr1	2178094	2178516	LINE/L1	461	-	211	2178305	40327
chr1	2137978	2337978	harbor1	chr1	2187614	2188052	LINE/L1	734	-	219	2187833	49855
chr1	2137978	2337978	harbor1	chr1	2220718	2221331	LINE/L1	963	-	306	2221024	83046
chr1	2137978	2337978	harbor1	chr1	2222409	2222443	LINE/L1	443	-	17	2222426	84448
chr1	2137978	2337978	harbor1	chr1	2222741	2223028	LINE/L1	443	-	144	2222885	84907
chr1	16543138	16743138	harbor1	chr1	16558396	16558809	LINE/L1	1351	-	206	16558602	15464
chr1	16543138	16743138	harbor1	chr1	16558860	16558946	LINE/L1	1351	-	43	16558903	15765
chr1	16543138	16743138	harbor1	chr1	16558939	16559708	LINE/L1	1190	-	384	16559323	16185
chr1	16543138	16743138	harbor1	chr1	16570875	16571519	LINE/L1	5414	-	322	16571197	28059
chr1	16543138	16743138	harbor1	chr1	16598017	16598253	LINE/L1	452	-	118	16598135	54997
chr1	16543138	16743138	harbor1	chr1	16598273	16598476	LINE/L1	685	-	102	16598375	55237
chr1	16543138	16743138	harbor1	chr1	16598908	16598959	LINE/L1	685	-	26	16598934	55796
chr1	16543138	16743138	harbor1	chr1	16599166	16599435	LINE/L1	583	-	134	16599300	56162
chr1	16543138	16743138	harbor1	chr1	16599563	16600156	LINE/L1	1381	-	296	16599859	56721
chr1	16543138	16743138	harbor1	chr1	16596119	16597202	LINE/L1	3658	-	542	16596661	53523
chr1	3525011	3725011	harbor1	chr1	3560150	3560522	LINE/L1	1284	-	186	3560336	35325
chr1	63219176	63419176	harbor1	chr1	63230314	63230535	LINE/L1	1149	-	110	63230424	11248
chr1	63219176	63419176	harbor1	chr1	63230512	63230878	LINE/L1	584	-	183	63230695	11519
chr1	63219176	63419176	harbor1	chr1	63231657	63232566	LINE/L1	5195	-	454	63232111	12935
chr1	63219176	63419176	harbor1	chr1	63232717	63233228	LINE/L1	3503	-	256	63232973	13797
chr1	63219176	63419176	harbor1	chr1	63233366	63233430	LINE/L1	3503	-	32	63233398	14222
chr1	63219176	63419176	harbor1	chr1	63234098	63234693	LINE/L1	5030	-	298	63234396	15220
chr1	63219176	63419176	harbor1	chr1	63234988	63235776	LINE/L1	5030	-	394	63235382	16206
chr1	63219176	63419176	harbor1	chr1	63235838	63236426	LINE/L1	439	-	294	63236132	16956
chr1	63219176	63419176	harbor1	chr1	63237328	63237406	LINE/L1	508	-	39	63237367	18191
chr1	63219176	63419176	harbor1	chr1	63239741	63240562	LINE/L1	7065	-	410	63240151	20975
chr1	63219176	63419176	harbor1	chr1	63263664	63264108	LINE/L1	537	-	222	63263886	44710
chr1	63219176	63419176	harbor1	chr1	63312032	63312191	LINE/L1	1770	-	80	63312112	92936
chr1	63219176	63419176	harbor1	chr1	63312501	63312609	LINE/L1	1770	-	54	63312555	93379
chr1	2138436	2338436	harbor1	chr1	2152189	2152250	LINE/L1	1732	-	30	2152219	13783
chr1	2138436	2338436	harbor1	chr1	2152547	2153263	LINE/L1	1732	-	358	2152905	14469
chr1	2138436	2338436	harbor1	chr1	2170477	2171048	LINE/L1	1704	-	286	2170763	32327
chr1	2138436	2338436	harbor1	chr1	2171359	2171370	LINE/L1	1501	-	6	2171365	32929
chr1	2138436	2338436	harbor1	chr1	2171667	2171762	LINE/L1	1501	-	48	2171715	33279
chr1	2138436	2338436	harbor1	chr1	2178094	2178516	LINE/L1	461	-	211	2178305	39869
chr1	2138436	2338436	harbor1	chr1	2187614	2188052	LINE/L1	734	-	219	2187833	49397
chr1	2138436	2338436	harbor1	chr1	2220718	2221331	LINE/L1	963	-	306	2221024	82588
chr1	2138436	2338436	harbor1	chr1	2222409	2222443	LINE/L1	443	-	17	2222426	83990
chr1	2138436	2338436	harbor1	chr1	2222741	2223028	LINE/L1	443	-	144	2222885	84449
chr1	2138571	2338571	harbor1	chr1	2152189	2152250	LINE/L1	1732	-	30	2152219	13648
chr1	2138571	2338571	harbor1	chr1	2152547	2153263	LINE/L1	1732	-	358	2152905	14334
chr1	2138571	2338571	harbor1	chr1	2170477	2171048	LINE/L1	1704	-	286	2170763	32192
chr1	2138571	2338571	harbor1	chr1	2171359	2171370	LINE/L1	1501	-	6	2171365	32794
chr1	2138571	2338571	harbor1	chr1	2171667	2171762	LINE/L1	1501	-	48	2171715	33144
chr1	2138571	2338571	harbor1	chr1	2178094	2178516	LINE/L1	461	-	211	2178305	39734
chr1	2138571	2338571	harbor1	chr1	2187614	2188052	LINE/L1	734	-	219	2187833	49262
chr1	2138571	2338571	harbor1	chr1	2220718	2221331	LINE/L1	963	-	306	2221024	82453
chr1	2138571	2338571	harbor1	chr1	2222409	2222443	LINE/L1	443	-	17	2222426	83855
chr1	2138571	2338571	harbor1	chr1	2222741	2223028	LINE/L1	443	-	144	2222885	84314
chr1	150461410	150661410	harbor1	chr1	150461239	150461569	LINE/L1	525	-	165	150461404	6
chr1	150461410	150661410	harbor1	chr1	150462473	150462524	LINE/L1	462	-	26	150462499	1089
chr1	150461410	150661410	harbor1	chr1	150488529	150488919	LINE/L1	2314	-	195	150488724	27314
chr1	150461410	150661410	harbor1	chr1	150519321	150519404	LINE/L1	505	-	42	150519363	57953
chr1	150461410	150661410	harbor1	chr1	150520178	150520633	LINE/L1	2447	-	228	150520406	58996
chr1	150461410	150661410	harbor1	chr1	150520634	150520763	LINE/L1	1620	-	64	150520698	59288
chr1	150461410	150661410	harbor1	chr1	150521101	150521891	LINE/L1	1620	-	395	150521496	60086
chr1	150461410	150661410	harbor1	chr1	150525943	150526064	LINE/L1	631	-	60	150526003	64593
chr1	21742123	21942123	harbor1	chr1	21752095	21752201	LINE/L1	644	-	53	21752148	10025
chr1	21742123	21942123	harbor1	chr1	21808913	21808956	LINE/L1	750	-	22	21808935	66812
chr1	21742123	21942123	harbor1	chr1	21809525	21809635	LINE/L1	750	-	55	21809580	67457
