H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	238791763	238991763	harbor2	chr1	238798640	238798835	DNA/hAT-Charlie	576	+	98	238798738	6975
chr1	238791763	238991763	harbor2	chr1	238825717	238826010	DNA/hAT-Charlie	1106	+	146	238825863	34100
chr1	238791763	238991763	harbor2	chr1	238827872	238828032	DNA/hAT-Charlie	519	+	80	238827952	36189
chr1	238791763	238991763	harbor2	chr1	238828283	238828538	DNA/hAT-Charlie	851	+	128	238828411	36648
chr1	238791763	238991763	harbor2	chr1	238857524	238857857	DNA/hAT-Charlie	460	+	166	238857690	65927
chr1	85236785	85436785	harbor2	chr1	85253865	85254053	DNA/hAT-Charlie	515	+	94	85253959	17174
chr1	85236785	85436785	harbor2	chr1	85293095	85293226	DNA/hAT-Charlie	1315	+	66	85293161	56376
chr1	85236785	85436785	harbor2	chr1	85293281	85293495	DNA/hAT-Charlie	1315	+	107	85293388	56603
chr1	83434866	83634866	harbor2	chr1	83453932	83454151	DNA/hAT-Charlie	1025	+	110	83454042	19176
chr1	83434866	83634866	harbor2	chr1	83465584	83465749	DNA/hAT-Charlie	638	+	82	83465666	30800
chr1	83434866	83634866	harbor2	chr1	83483783	83483959	DNA/hAT-Charlie	634	+	88	83483871	49005
chr1	83434866	83634866	harbor2	chr1	83504351	83504474	DNA/hAT-Charlie	673	+	62	83504413	69547
chr1	83434866	83634866	harbor2	chr1	83504543	83504838	DNA/hAT-Charlie	1041	+	148	83504691	69825
chr1	223639212	223839212	harbor2	chr1	223644700	223644859	DNA/hAT-Charlie	576	+	80	223644780	5568
chr1	223639212	223839212	harbor2	chr1	223703797	223703910	DNA/hAT-Charlie	502	+	56	223703853	64641
chr1	223639212	223839212	harbor2	chr1	223724398	223724591	DNA/hAT-Charlie	914	+	96	223724494	85282
chr1	223639212	223839212	harbor2	chr1	223730254	223730456	DNA/hAT-Charlie	1413	+	101	223730355	91143
chr1	178027537	178227537	harbor2	chr1	178035768	178035817	DNA/hAT-Charlie	667	+	24	178035792	8255
chr1	178027537	178227537	harbor2	chr1	178036120	178036199	DNA/hAT-Charlie	667	+	40	178036160	8623
chr1	178027537	178227537	harbor2	chr1	178036207	178036528	DNA/hAT-Charlie	1871	+	160	178036367	8830
chr1	178027537	178227537	harbor2	chr1	178124246	178124467	DNA/hAT-Charlie	1032	+	110	178124356	96819
chr1	179174585	179374585	harbor2	chr1	179218729	179218870	DNA/hAT-Charlie	744	+	70	179218799	44214
chr1	179174585	179374585	harbor2	chr1	179225537	179225751	DNA/hAT-Charlie	1257	+	107	179225644	51059
chr1	179174585	179374585	harbor2	chr1	179262720	179262879	DNA/hAT-Charlie	675	+	80	179262800	88215
chr1	237881455	238081455	harbor2	chr1	237881968	237882178	DNA/hAT-Charlie	465	+	105	237882073	618
chr1	237881455	238081455	harbor2	chr1	237898256	237898432	DNA/hAT-Charlie	696	+	88	237898344	16889
chr1	237881455	238081455	harbor2	chr1	237940369	237940494	DNA/hAT-Charlie	460	+	62	237940431	58976
chr1	247524244	247724244	harbor2	chr1	247547736	247547872	DNA/hAT-Charlie	574	+	68	247547804	23560
chr1	216714048	216914048	harbor2	chr1	216736709	216736868	DNA/hAT-Charlie	760	+	80	216736789	22741
chr1	216714048	216914048	harbor2	chr1	216738067	216738213	DNA/hAT-Charlie	435	+	73	216738140	24092
chr1	216714048	216914048	harbor2	chr1	216739529	216739688	DNA/hAT-Charlie	766	+	80	216739609	25561
chr1	107497052	107697052	harbor2	chr1	107526752	107526958	DNA/hAT-Charlie	980	+	103	107526855	29803
chr1	107497052	107697052	harbor2	chr1	107537497	107537655	DNA/hAT-Charlie	811	+	79	107537576	40524
chr1	107497052	107697052	harbor2	chr1	107543152	107543358	DNA/hAT-Charlie	894	+	103	107543255	46203
chr1	113830100	114030100	harbor2	chr1	113852795	113852927	DNA/hAT-Charlie	423	+	66	113852861	22761
chr1	113830100	114030100	harbor2	chr1	113853238	113853283	DNA/hAT-Charlie	423	+	22	113853260	23160
chr1	113830100	114030100	harbor2	chr1	113855790	113855987	DNA/hAT-Charlie	581	+	98	113855888	25788
chr1	113830100	114030100	harbor2	chr1	113856818	113856977	DNA/hAT-Charlie	564	+	80	113856898	26798
chr1	113830100	114030100	harbor2	chr1	113882081	113882354	DNA/hAT-Charlie	497	+	136	113882217	52117
chr1	113830100	114030100	harbor2	chr1	113892014	113892237	DNA/hAT-Charlie	1175	+	112	113892126	62026
chr1	248710745	248910745	harbor2	chr1	248743978	248744137	DNA/hAT-Charlie	725	+	80	248744058	33313
chr1	248710745	248910745	harbor2	chr1	248745801	248746310	DNA/hAT-Charlie	2105	+	254	248746055	35310
chr1	209361823	209561823	harbor2	chr1	209402925	209403121	DNA/hAT-Charlie	494	+	98	209403023	41200
chr1	209361823	209561823	harbor2	chr1	209403429	209403549	DNA/hAT-Charlie	494	+	60	209403489	41666
chr1	218223925	218423925	harbor2	chr1	218272501	218272828	DNA/hAT-Charlie	2116	+	164	218272665	48740
chr1	240507613	240707613	harbor2	chr1	240542001	240542209	DNA/hAT-Charlie	929	+	104	240542105	34492
chr1	248280982	248480982	harbor2	chr1	248308542	248308886	DNA/hAT-Charlie	1813	+	172	248308714	27732
chr1	248280982	248480982	harbor2	chr1	248332570	248332914	DNA/hAT-Charlie	1854	+	172	248332742	51760
chr1	23715438	23915438	harbor2	chr1	23768644	23768860	DNA/hAT-Charlie	1117	+	108	23768752	53314
chr1	57565137	57765137	harbor2	chr1	57585368	57585646	DNA/hAT-Charlie	570	+	139	57585507	20370
chr1	57565137	57765137	harbor2	chr1	57614459	57614762	DNA/hAT-Charlie	523	+	152	57614611	49474
chr1	57565137	57765137	harbor2	chr1	57635263	57635786	DNA/hAT-Charlie	3667	+	262	57635525	70388
chr1	174449313	174649313	harbor2	chr1	174458147	174458310	DNA/hAT-Charlie	641	+	82	174458229	8916
chr1	174449313	174649313	harbor2	chr1	174503117	174503310	DNA/hAT-Charlie	974	+	96	174503213	53900
chr1	174449313	174649313	harbor2	chr1	174506284	174506397	DNA/hAT-Charlie	645	+	56	174506340	57027
chr1	170157294	170357294	harbor2	chr1	170177146	170177338	DNA/hAT-Charlie	571	+	96	170177242	19948
chr1	170157294	170357294	harbor2	chr1	170219289	170219505	DNA/hAT-Charlie	1222	+	108	170219397	62103
chr1	239853196	240053196	harbor2	chr1	239920181	239920289	DNA/hAT-Charlie	496	+	54	239920235	67039
chr1	239853196	240053196	harbor2	chr1	239920579	239920758	DNA/hAT-Charlie	720	+	90	239920669	67473
chr1	194213516	194413516	harbor2	chr1	194260913	194261102	DNA/hAT-Charlie	534	+	94	194261007	47491
chr1	153694467	153894467	harbor2	chr1	153783162	153783460	DNA/hAT-Charlie	1077	+	149	153783311	88844
chr1	245342135	245542135	harbor2	chr1	245372026	245372344	DNA/hAT-Charlie	1880	+	159	245372185	30050
chr1	245342135	245542135	harbor2	chr1	245376377	245376502	DNA/hAT-Charlie	598	+	62	245376439	34304
chr1	245342135	245542135	harbor2	chr1	245381379	245381609	DNA/hAT-Charlie	1622	+	115	245381494	39359
chr1	245342135	245542135	harbor2	chr1	245389924	245390210	DNA/hAT-Charlie	4174	+	143	245390067	47932
chr1	245342135	245542135	harbor2	chr1	245390503	245390803	DNA/hAT-Charlie	4174	+	150	245390653	48518
