H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	217328960	217528960	harbor1	chr1	217342761	217343048	DNA/TcMar-Tigger	536	-	144	217342905	13945
chr1	217328960	217528960	harbor1	chr1	217364937	217365290	DNA/TcMar-Tigger	669	-	176	217365113	36153
chr1	36619682	36819682	harbor1	chr1	36698054	36698215	DNA/TcMar-Tigger	445	-	80	36698134	78452
chr1	36619682	36819682	harbor1	chr1	36717325	36718975	DNA/TcMar-Tigger	11504	-	825	36718150	98468
chr1	36619682	36819682	harbor1	chr1	36718972	36719170	DNA/TcMar-Tigger	1184	-	99	36719071	99389
chr1	28686527	28886527	harbor1	chr1	28759405	28759670	DNA/TcMar-Tigger	1656	-	132	28759537	73010
chr1	28686527	28886527	harbor1	chr1	28759978	28760271	DNA/TcMar-Tigger	2777	-	146	28760124	73597
chr1	28686527	28886527	harbor1	chr1	28760880	28761109	DNA/TcMar-Tigger	2777	-	114	28760994	74467
chr1	232034265	232234265	harbor1	chr1	232044704	232044838	DNA/TcMar-Tigger	462	-	67	232044771	10506
chr1	79114311	79314311	harbor1	chr1	79183853	79183950	DNA/TcMar-Tigger	432	-	48	79183901	69590
chr1	232202979	232402979	harbor1	chr1	232205946	232208357	DNA/TcMar-Tigger	15177	-	1206	232207152	4173
chr1	244268148	244468148	harbor1	chr1	244292338	244292829	DNA/TcMar-Tigger	2708	-	246	244292584	24436
chr1	178962333	179162333	harbor1	chr1	178994463	178994605	DNA/TcMar-Tigger	1049	-	71	178994534	32201
chr1	178962333	179162333	harbor1	chr1	178996107	178996547	DNA/TcMar-Tigger	7938	-	220	178996327	33994
chr1	178962333	179162333	harbor1	chr1	178996860	178997780	DNA/TcMar-Tigger	7938	-	460	178997320	34987
chr1	178962333	179162333	harbor1	chr1	178997924	178998150	DNA/TcMar-Tigger	1162	-	113	178998037	35704
chr1	222698793	222898793	harbor1	chr1	222777614	222777741	DNA/TcMar-Tigger	839	-	64	222777678	78885
chr1	150352413	150552413	harbor1	chr1	150386455	150387241	DNA/TcMar-Tigger	4691	-	393	150386848	34435
chr1	150352413	150552413	harbor1	chr1	150438309	150438343	DNA/TcMar-Tigger	1217	-	17	150438326	85913
chr1	150352413	150552413	harbor1	chr1	150438640	150438842	DNA/TcMar-Tigger	1217	-	101	150438741	86328
chr1	150352413	150552413	harbor1	chr1	150439133	150439216	DNA/TcMar-Tigger	1217	-	42	150439175	86762
chr1	150352413	150552413	harbor1	chr1	150439299	150439377	DNA/TcMar-Tigger	524	-	39	150439338	86925
chr1	181147469	181347469	harbor1	chr1	181162223	181162262	DNA/TcMar-Tigger	1566	-	20	181162243	14774
chr1	181147469	181347469	harbor1	chr1	181162559	181162835	DNA/TcMar-Tigger	1566	-	138	181162697	15228
chr1	50085083	50285083	harbor1	chr1	50156955	50157039	DNA/TcMar-Tigger	490	-	42	50156997	71914
chr1	8241903	8441903	harbor1	chr1	8326279	8326696	DNA/TcMar-Tigger	2763	-	208	8326487	84584
chr1	8241903	8441903	harbor1	chr1	8327002	8327224	DNA/TcMar-Tigger	2763	-	111	8327113	85210
chr1	59479253	59679253	harbor1	chr1	59499205	59499301	DNA/TcMar-Tigger	609	-	48	59499253	20000
chr1	59479253	59679253	harbor1	chr1	59499314	59499580	DNA/TcMar-Tigger	1505	-	133	59499447	20194
chr1	59479253	59679253	harbor1	chr1	59567984	59568222	DNA/TcMar-Tigger	850	-	119	59568103	88850
chr1	154896235	155096235	harbor1	chr1	154921224	154921454	DNA/TcMar-Tigger	1416	-	115	154921339	25104
chr1	154896235	155096235	harbor1	chr1	154929386	154929511	DNA/TcMar-Tigger	590	-	62	154929448	33213
chr1	29719198	29919198	harbor1	chr1	29760655	29760960	DNA/TcMar-Tigger	452	-	152	29760807	41609
chr1	29719198	29919198	harbor1	chr1	29792554	29792857	DNA/TcMar-Tigger	1667	-	152	29792706	73508
chr1	105798872	105998872	harbor1	chr1	105827258	105827607	DNA/TcMar-Tigger	1241	-	174	105827432	28560
