H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	2138357	2338357	harbor2	chr1	2156579	2156875	LTR/ERVL	723	-	148	2156727	18370
chr1	2138357	2338357	harbor2	chr1	2156876	2157339	LTR/ERVL	1758	-	232	2157108	18751
chr1	2138357	2338357	harbor2	chr1	2157340	2157396	LTR/ERVL	519	-	28	2157368	19011
chr1	2138357	2338357	harbor2	chr1	2164257	2164645	LTR/ERVL	1261	-	194	2164451	26094
chr1	16544783	16744783	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	58108
chr1	16544783	16744783	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	58420
chr1	16544783	16744783	harbor2	chr1	16603356	16603618	LTR/ERVL	466	-	131	16603487	58704
chr1	8230832	8430832	harbor2	chr1	8272207	8272513	LTR/ERVL	882	-	153	8272360	41528
chr1	8230832	8430832	harbor2	chr1	8272546	8272563	LTR/ERVL	882	-	8	8272554	41722
chr1	2139155	2339155	harbor2	chr1	2156579	2156875	LTR/ERVL	723	-	148	2156727	17572
chr1	2139155	2339155	harbor2	chr1	2156876	2157339	LTR/ERVL	1758	-	232	2157108	17953
chr1	2139155	2339155	harbor2	chr1	2157340	2157396	LTR/ERVL	519	-	28	2157368	18213
chr1	2139155	2339155	harbor2	chr1	2164257	2164645	LTR/ERVL	1261	-	194	2164451	25296
chr1	21991636	22191636	harbor2	chr1	22071866	22072091	LTR/ERVL	1647	-	112	22071978	80342
chr1	21991636	22191636	harbor2	chr1	22072397	22072834	LTR/ERVL	1647	-	218	22072615	80979
chr1	1678940	1878940	harbor2	chr1	1683131	1683546	LTR/ERVL	901	-	208	1683339	4399
chr1	51231071	51431071	harbor2	chr1	51267333	51267698	LTR/ERVL	1905	-	182	51267515	36444
chr1	16544721	16744721	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	58170
chr1	16544721	16744721	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	58482
chr1	16544721	16744721	harbor2	chr1	16603356	16603618	LTR/ERVL	466	-	131	16603487	58766
chr1	16545193	16745193	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	57698
chr1	16545193	16745193	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	58010
chr1	16545193	16745193	harbor2	chr1	16603356	16603618	LTR/ERVL	466	-	131	16603487	58294
chr1	16544779	16744779	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	58112
chr1	16544779	16744779	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	58424
chr1	16544779	16744779	harbor2	chr1	16603356	16603618	LTR/ERVL	466	-	131	16603487	58708
chr1	16597141	16797141	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	5750
chr1	16597141	16797141	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	6062
chr1	16597141	16797141	harbor2	chr1	16603356	16603618	LTR/ERVL	466	-	131	16603487	6346
chr1	16597141	16797141	harbor2	chr1	16666129	16666278	LTR/ERVL	488	-	74	16666203	69062
chr1	2150598	2350598	harbor2	chr1	2156579	2156875	LTR/ERVL	723	-	148	2156727	6129
chr1	2150598	2350598	harbor2	chr1	2156876	2157339	LTR/ERVL	1758	-	232	2157108	6510
chr1	2150598	2350598	harbor2	chr1	2157340	2157396	LTR/ERVL	519	-	28	2157368	6770
chr1	2150598	2350598	harbor2	chr1	2164257	2164645	LTR/ERVL	1261	-	194	2164451	13853
chr1	89907751	90107751	harbor2	chr1	89959246	89960073	LTR/ERVL	3880	-	414	89959660	51909
chr1	193014143	193214143	harbor2	chr1	193063613	193063990	LTR/ERVL	1021	-	188	193063801	49658
chr1	193014143	193214143	harbor2	chr1	193064004	193064476	LTR/ERVL	1180	-	236	193064240	50097
chr1	193014143	193214143	harbor2	chr1	193093841	193094099	LTR/ERVL	854	-	129	193093970	79827
chr1	193014143	193214143	harbor2	chr1	193094393	193094789	LTR/ERVL	854	-	198	193094591	80448
chr1	193014143	193214143	harbor2	chr1	193112149	193112352	LTR/ERVL	665	-	102	193112251	98108
chr1	16544785	16744785	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	58106
chr1	16544785	16744785	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	58418
chr1	16544785	16744785	harbor2	chr1	16603356	16603618	LTR/ERVL	466	-	131	16603487	58702
chr1	230009530	230209530	harbor2	chr1	230009695	230010157	LTR/ERVL	593	-	231	230009926	396
chr1	230009530	230209530	harbor2	chr1	230098415	230098841	LTR/ERVL	2543	-	213	230098628	89098
chr1	16603811	16803811	harbor2	chr1	16666129	16666278	LTR/ERVL	488	-	74	16666203	62392
chr1	16545192	16745192	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	57699
chr1	16545192	16745192	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	58011
chr1	16545192	16745192	harbor2	chr1	16603356	16603618	LTR/ERVL	466	-	131	16603487	58295
chr1	16544750	16744750	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	58141
chr1	16544750	16744750	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	58453
chr1	16544750	16744750	harbor2	chr1	16603356	16603618	LTR/ERVL	466	-	131	16603487	58737
chr1	16544770	16744770	harbor2	chr1	16602708	16603074	LTR/ERVL	772	-	183	16602891	58121
chr1	16544770	16744770	harbor2	chr1	16603092	16603314	LTR/ERVL	607	-	111	16603203	58433
