H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	96244610	96444610	harbor1	chr1	96243977	96247116	LINE/L1	27276	-	1570	96245547	937
chr1	96244610	96444610	harbor1	chr1	96255339	96255776	LINE/L1	2209	-	218	96255557	10947
chr1	96244610	96444610	harbor1	chr1	96263880	96264089	LINE/L1	1059	-	104	96263984	19374
chr1	96244610	96444610	harbor1	chr1	96266999	96267150	LINE/L1	1305	-	76	96267075	22465
chr1	96244610	96444610	harbor1	chr1	96268119	96268581	LINE/L1	6662	-	231	96268350	23740
chr1	96244610	96444610	harbor1	chr1	96268890	96270433	LINE/L1	6662	-	772	96269662	25052
chr1	96244610	96444610	harbor1	chr1	96270769	96272022	LINE/L1	6662	-	626	96271395	26785
chr1	96244610	96444610	harbor1	chr1	96273397	96274459	LINE/L1	5358	-	531	96273928	29318
chr1	96244610	96444610	harbor1	chr1	96276764	96276874	LINE/L1	5358	-	55	96276819	32209
chr1	96244610	96444610	harbor1	chr1	96276865	96278562	LINE/L1	2506	-	848	96277713	33103
chr1	96244610	96444610	harbor1	chr1	96278601	96279614	LINE/L1	7418	-	506	96279107	34497
chr1	96244610	96444610	harbor1	chr1	96279922	96281932	LINE/L1	3356	-	1005	96280927	36317
chr1	96244610	96444610	harbor1	chr1	96283270	96288738	LINE/L1	16068	-	2734	96286004	41394
chr1	96244610	96444610	harbor1	chr1	96293910	96294503	LINE/L1	13554	-	296	96294206	49596
chr1	96244610	96444610	harbor1	chr1	96294812	96298073	LINE/L1	13554	-	1630	96296442	51832
chr1	96244610	96444610	harbor1	chr1	96298788	96300532	LINE/L1	1225	-	872	96299660	55050
chr1	96244610	96444610	harbor1	chr1	96302674	96303081	LINE/L1	534	-	204	96302878	58268
chr1	96244610	96444610	harbor1	chr1	96307530	96307868	LINE/L1	2042	-	169	96307699	63089
chr1	96244610	96444610	harbor1	chr1	96308662	96309841	LINE/L1	1959	-	590	96309252	64642
chr1	96244610	96444610	harbor1	chr1	96310158	96310611	LINE/L1	772	-	226	96310384	65774
chr1	96244610	96444610	harbor1	chr1	96310691	96310910	LINE/L1	612	-	110	96310801	66191
chr1	96244610	96444610	harbor1	chr1	96310947	96312626	LINE/L1	1471	-	840	96311787	67177
chr1	96244610	96444610	harbor1	chr1	96312646	96313140	LINE/L1	1191	-	247	96312893	68283
chr1	96244610	96444610	harbor1	chr1	96313311	96313619	LINE/L1	425	-	154	96313465	68855
chr1	96244610	96444610	harbor1	chr1	96316094	96316492	LINE/L1	1714	-	199	96316293	71683
chr1	96244610	96444610	harbor1	chr1	96316878	96317495	LINE/L1	2967	-	308	96317186	72576
chr1	96244610	96444610	harbor1	chr1	96332574	96333450	LINE/L1	4890	-	438	96333012	88402
chr1	96244610	96444610	harbor1	chr1	96343730	96344617	LINE/L1	5438	-	444	96344174	99564
chr1	96244610	96444610	harbor1	chr1	96272025	96273038	LINE/L1	5358	-	506	96272531	27921
chr1	96244610	96444610	harbor1	chr1	96288714	96289918	LINE/L1	5556	-	602	96289316	44706
chr1	193326713	193526713	harbor1	chr1	193326885	193326925	LINE/L1	5137	-	20	193326905	192
chr1	193326713	193526713	harbor1	chr1	193327316	193328415	LINE/L1	16277	-	550	193327866	1153
chr1	193326713	193526713	harbor1	chr1	193328715	193330150	LINE/L1	16277	-	718	193329433	2720
chr1	193326713	193526713	harbor1	chr1	193330186	193330363	LINE/L1	16277	-	88	193330274	3561
chr1	193326713	193526713	harbor1	chr1	193331521	193333879	LINE/L1	16277	-	1179	193332700	5987
chr1	193326713	193526713	harbor1	chr1	193333954	193334468	LINE/L1	1934	-	257	193334211	7498
chr1	193326713	193526713	harbor1	chr1	193336424	193336737	LINE/L1	934	-	156	193336580	9867
chr1	193326713	193526713	harbor1	chr1	193336741	193337260	LINE/L1	1202	-	260	193337001	10288
chr1	193326713	193526713	harbor1	chr1	193339204	193339369	LINE/L1	1029	-	82	193339286	12573
chr1	193326713	193526713	harbor1	chr1	193374021	193374287	LINE/L1	1116	-	133	193374154	47441
chr1	193326713	193526713	harbor1	chr1	193374559	193374732	LINE/L1	457	-	86	193374645	47932
chr1	193326713	193526713	harbor1	chr1	193374834	193375083	LINE/L1	1431	-	124	193374958	48245
chr1	193326713	193526713	harbor1	chr1	193383951	193384318	LINE/L1	1598	-	184	193384135	57422
chr1	193326713	193526713	harbor1	chr1	193384814	193386178	LINE/L1	7267	-	682	193385496	58783
chr1	193326713	193526713	harbor1	chr1	193386349	193386909	LINE/L1	1869	-	280	193386629	59916
chr1	193326713	193526713	harbor1	chr1	193387300	193387552	LINE/L1	1020	-	126	193387426	60713
chr1	193326713	193526713	harbor1	chr1	193387595	193388244	LINE/L1	3118	-	324	193387919	61206
chr1	193326713	193526713	harbor1	chr1	193388345	193388506	LINE/L1	3118	-	80	193388425	61712
chr1	193326713	193526713	harbor1	chr1	193388989	193389280	LINE/L1	2001	-	146	193389135	62422
chr1	193326713	193526713	harbor1	chr1	193389562	193389815	LINE/L1	2001	-	126	193389688	62975
chr1	193326713	193526713	harbor1	chr1	193389816	193390136	LINE/L1	1045	-	160	193389976	63263
chr1	193326713	193526713	harbor1	chr1	193396812	193396996	LINE/L1	543	-	92	193396904	70191
chr1	193326713	193526713	harbor1	chr1	193406452	193406867	LINE/L1	924	-	208	193406660	79947
chr1	193326713	193526713	harbor1	chr1	193414064	193414560	LINE/L1	1513	-	248	193414312	87599
chr1	193326713	193526713	harbor1	chr1	193414812	193414970	LINE/L1	624	-	79	193414891	88178
