H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	6394942	6594942	harbor1	chr1	6491749	6492004	LINE/CR1	488	-	128	6491877	96935
chr1	6684326	6884326	harbor1	chr1	6691494	6691700	LINE/CR1	433	-	103	6691597	7271
chr1	6685401	6885401	harbor1	chr1	6691494	6691700	LINE/CR1	433	-	103	6691597	6196
chr1	204585380	204785380	harbor1	chr1	204598784	204599210	LINE/CR1	691	-	213	204598997	13617
chr1	6397828	6597828	harbor1	chr1	6491749	6492004	LINE/CR1	488	-	128	6491877	94049
chr1	24895887	25095887	harbor1	chr1	24987279	24987494	LINE/CR1	683	-	108	24987387	91500
chr1	20048547	20248547	harbor1	chr1	20074664	20074950	LINE/CR1	615	-	143	20074807	26260
chr1	222687998	222887998	harbor1	chr1	222703462	222703577	LINE/CR1	508	-	58	222703520	15522
chr1	203028332	203228332	harbor1	chr1	203051324	203051686	LINE/CR1	965	-	181	203051505	23173
chr1	203028332	203228332	harbor1	chr1	203069140	203069317	LINE/CR1	470	-	88	203069228	40896
chr1	203028332	203228332	harbor1	chr1	203069320	203070132	LINE/CR1	1075	-	406	203069726	41394
chr1	53187531	53387531	harbor1	chr1	53247640	53247935	LINE/CR1	470	-	148	53247788	60257
chr1	89721428	89921428	harbor1	chr1	89745948	89746189	LINE/CR1	480	-	120	89746068	24640
chr1	89721428	89921428	harbor1	chr1	89746406	89746886	LINE/CR1	1084	-	240	89746646	25218
chr1	23877841	24077841	harbor1	chr1	23967552	23967889	LINE/CR1	560	-	168	23967720	89879
chr1	7604696	7804696	harbor1	chr1	7629354	7629669	LINE/CR1	521	-	158	7629512	24816
chr1	6685469	6885469	harbor1	chr1	6691494	6691700	LINE/CR1	433	-	103	6691597	6128
chr1	24895890	25095890	harbor1	chr1	24987279	24987494	LINE/CR1	683	-	108	24987387	91497
chr1	46503416	46703416	harbor1	chr1	46523833	46524068	LINE/CR1	544	-	118	46523951	20535
chr1	25330942	25530942	harbor1	chr1	25362663	25362845	LINE/CR1	497	-	91	25362754	31812
chr2	26950219	27150219	harbor1	chr2	26997853	26998456	LINE/CR1	965	-	302	26998155	47936
chr2	26950237	27150237	harbor1	chr2	26997853	26998456	LINE/CR1	965	-	302	26998155	47918
chr2	74453401	74653401	harbor1	chr2	74551407	74551980	LINE/CR1	650	-	286	74551693	98292
chr2	85228519	85428519	harbor1	chr2	85232239	85232687	LINE/CR1	463	-	224	85232463	3944
chr2	74453409	74653409	harbor1	chr2	74551407	74551980	LINE/CR1	650	-	286	74551693	98284
chr2	42033084	42233084	harbor1	chr2	42063794	42064164	LINE/CR1	1014	-	185	42063979	30895
chr2	26950242	27150242	harbor1	chr2	26997853	26998456	LINE/CR1	965	-	302	26998155	47913
chr2	219383264	219583264	harbor1	chr2	219429111	219429352	LINE/CR1	467	-	120	219429231	45967
chr2	71780774	71980774	harbor1	chr2	71835647	71836269	LINE/CR1	1051	-	311	71835958	55184
chr2	71780774	71980774	harbor1	chr2	71836809	71837071	LINE/CR1	1051	-	131	71836940	56166
chr2	219335190	219535190	harbor1	chr2	219429111	219429352	LINE/CR1	467	-	120	219429231	94041
chr2	70453429	70653429	harbor1	chr2	70481346	70481544	LINE/CR1	545	-	99	70481445	28016
chr2	70453429	70653429	harbor1	chr2	70482432	70484458	LINE/CR1	1764	-	1013	70483445	30016
chr2	27018955	27218955	harbor1	chr2	27118131	27118372	LINE/CR1	474	-	120	27118251	99296
chr2	26950298	27150298	harbor1	chr2	26997853	26998456	LINE/CR1	965	-	302	26998155	47857
chr2	72971135	73171135	harbor1	chr2	72981217	72981676	LINE/CR1	889	-	230	72981447	10312
chr2	217888302	218088302	harbor1	chr2	217903614	217903790	LINE/CR1	488	-	88	217903702	15400
chr2	45443610	45643610	harbor1	chr2	45534994	45536021	LINE/CR1	1186	-	514	45535508	91898
chr2	72971209	73171209	harbor1	chr2	72981217	72981676	LINE/CR1	889	-	230	72981447	10238
chr2	158791034	158991034	harbor1	chr2	158800640	158800838	LINE/CR1	484	-	99	158800739	9705
chr2	26950213	27150213	harbor1	chr2	26997853	26998456	LINE/CR1	965	-	302	26998155	47942
chr2	219392988	219592988	harbor1	chr2	219429111	219429352	LINE/CR1	467	-	120	219429231	36243
chr2	11244853	11444853	harbor1	chr2	11284658	11284980	LINE/CR1	592	-	161	11284819	39966
chr2	11244853	11444853	harbor1	chr2	11285283	11285555	LINE/CR1	592	-	136	11285419	40566
chr2	11244853	11444853	harbor1	chr2	11285853	11285952	LINE/CR1	592	-	50	11285903	41050
chr2	119120408	119320408	harbor1	chr2	119200764	119201050	LINE/CR1	453	-	143	119200907	80499
chr2	60966422	61166422	harbor1	chr2	61000091	61000366	LINE/CR1	492	-	138	61000229	33807
chr2	60966422	61166422	harbor1	chr2	61000674	61000750	LINE/CR1	975	-	38	61000712	34290
chr2	60966422	61166422	harbor1	chr2	61000877	61001270	LINE/CR1	975	-	196	61001073	34651
chr2	60966422	61166422	harbor1	chr2	61002607	61003053	LINE/CR1	599	-	223	61002830	36408
chr2	232203322	232403322	harbor1	chr2	232214303	232214546	LINE/CR1	623	-	122	232214425	11103
chr2	218914258	219114258	harbor1	chr2	218977550	218978141	LINE/CR1	594	-	296	218977846	63588
chr2	72971106	73171106	harbor1	chr2	72981217	72981676	LINE/CR1	889	-	230	72981447	10341
chr2	26957504	27157504	harbor1	chr2	26997853	26998456	LINE/CR1	965	-	302	26998155	40651
chr2	60966462	61166462	harbor1	chr2	61000091	61000366	LINE/CR1	492	-	138	61000229	33767
chr2	60966462	61166462	harbor1	chr2	61000674	61000750	LINE/CR1	975	-	38	61000712	34250
chr2	60966462	61166462	harbor1	chr2	61000877	61001270	LINE/CR1	975	-	196	61001073	34611
chr2	60966462	61166462	harbor1	chr2	61002607	61003053	LINE/CR1	599	-	223	61002830	36368
chr2	160393135	160593135	harbor1	chr2	160446173	160446554	LINE/CR1	713	-	190	160446363	53228
chr2	112779792	112979792	harbor1	chr2	112794526	112794684	LINE/CR1	459	-	79	112794605	14813
chr2	26950239	27150239	harbor1	chr2	26997853	26998456	LINE/CR1	965	-	302	26998155	47916
chr3	129021155	129221155	harbor1	chr3	129026364	129026713	LINE/CR1	423	-	174	129026538	5383
chr3	124721335	124921335	harbor1	chr3	124805769	124806222	LINE/CR1	739	-	226	124805995	84660
chr3	124721335	124921335	harbor1	chr3	124808119	124808425	LINE/CR1	634	-	153	124808272	86937
chr3	17061072	17261072	harbor1	chr3	17065197	17065938	LINE/CR1	778	-	370	17065567	4495
chr3	123349837	123549837	harbor1	chr3	123441444	123441961	LINE/CR1	587	-	258	123441702	91865
chr3	185838095	186038095	harbor1	chr3	185844219	185844417	LINE/CR1	430	-	99	185844318	6223
chr3	123349752	123549752	harbor1	chr3	123441444	123441961	LINE/CR1	587	-	258	123441702	91950
chr3	51571820	51771820	harbor1	chr3	51602285	51602496	LINE/CR1	471	-	106	51602391	30571
chr3	129021082	129221082	harbor1	chr3	129026364	129026713	LINE/CR1	423	-	174	129026538	5456
chr3	51571305	51771305	harbor1	chr3	51602285	51602496	LINE/CR1	471	-	106	51602391	31086
chr4	159002387	159202387	harbor1	chr4	159010260	159011058	LINE/CR1	1385	-	399	159010659	8272
chr4	159002718	159202718	harbor1	chr4	159010260	159011058	LINE/CR1	1385	-	399	159010659	7941
chr4	158917337	159117337	harbor1	chr4	159010260	159011058	LINE/CR1	1385	-	399	159010659	93322
chr4	1107423	1307423	harbor1	chr4	1116805	1117071	LINE/CR1	651	-	133	1116938	9515
chr4	120822653	121022653	harbor1	chr4	120859690	120860063	LINE/CR1	564	-	186	120859876	37223
chr4	120822653	121022653	harbor1	chr4	120870978	120871631	LINE/CR1	919	-	326	120871304	48651
chr4	120822653	121022653	harbor1	chr4	120873391	120873928	LINE/CR1	623	-	268	120873659	51006
chr4	143414065	143614065	harbor1	chr4	143454173	143454332	LINE/CR1	793	-	80	143454253	40188
chr4	143414065	143614065	harbor1	chr4	143454782	143455106	LINE/CR1	793	-	162	143454944	40879
chr4	120822725	121022725	harbor1	chr4	120859690	120860063	LINE/CR1	564	-	186	120859876	37151
chr4	120822725	121022725	harbor1	chr4	120870978	120871631	LINE/CR1	919	-	326	120871304	48579
chr4	120822725	121022725	harbor1	chr4	120873391	120873928	LINE/CR1	623	-	268	120873659	50934
chr4	120822783	121022783	harbor1	chr4	120859690	120860063	LINE/CR1	564	-	186	120859876	37093
chr4	120822783	121022783	harbor1	chr4	120870978	120871631	LINE/CR1	919	-	326	120871304	48521
chr4	120822783	121022783	harbor1	chr4	120873391	120873928	LINE/CR1	623	-	268	120873659	50876
chr5	10150551	10350551	harbor1	chr5	10220428	10220639	LINE/CR1	545	-	106	10220534	69983
chr5	150532654	150732654	harbor1	chr5	150592803	150593070	LINE/CR1	496	-	134	150592937	60283
chr5	10184404	10384404	harbor1	chr5	10220428	10220639	LINE/CR1	545	-	106	10220534	36130
chr5	52700042	52900042	harbor1	chr5	52711032	52711639	LINE/CR1	722	-	304	52711336	11294
chr5	175976844	176176844	harbor1	chr5	176041103	176041278	LINE/CR1	454	-	88	176041191	64347
chr5	150964914	151164914	harbor1	chr5	151031173	151031514	LINE/CR1	475	-	170	151031343	66429
chr5	52699384	52899384	harbor1	chr5	52711032	52711639	LINE/CR1	722	-	304	52711336	11952
chr5	143206591	143406591	harbor1	chr5	143231643	143231863	LINE/CR1	430	-	110	143231753	25162
chr5	61231969	61431969	harbor1	chr5	61255569	61255905	LINE/CR1	622	-	168	61255737	23768
chr5	61231969	61431969	harbor1	chr5	61256247	61256342	LINE/CR1	622	-	48	61256295	24326
chr5	52700079	52900079	harbor1	chr5	52711032	52711639	LINE/CR1	722	-	304	52711336	11257
chr5	150964913	151164913	harbor1	chr5	151031173	151031514	LINE/CR1	475	-	170	151031343	66430
chr5	52699708	52899708	harbor1	chr5	52711032	52711639	LINE/CR1	722	-	304	52711336	11628
chr5	170538258	170738258	harbor1	chr5	170568363	170568531	LINE/CR1	486	-	84	170568447	30189
chr5	170538258	170738258	harbor1	chr5	170568845	170568881	LINE/CR1	486	-	18	170568863	30605
chr5	135919218	136119218	harbor1	chr5	135931917	135932623	LINE/CR1	510	-	353	135932270	13052
chr5	10150998	10350998	harbor1	chr5	10220428	10220639	LINE/CR1	545	-	106	10220534	69536
chr6	139275451	139475451	harbor1	chr6	139306528	139307172	LINE/CR1	1239	-	322	139306850	31399
chr6	139275552	139475552	harbor1	chr6	139306528	139307172	LINE/CR1	1239	-	322	139306850	31298
chr6	37070857	37270857	harbor1	chr6	37163490	37163655	LINE/CR1	491	-	82	37163572	92715
chr6	139268099	139468099	harbor1	chr6	139306528	139307172	LINE/CR1	1239	-	322	139306850	38751
chr6	37070851	37270851	harbor1	chr6	37163490	37163655	LINE/CR1	491	-	82	37163572	92721
chr6	37070872	37270872	harbor1	chr6	37163490	37163655	LINE/CR1	491	-	82	37163572	92700
chr6	139275170	139475170	harbor1	chr6	139306528	139307172	LINE/CR1	1239	-	322	139306850	31680
chr6	37070827	37270827	harbor1	chr6	37163490	37163655	LINE/CR1	491	-	82	37163572	92745
chr6	139274146	139474146	harbor1	chr6	139306528	139307172	LINE/CR1	1239	-	322	139306850	32704
chr6	139274683	139474683	harbor1	chr6	139306528	139307172	LINE/CR1	1239	-	322	139306850	32167
chr6	30784323	30984323	harbor1	chr6	30820819	30820890	LINE/CR1	713	-	36	30820855	36532
