H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	16545136	16745136	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	82919
chr1	16545136	16745136	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	86907
chr1	16543138	16743138	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	84917
chr1	16543138	16743138	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	88905
chr1	3525011	3725011	harbor1	chr1	3606386	3606584	SINE/MIR	606	+	99	3606485	81474
chr1	63219176	63419176	harbor1	chr1	63223894	63224082	SINE/MIR	565	+	94	63223988	4812
chr1	63219176	63419176	harbor1	chr1	63277585	63277817	SINE/MIR	813	+	116	63277701	58525
chr1	63219176	63419176	harbor1	chr1	63281116	63281219	SINE/MIR	488	+	52	63281168	61992
chr1	63219176	63419176	harbor1	chr1	63299373	63299565	SINE/MIR	563	+	96	63299469	80293
chr1	63219176	63419176	harbor1	chr1	63306023	63306201	SINE/MIR	459	+	89	63306112	86936
chr1	63219176	63419176	harbor1	chr1	63309512	63309704	SINE/MIR	510	+	96	63309608	90432
chr1	150461410	150661410	harbor1	chr1	150510234	150510382	SINE/MIR	544	+	74	150510308	48898
chr1	150461410	150661410	harbor1	chr1	150530134	150530285	SINE/MIR	520	+	76	150530210	68800
chr1	150461410	150661410	harbor1	chr1	150530399	150530547	SINE/MIR	432	+	74	150530473	69063
chr1	150461410	150661410	harbor1	chr1	150544277	150544496	SINE/MIR	648	+	110	150544387	82977
chr1	21742123	21942123	harbor1	chr1	21802821	21802916	SINE/MIR	452	+	48	21802869	60746
chr1	21742123	21942123	harbor1	chr1	21820779	21820914	SINE/MIR	447	+	68	21820847	78724
chr1	51230788	51430788	harbor1	chr1	51283336	51283572	SINE/MIR	764	+	118	51283454	52666
chr1	51230788	51430788	harbor1	chr1	51293742	51293991	SINE/MIR	823	+	124	51293866	63078
chr1	51230788	51430788	harbor1	chr1	51327452	51327678	SINE/MIR	585	+	113	51327565	96777
chr1	51230788	51430788	harbor1	chr1	51329992	51330134	SINE/MIR	444	+	71	51330063	99275
chr1	51230788	51430788	harbor1	chr1	51314685	51314888	SINE/MIR	437	+	102	51314787	83999
chr1	16542741	16742741	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	85314
chr1	16542741	16742741	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	89302
chr1	109183460	109383460	harbor1	chr1	109190161	109190340	SINE/MIR	486	+	90	109190251	6791
chr1	109183460	109383460	harbor1	chr1	109198908	109199079	SINE/MIR	521	+	86	109198994	15534
chr1	109183460	109383460	harbor1	chr1	109235572	109235833	SINE/MIR	687	+	130	109235702	52242
chr1	109183460	109383460	harbor1	chr1	109246624	109246724	SINE/MIR	471	+	50	109246674	63214
chr1	109183460	109383460	harbor1	chr1	109259292	109259514	SINE/MIR	708	+	111	109259403	75943
chr1	109183460	109383460	harbor1	chr1	109277204	109277366	SINE/MIR	651	+	81	109277285	93825
chr1	16544784	16744784	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	83271
chr1	16544784	16744784	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	87259
chr1	15942113	16142113	harbor1	chr1	15996923	15997106	SINE/MIR	631	+	92	15997015	54902
chr1	15942113	16142113	harbor1	chr1	16012712	16012896	SINE/MIR	517	+	92	16012804	70691
chr1	15942113	16142113	harbor1	chr1	16021363	16021560	SINE/MIR	465	+	98	16021461	79348
chr1	15942113	16142113	harbor1	chr1	16024025	16024180	SINE/MIR	441	+	78	16024103	81990
chr1	15942113	16142113	harbor1	chr1	16031909	16032060	SINE/MIR	589	+	76	16031985	89872
chr1	15942113	16142113	harbor1	chr1	16035847	16036025	SINE/MIR	575	+	89	16035936	93823
chr1	15942113	16142113	harbor1	chr1	16040207	16040435	SINE/MIR	621	+	114	16040321	98208
chr1	16596895	16796895	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	31160
chr1	16596895	16796895	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	35148
chr1	89721500	89921500	harbor1	chr1	89736625	89736834	SINE/MIR	674	+	104	89736729	15229
chr1	89721500	89921500	harbor1	chr1	89787866	89787977	SINE/MIR	496	+	56	89787922	66422
chr1	89721500	89921500	harbor1	chr1	89788622	89788850	SINE/MIR	493	+	114	89788736	67236
chr1	89721500	89921500	harbor1	chr1	89817209	89817411	SINE/MIR	488	+	101	89817310	95810
chr1	16544947	16744947	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	83108
chr1	16544947	16744947	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	87096
chr1	16625292	16825292	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	2763
chr1	16625292	16825292	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	6751
chr1	16544872	16744872	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	83183
chr1	16544872	16744872	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	87171
chr1	16544810	16744810	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	83245
chr1	16544810	16744810	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	87233
chr1	16544790	16744790	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	83265
chr1	16544790	16744790	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	87253
chr1	77131620	77331620	harbor1	chr1	77162858	77163105	SINE/MIR	837	+	124	77162982	31362
chr1	77131620	77331620	harbor1	chr1	77200697	77200916	SINE/MIR	489	+	110	77200807	69187
chr1	77131620	77331620	harbor1	chr1	77210682	77210893	SINE/MIR	608	+	106	77210788	79168
chr1	77131620	77331620	harbor1	chr1	77212255	77212384	SINE/MIR	552	+	64	77212319	80699
chr1	11666518	11866518	harbor1	chr1	11705616	11705776	SINE/MIR	483	+	80	11705696	39178
chr1	11666518	11866518	harbor1	chr1	11707364	11707554	SINE/MIR	522	+	95	11707459	40941
chr1	11666518	11866518	harbor1	chr1	11708307	11708329	SINE/MIR	665	+	11	11708318	41800
chr1	11666518	11866518	harbor1	chr1	11708585	11708789	SINE/MIR	665	+	102	11708687	42169
chr1	11666518	11866518	harbor1	chr1	11723425	11723586	SINE/MIR	698	+	80	11723505	56987
chr1	11666518	11866518	harbor1	chr1	11723893	11723962	SINE/MIR	698	+	34	11723927	57409
chr1	11666518	11866518	harbor1	chr1	11732109	11732287	SINE/MIR	448	+	89	11732198	65680
chr1	11666518	11866518	harbor1	chr1	11732603	11732644	SINE/MIR	448	+	20	11732623	66105
chr1	11666518	11866518	harbor1	chr1	11733551	11733570	SINE/MIR	448	+	10	11733561	67043
chr1	11666518	11866518	harbor1	chr1	11739051	11739214	SINE/MIR	521	+	82	11739133	72615
chr1	11666518	11866518	harbor1	chr1	11741584	11741806	SINE/MIR	1010	+	111	11741695	75177
chr1	11666518	11866518	harbor1	chr1	11742141	11742359	SINE/MIR	672	+	109	11742250	75732
chr1	11666518	11866518	harbor1	chr1	11746564	11746809	SINE/MIR	905	+	122	11746686	80168
chr1	11666518	11866518	harbor1	chr1	11749725	11749929	SINE/MIR	776	+	102	11749827	83309
chr1	11666518	11866518	harbor1	chr1	11754596	11754797	SINE/MIR	592	+	100	11754696	88178
chr1	7671335	7871335	harbor1	chr1	7721232	7721460	SINE/MIR	628	+	114	7721346	50011
chr1	7671335	7871335	harbor1	chr1	7729683	7729827	SINE/MIR	578	+	72	7729755	58420
chr1	7671335	7871335	harbor1	chr1	7763019	7763202	SINE/MIR	550	+	92	7763111	91776
chr1	6685469	6885469	harbor1	chr1	6700472	6700707	SINE/MIR	849	+	118	6700590	15121
chr1	8715651	8915651	harbor1	chr1	8718691	8718912	SINE/MIR	696	+	110	8718801	3150
chr1	8715651	8915651	harbor1	chr1	8734561	8734723	SINE/MIR	568	+	81	8734642	18991
chr1	8715651	8915651	harbor1	chr1	8781555	8781736	SINE/MIR	551	+	90	8781645	65994
chr1	16544755	16744755	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	83300
chr1	16544755	16744755	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	87288
chr1	16544809	16744809	harbor1	chr1	16627937	16628172	SINE/MIR	841	+	118	16628055	83246
chr1	16544809	16744809	harbor1	chr1	16631944	16632142	SINE/MIR	460	+	99	16632043	87234
chr1	3431207	3631207	harbor1	chr1	3451780	3451995	SINE/MIR	538	+	108	3451888	20681
