H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	96244610	96444610	harbor1	chr1	96248542	96248726	SINE/MIR	665	-	92	96248634	4024
chr1	193326713	193526713	harbor1	chr1	193413804	193413954	SINE/MIR	443	-	75	193413879	87166
chr1	56532729	56732729	harbor1	chr1	56535055	56535222	SINE/MIR	421	-	84	56535139	2410
chr1	56532729	56732729	harbor1	chr1	56558637	56558799	SINE/MIR	595	-	81	56558718	25989
chr1	56532729	56732729	harbor1	chr1	56562542	56562707	SINE/MIR	412	-	82	56562624	29895
chr1	56532729	56732729	harbor1	chr1	56572820	56573044	SINE/MIR	580	-	112	56572932	40203
chr1	56532729	56732729	harbor1	chr1	56584152	56584268	SINE/MIR	526	-	58	56584210	51481
chr1	56532729	56732729	harbor1	chr1	56584383	56584607	SINE/MIR	424	-	112	56584495	51766
chr1	56532729	56732729	harbor1	chr1	56585369	56585524	SINE/MIR	590	-	78	56585447	52718
chr1	56532729	56732729	harbor1	chr1	56592106	56592355	SINE/MIR	940	-	124	56592230	59501
chr1	215294019	215494019	harbor1	chr1	215295781	215295903	SINE/MIR	450	-	61	215295842	1823
chr1	215294019	215494019	harbor1	chr1	215318209	215318373	SINE/MIR	485	-	82	215318291	24272
chr1	38045254	38245254	harbor1	chr1	38056490	38056679	SINE/MIR	775	-	94	38056584	11330
chr1	38045254	38245254	harbor1	chr1	38060635	38060860	SINE/MIR	782	-	112	38060747	15493
chr1	38045254	38245254	harbor1	chr1	38067856	38068075	SINE/MIR	664	-	110	38067966	22712
chr1	38045254	38245254	harbor1	chr1	38069759	38070001	SINE/MIR	738	-	121	38069880	24626
chr1	38045254	38245254	harbor1	chr1	38071826	38072038	SINE/MIR	605	-	106	38071932	26678
chr1	38045254	38245254	harbor1	chr1	38074435	38074589	SINE/MIR	422	-	77	38074512	29258
chr1	38045254	38245254	harbor1	chr1	38074790	38075028	SINE/MIR	843	-	119	38074909	29655
chr1	38045254	38245254	harbor1	chr1	38081571	38081726	SINE/MIR	449	-	78	38081649	36395
chr1	38045254	38245254	harbor1	chr1	38086443	38086663	SINE/MIR	1038	-	110	38086553	41299
chr1	38045254	38245254	harbor1	chr1	38101608	38101812	SINE/MIR	592	-	102	38101710	56456
chr1	38045254	38245254	harbor1	chr1	38103317	38103538	SINE/MIR	471	-	110	38103427	58173
chr1	38045254	38245254	harbor1	chr1	38131362	38131561	SINE/MIR	720	-	100	38131462	86208
chr1	61689580	61889580	harbor1	chr1	61769595	61769753	SINE/MIR	518	-	79	61769674	80094
chr1	61689580	61889580	harbor1	chr1	61780970	61781161	SINE/MIR	495	-	96	61781066	91486
chr1	61689580	61889580	harbor1	chr1	61782340	61782519	SINE/MIR	489	-	90	61782430	92850
chr1	61689580	61889580	harbor1	chr1	61734832	61735020	SINE/MIR	428	-	94	61734926	45346
chr1	102982162	103182162	harbor1	chr1	103054928	103055160	SINE/MIR	621	-	116	103055044	72882
chr1	236259460	236459460	harbor1	chr1	236270374	236270579	SINE/MIR	492	-	102	236270476	11016
chr1	236259460	236459460	harbor1	chr1	236306009	236306188	SINE/MIR	579	-	90	236306099	46639
chr1	236259460	236459460	harbor1	chr1	236318413	236318607	SINE/MIR	481	-	97	236318510	59050
chr1	145761999	145961999	harbor1	chr1	145781541	145781801	SINE/MIR	1172	-	130	145781671	19672
chr1	206125916	206325916	harbor1	chr1	206173092	206173266	SINE/MIR	768	-	87	206173179	47263
chr1	206125916	206325916	harbor1	chr1	206208065	206208185	SINE/MIR	491	-	60	206208125	82209
chr1	206125916	206325916	harbor1	chr1	206208296	206208486	SINE/MIR	574	-	95	206208391	82475
chr1	206125916	206325916	harbor1	chr1	206214251	206214482	SINE/MIR	503	-	116	206214367	88451
chr1	206125916	206325916	harbor1	chr1	206217552	206217755	SINE/MIR	804	-	102	206217654	91738
chr1	47107050	47307050	harbor1	chr1	47107103	47107351	SINE/MIR	639	-	124	47107227	177
chr1	47107050	47307050	harbor1	chr1	47178488	47178715	SINE/MIR	469	-	114	47178602	71552
chr1	47107050	47307050	harbor1	chr1	47189281	47189493	SINE/MIR	596	-	106	47189387	82337
chr1	47107050	47307050	harbor1	chr1	47196975	47197166	SINE/MIR	467	-	96	47197071	90021
chr1	47107050	47307050	harbor1	chr1	47201470	47201704	SINE/MIR	510	-	117	47201587	94537
chr1	74353744	74553744	harbor1	chr1	74358900	74359118	SINE/MIR	420	-	109	74359009	5265
chr1	74353744	74553744	harbor1	chr1	74360434	74360529	SINE/MIR	436	-	48	74360482	6738
chr1	74353744	74553744	harbor1	chr1	74374289	74374432	SINE/MIR	511	-	72	74374361	20617
chr1	74353744	74553744	harbor1	chr1	74409054	74409285	SINE/MIR	745	-	116	74409170	55426
chr1	74353744	74553744	harbor1	chr1	74422350	74422582	SINE/MIR	412	-	116	74422466	68722
chr1	240850481	241050481	harbor1	chr1	240865062	240865261	SINE/MIR	487	-	100	240865162	14681
chr1	240850481	241050481	harbor1	chr1	240888593	240888835	SINE/MIR	492	-	121	240888714	38233
chr1	240850481	241050481	harbor1	chr1	240890606	240890821	SINE/MIR	788	-	108	240890714	40233
chr1	240850481	241050481	harbor1	chr1	240905501	240905627	SINE/MIR	417	-	63	240905564	55083
chr1	240850481	241050481	harbor1	chr1	240928991	240929203	SINE/MIR	503	-	106	240929097	78616
chr1	114150221	114350221	harbor1	chr1	114159735	114159931	SINE/MIR	639	-	98	114159833	9612
chr1	114150221	114350221	harbor1	chr1	114190435	114190596	SINE/MIR	614	-	80	114190515	40294
chr1	114150221	114350221	harbor1	chr1	114195396	114195556	SINE/MIR	452	-	80	114195476	45255
chr1	114150221	114350221	harbor1	chr1	114198796	114198942	SINE/MIR	457	-	73	114198869	48648
chr1	114150221	114350221	harbor1	chr1	114207559	114207763	SINE/MIR	585	-	102	114207661	57440
chr1	114150221	114350221	harbor1	chr1	114234596	114234809	SINE/MIR	445	-	106	114234702	84481
chr1	199803951	200003951	harbor1	chr1	199804201	199804428	SINE/MIR	694	-	114	199804315	364
chr1	199803951	200003951	harbor1	chr1	199805667	199805886	SINE/MIR	756	-	110	199805777	1826
chr1	199803951	200003951	harbor1	chr1	199812461	199812700	SINE/MIR	696	-	120	199812581	8630
chr1	199803951	200003951	harbor1	chr1	199822235	199822374	SINE/MIR	582	-	70	199822305	18354
chr1	199803951	200003951	harbor1	chr1	199843993	199844127	SINE/MIR	423	-	67	199844060	40109
chr1	230369077	230569077	harbor1	chr1	230370459	230370731	SINE/MIR	711	-	136	230370595	1518
chr1	230369077	230569077	harbor1	chr1	230379758	230379988	SINE/MIR	631	-	115	230379873	10796
chr1	230369077	230569077	harbor1	chr1	230381027	230381260	SINE/MIR	467	-	116	230381143	12066
chr1	230369077	230569077	harbor1	chr1	230434727	230434933	SINE/MIR	627	-	103	230434830	65753
chr1	230369077	230569077	harbor1	chr1	230455173	230455342	SINE/MIR	629	-	84	230455257	86180
chr1	230369077	230569077	harbor1	chr1	230457308	230457448	SINE/MIR	460	-	70	230457378	88301
chr1	201026708	201226708	harbor1	chr1	201027256	201027435	SINE/MIR	602	-	90	201027346	638
chr1	201026708	201226708	harbor1	chr1	201028427	201028544	SINE/MIR	495	-	58	201028485	1777
chr1	201026708	201226708	harbor1	chr1	201087145	201087407	SINE/MIR	1122	-	131	201087276	60568
chr1	201026708	201226708	harbor1	chr1	201102590	201102793	SINE/MIR	713	-	102	201102692	75984
chr1	201026708	201226708	harbor1	chr1	201105358	201105543	SINE/MIR	678	-	92	201105450	78742
chr1	201026708	201226708	harbor1	chr1	201118735	201118922	SINE/MIR	556	-	94	201118829	92121
chr1	201026708	201226708	harbor1	chr1	201122414	201122566	SINE/MIR	537	-	76	201122490	95782
chr1	201026708	201226708	harbor1	chr1	201123426	201123599	SINE/MIR	644	-	86	201123512	96804
chr1	201026708	201226708	harbor1	chr1	201126510	201126748	SINE/MIR	657	-	119	201126629	99921
chr1	4794226	4994226	harbor1	chr1	4799865	4800027	SINE/MIR	554	-	81	4799946	5720
chr1	4794226	4994226	harbor1	chr1	4883989	4884229	SINE/MIR	925	-	120	4884109	89883
chr1	144283332	144483332	harbor1	chr1	144302690	144302854	SINE/MIR	592	-	82	144302772	19440
chr1	144283332	144483332	harbor1	chr1	144314546	144314726	SINE/MIR	417	-	90	144314636	31304
chr1	220592982	220792982	harbor1	chr1	220602886	220603117	SINE/MIR	511	-	116	220603002	10020
chr1	220592982	220792982	harbor1	chr1	220633975	220634059	SINE/MIR	430	-	42	220634017	41035
chr1	67038643	67238643	harbor1	chr1	67124698	67124786	SINE/MIR	430	-	44	67124742	86099
chr1	152106119	152306119	harbor1	chr1	152125677	152125880	SINE/MIR	642	-	102	152125779	19660
chr1	152106119	152306119	harbor1	chr1	152142266	152142455	SINE/MIR	501	-	94	152142360	36241
chr1	152106119	152306119	harbor1	chr1	152162273	152162350	SINE/MIR	792	-	38	152162311	56192
chr1	152106119	152306119	harbor1	chr1	152162668	152162894	SINE/MIR	792	-	113	152162781	56662
chr1	152106119	152306119	harbor1	chr1	152174782	152175006	SINE/MIR	769	-	112	152174894	68775
chr1	152106119	152306119	harbor1	chr1	152179950	152180175	SINE/MIR	559	-	112	152180062	73943
chr1	152106119	152306119	harbor1	chr1	152186142	152186279	SINE/MIR	649	-	68	152186210	80091
chr1	179157233	179357233	harbor1	chr1	179199539	179199657	SINE/MIR	416	-	59	179199598	42365
chr1	179157233	179357233	harbor1	chr1	179205888	179206146	SINE/MIR	884	-	129	179206017	48784
chr1	179157233	179357233	harbor1	chr1	179207539	179207710	SINE/MIR	625	-	86	179207625	50392
chr1	179157233	179357233	harbor1	chr1	179226706	179226849	SINE/MIR	645	-	72	179226778	69545
chr1	179157233	179357233	harbor1	chr1	179253149	179253404	SINE/MIR	802	-	128	179253277	96044
chr1	59604000	59804000	harbor1	chr1	59618223	59618459	SINE/MIR	584	-	118	59618341	14341
chr1	59604000	59804000	harbor1	chr1	59637107	59637257	SINE/MIR	438	-	75	59637182	33182
chr1	59604000	59804000	harbor1	chr1	59637801	59638034	SINE/MIR	897	-	116	59637917	33917
chr1	59604000	59804000	harbor1	chr1	59646619	59646830	SINE/MIR	622	-	106	59646725	42725
chr1	59604000	59804000	harbor1	chr1	59655740	59655966	SINE/MIR	469	-	113	59655853	51853
chr1	59604000	59804000	harbor1	chr1	59662349	59662509	SINE/MIR	601	-	80	59662429	58429
chr1	59604000	59804000	harbor1	chr1	59663082	59663311	SINE/MIR	445	-	114	59663196	59196
chr1	59604000	59804000	harbor1	chr1	59669062	59669295	SINE/MIR	412	-	116	59669178	65178
chr1	59604000	59804000	harbor1	chr1	59671647	59671877	SINE/MIR	1004	-	115	59671762	67762
chr1	59604000	59804000	harbor1	chr1	59672301	59672544	SINE/MIR	561	-	122	59672423	68423
chr1	59604000	59804000	harbor1	chr1	59675020	59675147	SINE/MIR	508	-	64	59675084	71084
chr1	59604000	59804000	harbor1	chr1	59683135	59683326	SINE/MIR	524	-	96	59683231	79231
chr1	59604000	59804000	harbor1	chr1	59684937	59685103	SINE/MIR	597	-	83	59685020	81020
chr1	59604000	59804000	harbor1	chr1	59690248	59690469	SINE/MIR	546	-	110	59690358	86358
chr1	59604000	59804000	harbor1	chr1	59695506	59695712	SINE/MIR	582	-	103	59695609	91609
chr1	59604000	59804000	harbor1	chr1	59696826	59696960	SINE/MIR	492	-	67	59696893	92893
chr1	59604000	59804000	harbor1	chr1	59703290	59703528	SINE/MIR	523	-	119	59703409	99409
chr1	72566007	72766007	harbor1	chr1	72581293	72581494	SINE/MIR	758	-	100	72581393	15386
chr1	72566007	72766007	harbor1	chr1	72626032	72626259	SINE/MIR	646	-	114	72626146	60139
chr1	72566007	72766007	harbor1	chr1	72635678	72635799	SINE/MIR	459	-	60	72635738	69731
chr1	72566007	72766007	harbor1	chr1	72659967	72660199	SINE/MIR	617	-	116	72660083	94076
chr1	233496035	233696035	harbor1	chr1	233527586	233527747	SINE/MIR	413	-	80	233527666	31631
chr1	233496035	233696035	harbor1	chr1	233571574	233571802	SINE/MIR	669	-	114	233571688	75653
chr1	200422372	200622372	harbor1	chr1	200423144	200423361	SINE/MIR	606	-	108	200423252	880
chr1	200422372	200622372	harbor1	chr1	200434308	200434442	SINE/MIR	455	-	67	200434375	12003
chr1	200422372	200622372	harbor1	chr1	200462363	200462518	SINE/MIR	602	-	78	200462441	40069
chr1	200422372	200622372	harbor1	chr1	200486786	200486988	SINE/MIR	519	-	101	200486887	64515
chr1	200422372	200622372	harbor1	chr1	200503262	200503416	SINE/MIR	448	-	77	200503339	80967
chr1	28884288	29084288	harbor1	chr1	28885989	28886214	SINE/MIR	889	-	112	28886101	1813
chr1	28884288	29084288	harbor1	chr1	28890620	28890835	SINE/MIR	718	-	108	28890728	6440
chr1	28884288	29084288	harbor1	chr1	28892277	28892439	SINE/MIR	771	-	81	28892358	8070
