0	1	2	3	4	5	6	7	8	9	10	11
SRR12625672.10021554	14123660	16	14123740	70M80S	256	89417101	27M123H	70	27	14123810	89417127
SRR12625672.10037131	118769783	0	57485327	113M37S	2064	118769882	37M113H	113	37	57485440	118769918
SRR12625672.10058023	72181826	16	72181866	88M62S	2048	72018613	18H46M86H	88	46	72181954	72018658
SRR12625672.10097581	18353765	16	18353801	114M36S	2048	18354683	36M114H	114	36	18353915	18354718
SRR12625672.1009844	21374139	16	21374174	118M32S	2048	27043235	32M118H	118	32	21374292	27043266
SRR12625672.10130256	18353574	16	18353696	96M54S	2048	18354683	18H36M96H	96	36	18353792	18354718
SRR12625672.10144450	49053640	0	49053143	105M45S	2064	49053719	45M105H	105	45	49053248	49053763
SRR12625672.10144640	49840806	16	49840913	49M101S	256	90700343	23H25M102H	49	25	49840962	90700367
SRR12625672.10173739	18232331	16	18354677	30S104M16S	2064	18232456	31M119H	104	31	18354781	18232486
SRR12625672.10205495	154598201	16	155986738	59M91S	272	154598294	59M91H	59	59	155986797	154598352
SRR12625672.10205612	101358781	16	101358866	107M43S	272	54152968	44H63M43H	107	63	101358973	54153030
SRR12625672.1023359	939893	16	939989	70M80S	256	943404	80H36M34H	70	36	940059	943439
SRR12625672.10233753	48832139	0	38171039	112M38S	2064	48832243	41M109H	112	41	38171151	48832283
SRR12625672.10250832	71533665	16	71533736	82M68S	2048	71532949	68M82H	82	68	71533818	71533016
SRR12625672.10267758	154048494	16	154048534	108M42S	2048	154019946	14H28M108H	108	28	154048642	154019973
SRR12625672.10296942	86649930	16	86650106	31M119S	2048	53057664	22H22M106H	31	22	86650137	53057685
SRR12625672.1038377	103832220	16	103832261	102M48S	2048	103690061	48M102H	102	48	103832363	103690108
SRR12625672.10391580	26874075	16	26874194	56M94S	272	87809203	35M115H	56	35	26874250	87809237
SRR12625672.10400916	149292234	16	149292312	77M73S	2048	149259272	51H24M75H	77	24	149292389	149259295
SRR12625672.10475653	15561205	0	13689004	94M56S	2064	15561283	56M94H	94	56	13689098	15561338
SRR12625672.10485479	47355193	16	47355277	85M65S	256	95562853	97H43M10H	85	43	47355362	95562895
SRR12625672.10497813	9635143	0	18354683	82M68S	2064	9635337	70M80H	82	70	18354765	9635406
SRR12625672.10583142	72298813	16	72298845	109M41S	2048	72306822	42M108H	109	42	72298954	72306863
SRR12625672.10631388	7148008	0	7221226	81M69S	2064	7148121	69M81H	81	69	7221307	7148189
SRR12625672.10646014	39688747	16	39688792	122M28S	2048	54243452	29M121H	122	29	39688914	54243480
SRR12625672.10650947	152807275	16	152807357	79M71S	2048	152806408	72M78H	79	72	152807436	152806479
SRR12625672.1068064	125299275	16	125299356	88M62S	2048	153966383	37H25M88H	88	25	125299444	153966407
SRR12625672.10685997	129581329	0	39821037	112M38S	2064	129581625	15H23M112H	112	23	39821149	129581647
SRR12625672.1070173	46125303	16	46125344	97M53S	2048	40647535	54M96H	97	54	46125441	40647588
SRR12625672.10722104	19497279	16	19497380	86M64S	272	135703832	26H48M76H	86	48	19497466	135703879
SRR12625672.10756239	7969221	16	7969253	101M49S	2048	82252791	23H27M100H	101	27	7969354	82252817
SRR12625672.1075644	88039012	0	88039019	113M37S	2048	139852452	117H30M3H	113	30	88039132	139852481
SRR12625672.10781347	56761613	16	56761649	107M43S	2048	56563508	44M106H	107	44	56761756	56563551
SRR12625672.10796948	130171611	16	130171688	70M80S	2048	130173299	61M89H	70	61	130171758	130173359
SRR12625672.11041961	75457555	16	75457623	86M64S	256	49282436	83H44M23H	86	44	75457709	49282479
SRR12625672.11043498	48155965	16	48156061	57M93S	256	48279267	93H32M25H	57	32	48156118	48279298
SRR12625672.11138932	72306817	16	72306879	89M61S	2048	72308546	63M87H	89	63	72306968	72308608
SRR12625672.11146896	21374022	16	21374066	113M37S	2048	21370768	38M112H	113	38	21374179	21370805
SRR12625672.1118450	153638031	16	153638041	107M43S	2048	153636626	45M105H	107	45	153638148	153636670
SRR12625672.11268734	129932561	16	129932598	97M53S	2048	129934923	53M97H	97	53	129932695	129934975
SRR12625672.11281078	139932473	16	139932578	117M33S	2048	139927719	34M116H	117	34	139932695	139927752
SRR12625672.11295645	107229874	16	107229946	76M74S	272	70022595	41M109H	76	41	107230022	70022635
SRR12625672.11333548	71616645	16	71616756	55M95S	2048	71615369	59H36M55H	55	36	71616811	71615404
SRR12625672.1136120	72306756	0	72306670	53M97S	2048	35499526	55H22M73H	53	22	72306723	35499547
SRR12625672.11391191	103832250	16	103832290	107M43S	2048	103704879	24M126H	107	24	103832397	103704902
SRR12625672.11397339	40096900	0	40096055	97M53S	2064	40096971	53M97H	97	53	40096152	40097023
