H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	193326713	193526713	harbor1	chr1	193355977	193356768	LINE/L2	853	+	396	193356373	29660
chr1	193326713	193526713	harbor1	chr1	193347128	193347996	LINE/L2	999	+	434	193347562	20849
chr1	56532729	56732729	harbor1	chr1	56569709	56570129	LINE/L2	477	+	210	56569919	37190
chr1	56532729	56732729	harbor1	chr1	56592490	56592935	LINE/L2	431	+	222	56592712	59983
chr1	215294019	215494019	harbor1	chr1	215337245	215337365	LINE/L2	643	+	60	215337305	43286
chr1	215294019	215494019	harbor1	chr1	215339823	215340685	LINE/L2	1639	+	431	215340254	46235
chr1	215294019	215494019	harbor1	chr1	215371179	215371978	LINE/L2	495	+	400	215371579	77560
chr1	38045254	38245254	harbor1	chr1	38055221	38055618	LINE/L2	627	+	198	38055419	10165
chr1	38045254	38245254	harbor1	chr1	38067310	38067665	LINE/L2	497	+	178	38067488	22234
chr1	38045254	38245254	harbor1	chr1	38098711	38098946	LINE/L2	805	+	118	38098829	53575
chr1	38045254	38245254	harbor1	chr1	38098958	38099033	LINE/L2	565	+	38	38098996	53742
chr1	38045254	38245254	harbor1	chr1	38099276	38099372	LINE/L2	565	+	48	38099324	54070
chr1	38045254	38245254	harbor1	chr1	38099681	38099858	LINE/L2	565	+	88	38099769	54515
chr1	38045254	38245254	harbor1	chr1	38120512	38121113	LINE/L2	1511	+	300	38120812	75558
chr1	38045254	38245254	harbor1	chr1	38136998	38137323	LINE/L2	547	+	162	38137160	91906
chr1	38045254	38245254	harbor1	chr1	38140755	38141521	LINE/L2	1400	+	383	38141138	95884
chr1	38045254	38245254	harbor1	chr1	38142291	38142435	LINE/L2	814	+	72	38142363	97109
chr1	38045254	38245254	harbor1	chr1	38141934	38141992	LINE/L2	814	+	29	38141963	96709
chr1	61689580	61889580	harbor1	chr1	61695859	61696008	LINE/L2	600	+	74	61695933	6353
chr1	61689580	61889580	harbor1	chr1	61786409	61786709	LINE/L2	1686	+	150	61786559	96979
chr1	61689580	61889580	harbor1	chr1	61787007	61787339	LINE/L2	1686	+	166	61787173	97593
chr1	102982162	103182162	harbor1	chr1	103076167	103076889	LINE/L2	630	+	361	103076528	94366
chr1	102982162	103182162	harbor1	chr1	103078042	103078606	LINE/L2	782	+	282	103078324	96162
chr1	236259460	236459460	harbor1	chr1	236265411	236266186	LINE/L2	978	+	388	236265799	6339
chr1	247505213	247705213	harbor1	chr1	247533059	247533249	LINE/L2	526	+	95	247533154	27941
chr1	247505213	247705213	harbor1	chr1	247533883	247533944	LINE/L2	526	+	30	247533913	28700
chr1	247505213	247705213	harbor1	chr1	247533918	247534321	LINE/L2	980	+	202	247534120	28907
chr1	247505213	247705213	harbor1	chr1	247538320	247538449	LINE/L2	736	+	64	247538384	33171
chr1	247505213	247705213	harbor1	chr1	247538870	247539015	LINE/L2	736	+	72	247538942	33729
chr1	247505213	247705213	harbor1	chr1	247539822	247540084	LINE/L2	728	+	131	247539953	34740
chr1	247505213	247705213	harbor1	chr1	247540331	247540624	LINE/L2	728	+	146	247540477	35264
chr1	247505213	247705213	harbor1	chr1	247556769	247557053	LINE/L2	501	+	142	247556911	51698
chr1	145761999	145961999	harbor1	chr1	145793462	145793838	LINE/L2	659	+	188	145793650	31651
chr1	145761999	145961999	harbor1	chr1	145794144	145794481	LINE/L2	659	+	168	145794312	32313
chr1	145761999	145961999	harbor1	chr1	145829158	145829776	LINE/L2	706	+	309	145829467	67468
chr1	206125916	206325916	harbor1	chr1	206157478	206157810	LINE/L2	846	+	166	206157644	31728
chr1	206125916	206325916	harbor1	chr1	206177567	206177916	LINE/L2	764	+	174	206177741	51825
chr1	206125916	206325916	harbor1	chr1	206215604	206215974	LINE/L2	517	+	185	206215789	89873
chr1	47107050	47307050	harbor1	chr1	47204430	47204879	LINE/L2	800	+	224	47204654	97604
chr1	47107050	47307050	harbor1	chr1	47205571	47206045	LINE/L2	1469	+	237	47205808	98758
chr1	47107050	47307050	harbor1	chr1	47206346	47206694	LINE/L2	1469	+	174	47206520	99470
chr1	47107050	47307050	harbor1	chr1	47206739	47206920	LINE/L2	1064	+	90	47206829	99779
