H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chrX	48410247	48610247	harbor1	chrX	48410116	48410412	SINE/Alu	1790	+	148	48410264	17
chrX	48410247	48610247	harbor1	chrX	48411507	48411673	SINE/Alu	1073	-	83	48411590	1343
chrX	48410247	48610247	harbor1	chrX	48412470	48412922	LINE/L1	4028	-	226	48412696	2449
chrX	48410247	48610247	harbor1	chrX	48413044	48413235	SINE/Alu	638	-	96	48413140	2893
chrX	48410247	48610247	harbor1	chrX	48413242	48413482	SINE/Alu	1001	-	120	48413362	3115
chrX	48410247	48610247	harbor1	chrX	48413545	48413741	SINE/Alu	980	-	98	48413643	3396
chrX	48410247	48610247	harbor1	chrX	48414808	48415077	SINE/Alu	2140	-	134	48414942	4695
chrX	48410247	48610247	harbor1	chrX	48415908	48416030	SINE/Alu	951	-	61	48415969	5722
chrX	48410247	48610247	harbor1	chrX	48416108	48416421	SINE/Alu	2219	+	156	48416264	6017
chrX	48410247	48610247	harbor1	chrX	48416426	48416679	LINE/L1	1062	-	126	48416552	6305
chrX	48410247	48610247	harbor1	chrX	48416684	48416843	SINE/Alu	1237	-	80	48416764	6517
chrX	48410247	48610247	harbor1	chrX	48416844	48417148	SINE/Alu	2571	-	152	48416996	6749
chrX	48410247	48610247	harbor1	chrX	48417151	48417632	LINE/L1	3069	-	240	48417391	7144
chrX	48410247	48610247	harbor1	chrX	48417633	48417650	SINE/Alu	1990	-	8	48417641	7394
chrX	48410247	48610247	harbor1	chrX	48417692	48417981	SINE/Alu	1990	-	144	48417836	7589
chrX	48410247	48610247	harbor1	chrX	48417982	48418590	LINE/L1	3069	-	304	48418286	8039
chrX	48410247	48610247	harbor1	chrX	48418595	48418886	SINE/Alu	2270	-	146	48418741	8494
chrX	48410247	48610247	harbor1	chrX	48419604	48419911	SINE/Alu	2247	+	154	48419758	9511
chrX	48410247	48610247	harbor1	chrX	48419912	48419979	LINE/L1	613	+	34	48419946	9699
chrX	48410247	48610247	harbor1	chrX	48419980	48420234	SINE/Alu	1854	+	127	48420107	9860
chrX	48410247	48610247	harbor1	chrX	48420235	48420480	LINE/L1	1956	+	122	48420357	10110
chrX	48410247	48610247	harbor1	chrX	48420529	48420972	LINE/L1	3592	+	222	48420751	10504
chrX	48410247	48610247	harbor1	chrX	48420973	48421293	SINE/Alu	2125	+	160	48421133	10886
chrX	48410247	48610247	harbor1	chrX	48421294	48421794	LINE/L1	3592	+	250	48421544	11297
chrX	48410247	48610247	harbor1	chrX	48421795	48422118	SINE/Alu	2044	+	162	48421957	11710
chrX	48410247	48610247	harbor1	chrX	48422119	48422372	LINE/L1	3592	+	126	48422245	11998
chrX	48410247	48610247	harbor1	chrX	48422373	48422675	SINE/Alu	2103	-	151	48422524	12277
chrX	48410247	48610247	harbor1	chrX	48423716	48423837	LTR/ERV1	575	-	60	48423776	13529
chrX	48410247	48610247	harbor1	chrX	48423838	48424148	SINE/Alu	2339	+	155	48423993	13746
chrX	48410247	48610247	harbor1	chrX	48424149	48424330	SINE/Alu	1105	+	90	48424239	13992
chrX	48410247	48610247	harbor1	chrX	48424332	48425052	LTR/ERV1	2764	-	360	48424692	14445
chrX	48410247	48610247	harbor1	chrX	48425053	48425367	LTR/ERV1	958	-	157	48425210	14963
chrX	48410247	48610247	harbor1	chrX	48425887	48426195	SINE/Alu	2152	+	154	48426041	15794
chrX	48410247	48610247	harbor1	chrX	48426555	48426833	SINE/Alu	1733	-	139	48426694	16447
chrX	48410247	48610247	harbor1	chrX	48426834	48427243	LTR/ERV1	1825	-	204	48427038	16791
chrX	48410247	48610247	harbor1	chrX	48427254	48427537	SINE/Alu	1992	+	142	48427396	17149
chrX	48410247	48610247	harbor1	chrX	48427650	48428000	LTR/ERV1	1239	+	175	48427825	17578
chrX	48410247	48610247	harbor1	chrX	48428001	48428352	SINE/Alu	1647	-	176	48428177	17930
chrX	48410247	48610247	harbor1	chrX	48428353	48428401	LTR/ERV1	1239	+	24	48428377	18130
chrX	48410247	48610247	harbor1	chrX	48428892	48429207	SINE/Alu	2165	-	158	48429050	18803
chrX	48410247	48610247	harbor1	chrX	48429208	48429507	SINE/Alu	2108	-	150	48429358	19111
chrX	48410247	48610247	harbor1	chrX	48430254	48430474	SINE/MIR	813	-	110	48430364	20117
chrX	48410247	48610247	harbor1	chrX	48430484	48430784	SINE/Alu	1657	+	150	48430634	20387
chrX	48410247	48610247	harbor1	chrX	48431170	48431476	SINE/Alu	1901	-	153	48431323	21076
chrX	48410247	48610247	harbor1	chrX	48431780	48431985	SINE/Alu	1368	-	102	48431882	21635
chrX	48410247	48610247	harbor1	chrX	48432615	48432918	SINE/Alu	2306	+	152	48432767	22520
chrX	48410247	48610247	harbor1	chrX	48433481	48438697	LINE/L1	25141	+	2608	48436089	25842
chrX	48410247	48610247	harbor1	chrX	48438698	48439327	LINE/L1	5307	+	314	48439012	28765
chrX	48410247	48610247	harbor1	chrX	48439532	48439986	DNA/TcMar-Tigger	2919	-	227	48439759	29512
chrX	48410247	48610247	harbor1	chrX	48439980	48440811	DNA/TcMar-Tigger	5423	-	416	48440396	30149
chrX	48410247	48610247	harbor1	chrX	48440812	48441020	LINE/L1	1440	+	104	48440916	30669
chrX	48410247	48610247	harbor1	chrX	48441021	48441219	DNA/TcMar-Tigger	5423	-	99	48441120	30873
chrX	48410247	48610247	harbor1	chrX	48441787	48442065	SINE/Alu	2154	-	139	48441926	31679
chrX	48410247	48610247	harbor1	chrX	48443218	48443510	SINE/Alu	1853	-	146	48443364	33117
chrX	48410247	48610247	harbor1	chrX	48443986	48444260	SINE/Alu	2011	+	137	48444123	33876
chrX	48410247	48610247	harbor1	chrX	48444286	48444884	LINE/L1	3329	+	299	48444585	34338
chrX	48410247	48610247	harbor1	chrX	48444885	48445185	SINE/Alu	1982	+	150	48445035	34788
chrX	48410247	48610247	harbor1	chrX	48445186	48445944	LINE/L1	3329	+	379	48445565	35318
chrX	48410247	48610247	harbor1	chrX	48445947	48446236	SINE/Alu	2140	-	144	48446091	35844
chrX	48410247	48610247	harbor1	chrX	48447098	48447379	SINE/Alu	2047	+	140	48447238	36991
chrX	48410247	48610247	harbor1	chrX	48448464	48448773	SINE/Alu	2378	-	154	48448618	38371
chrX	48410247	48610247	harbor1	chrX	48449282	48449481	SINE/Alu	1476	-	100	48449382	39135
chrX	48410247	48610247	harbor1	chrX	48449540	48449698	LINE/L1	896	+	79	48449619	39372
chrX	48410247	48610247	harbor1	chrX	48449699	48450003	SINE/Alu	2340	+	152	48449851	39604
chrX	48410247	48610247	harbor1	chrX	48450004	48450157	LINE/L1	896	+	76	48450080	39833
chrX	48410247	48610247	harbor1	chrX	48450540	48450694	LINE/L1	5194	+	77	48450617	40370
chrX	48410247	48610247	harbor1	chrX	48450695	48450982	SINE/Alu	2278	+	144	48450839	40592
chrX	48410247	48610247	harbor1	chrX	48451107	48451430	LINE/L1	5194	+	162	48451269	41022
chrX	48410247	48610247	harbor1	chrX	48451431	48451746	SINE/Alu	2373	+	158	48451589	41342
chrX	48410247	48610247	harbor1	chrX	48451747	48452148	LINE/L1	5194	+	200	48451947	41700
chrX	48410247	48610247	harbor1	chrX	48452149	48452305	SINE/Alu	1917	-	78	48452227	41980
chrX	48410247	48610247	harbor1	chrX	48452306	48452613	SINE/Alu	2523	-	154	48452460	42213
chrX	48410247	48610247	harbor1	chrX	48452614	48452749	SINE/Alu	1917	-	68	48452682	42435
chrX	48410247	48610247	harbor1	chrX	48452750	48452990	LINE/L1	5194	+	120	48452870	42623
chrX	48410247	48610247	harbor1	chrX	48452991	48453298	SINE/Alu	2294	-	154	48453145	42898
chrX	48410247	48610247	harbor1	chrX	48453299	48453504	LINE/L1	5194	+	102	48453401	43154
chrX	48410247	48610247	harbor1	chrX	48453582	48453762	SINE/Alu	1728	-	90	48453672	43425
chrX	48410247	48610247	harbor1	chrX	48453763	48454093	SINE/Alu	2245	+	165	48453928	43681
chrX	48410247	48610247	harbor1	chrX	48454094	48454200	SINE/Alu	1728	-	53	48454147	43900
chrX	48410247	48610247	harbor1	chrX	48454294	48454402	LINE/L1	605	+	54	48454348	44101
chrX	48410247	48610247	harbor1	chrX	48454403	48454719	LTR/ERVL-MaLR	1389	+	158	48454561	44314
chrX	48410247	48610247	harbor1	chrX	48454721	48454858	LINE/L1	633	+	68	48454789	44542
chrX	48410247	48610247	harbor1	chrX	48454833	48455065	LINE/L1	1196	+	116	48454949	44702
chrX	48410247	48610247	harbor1	chrX	48455086	48455396	SINE/Alu	1936	-	155	48455241	44994
chrX	48410247	48610247	harbor1	chrX	48455661	48455795	SINE/Alu	1993	+	67	48455728	45481
chrX	48410247	48610247	harbor1	chrX	48455796	48456096	SINE/Alu	2046	+	150	48455946	45699
chrX	48410247	48610247	harbor1	chrX	48456136	48456295	SINE/Alu	1993	+	80	48456216	45969
chrX	48410247	48610247	harbor1	chrX	48456313	48456612	SINE/Alu	1987	+	150	48456463	46216
chrX	48410247	48610247	harbor1	chrX	48457044	48457293	DNA/hAT-Charlie	1106	-	124	48457168	46921
chrX	48410247	48610247	harbor1	chrX	48457294	48457583	SINE/Alu	2168	-	144	48457438	47191
chrX	48410247	48610247	harbor1	chrX	48457586	48457861	SINE/Alu	1810	-	138	48457724	47477
chrX	48410247	48610247	harbor1	chrX	48457862	48457951	DNA/hAT-Charlie	1106	-	44	48457906	47659
chrX	48410247	48610247	harbor1	chrX	48457963	48458077	LINE/L2	574	+	57	48458020	47773
chrX	48410247	48610247	harbor1	chrX	48458082	48458378	SINE/Alu	2134	-	148	48458230	47983
chrX	48410247	48610247	harbor1	chrX	48462326	48462635	SINE/Alu	2331	+	154	48462480	52233
chrX	48410247	48610247	harbor1	chrX	48463321	48463628	SINE/Alu	2371	+	154	48463475	53228
chrX	48410247	48610247	harbor1	chrX	48463629	48463801	SINE/Alu	1305	+	86	48463715	53468
chrX	48410247	48610247	harbor1	chrX	48464514	48464784	SINE/Alu	1939	+	135	48464649	54402
chrX	48410247	48610247	harbor1	chrX	48464785	48464946	SINE/Alu	1231	+	80	48464865	54618
chrX	48410247	48610247	harbor1	chrX	48471953	48472255	SINE/Alu	2370	+	151	48472104	61857
chrX	48410247	48610247	harbor1	chrX	48473312	48473498	SINE/MIR	671	+	93	48473405	63158
chrX	48410247	48610247	harbor1	chrX	48474356	48474659	SINE/Alu	2279	-	152	48474508	64261
chrX	48410247	48610247	harbor1	chrX	48474661	48474791	SINE/Alu	767	-	65	48474726	64479
chrX	48410247	48610247	harbor1	chrX	48474846	48474935	DNA/hAT-Blackjack	1287	+	44	48474890	64643
chrX	48410247	48610247	harbor1	chrX	48474936	48475195	SINE/Alu	1723	-	130	48475066	64819
chrX	48410247	48610247	harbor1	chrX	48475196	48475525	DNA/hAT-Blackjack	1287	+	164	48475360	65113
chrX	48410247	48610247	harbor1	chrX	48479418	48479574	LINE/L2	1112	-	78	48479496	69249
chrX	48410247	48610247	harbor1	chrX	48479575	48479850	SINE/Alu	1710	+	138	48479713	69466
chrX	48410247	48610247	harbor1	chrX	48479851	48479861	LINE/L2	1112	-	5	48479856	69609
chrX	48410247	48610247	harbor1	chrX	48479862	48480154	SINE/Alu	2433	+	146	48480008	69761
chrX	48410247	48610247	harbor1	chrX	48483202	48483499	LINE/L2	786	-	148	48483350	73103
chrX	48410247	48610247	harbor1	chrX	48483500	48483785	SINE/Alu	1722	-	142	48483642	73395
chrX	48410247	48610247	harbor1	chrX	48483786	48483965	LINE/L2	786	-	90	48483876	73629
chrX	48410247	48610247	harbor1	chrX	48484074	48484368	SINE/Alu	2223	-	147	48484221	73974
chrX	48410247	48610247	harbor1	chrX	48484369	48484687	SINE/Alu	2298	-	159	48484528	74281
chrX	48410247	48610247	harbor1	chrX	48484779	48485010	LINE/L1	589	+	116	48484895	74648
chrX	48410247	48610247	harbor1	chrX	48485011	48485306	SINE/Alu	2396	+	148	48485159	74912
chrX	48410247	48610247	harbor1	chrX	48485307	48485427	LINE/L1	589	+	60	48485367	75120
chrX	48410247	48610247	harbor1	chrX	48485530	48485714	SINE/Alu	1124	+	92	48485622	75375
chrX	48410247	48610247	harbor1	chrX	48485998	48486462	DNA/hAT-Charlie	1333	+	232	48486230	75983
chrX	48410247	48610247	harbor1	chrX	48486463	48486758	SINE/Alu	2399	-	148	48486611	76364
chrX	48410247	48610247	harbor1	chrX	48486809	48487100	SINE/Alu	2347	+	146	48486955	76708
chrX	48410247	48610247	harbor1	chrX	48489059	48489087	LINE/L2	813	-	14	48489073	78826
