H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr1	96244610	96444610	harbor1	chr1	96306530	96306898	DNA/hAT-Charlie	583	-	184	96306714	62104
chr1	96244610	96444610	harbor1	chr1	96317496	96317609	DNA/hAT-Charlie	538	-	56	96317552	72942
chr1	193326713	193526713	harbor1	chr1	193359801	193359955	DNA/hAT-Charlie	605	-	77	193359878	33165
chr1	193326713	193526713	harbor1	chr1	193393228	193393445	DNA/hAT-Charlie	650	-	108	193393336	66623
chr1	193326713	193526713	harbor1	chr1	193409871	193410400	DNA/hAT-Charlie	2346	-	264	193410135	83422
chr1	193326713	193526713	harbor1	chr1	193419262	193419458	DNA/hAT-Charlie	608	-	98	193419360	92647
chr1	56532729	56732729	harbor1	chr1	56586305	56586816	DNA/hAT-Charlie	3792	-	256	56586561	53832
chr1	2751372	2951372	harbor1	chr1	2837122	2837652	DNA/hAT-Charlie	3389	-	265	2837387	86015
chr1	215294019	215494019	harbor1	chr1	215322189	215322366	DNA/hAT-Charlie	530	-	88	215322277	28258
chr1	215294019	215494019	harbor1	chr1	215337809	215337973	DNA/hAT-Charlie	616	-	82	215337891	43872
chr1	38045254	38245254	harbor1	chr1	38112620	38112860	DNA/hAT-Charlie	612	-	120	38112740	67486
chr1	38045254	38245254	harbor1	chr1	38122203	38122266	DNA/hAT-Charlie	429	-	32	38122235	76981
chr1	38045254	38245254	harbor1	chr1	38122584	38122639	DNA/hAT-Charlie	429	-	28	38122612	77358
chr1	38045254	38245254	harbor1	chr1	38125181	38125318	DNA/hAT-Charlie	720	-	68	38125249	79995
chr1	61689580	61889580	harbor1	chr1	61712272	61712418	DNA/hAT-Charlie	590	-	73	61712345	22765
chr1	61689580	61889580	harbor1	chr1	61712711	61712859	DNA/hAT-Charlie	590	-	74	61712785	23205
chr1	61689580	61889580	harbor1	chr1	61726026	61726209	DNA/hAT-Charlie	661	-	92	61726118	36538
chr1	61689580	61889580	harbor1	chr1	61751413	61751543	DNA/hAT-Charlie	601	-	65	61751478	61898
chr1	61689580	61889580	harbor1	chr1	61752158	61752303	DNA/hAT-Charlie	601	-	72	61752230	62650
chr1	61689580	61889580	harbor1	chr1	61752626	61752851	DNA/hAT-Charlie	601	-	112	61752738	63158
chr1	61689580	61889580	harbor1	chr1	61753013	61753170	DNA/hAT-Charlie	483	-	78	61753091	63511
chr1	61689580	61889580	harbor1	chr1	61753238	61753516	DNA/hAT-Charlie	860	-	139	61753377	63797
chr1	61689580	61889580	harbor1	chr1	61753810	61754353	DNA/hAT-Charlie	860	-	272	61754082	64502
chr1	61689580	61889580	harbor1	chr1	61755672	61755806	DNA/hAT-Charlie	743	-	67	61755739	66159
chr1	61689580	61889580	harbor1	chr1	61756093	61756211	DNA/hAT-Charlie	743	-	59	61756152	66572
chr1	102982162	103182162	harbor1	chr1	103040802	103040982	DNA/hAT-Charlie	442	-	90	103040892	58730
chr1	247505213	247705213	harbor1	chr1	247547600	247547698	DNA/hAT-Charlie	520	-	49	247547649	42436
chr1	145761999	145961999	harbor1	chr1	145804942	145805087	DNA/hAT-Charlie	546	-	72	145805014	43015
chr1	145761999	145961999	harbor1	chr1	145813822	145813994	DNA/hAT-Charlie	1095	-	86	145813908	51909
chr1	145761999	145961999	harbor1	chr1	145814278	145814340	DNA/hAT-Charlie	1095	-	31	145814309	52310
chr1	206125916	206325916	harbor1	chr1	206142556	206142727	DNA/hAT-Charlie	688	-	86	206142642	16726
chr1	206125916	206325916	harbor1	chr1	206142744	206142889	DNA/hAT-Charlie	587	-	72	206142816	16900
chr1	206125916	206325916	harbor1	chr1	206154116	206154488	DNA/hAT-Charlie	935	-	186	206154302	28386
chr1	74353744	74553744	harbor1	chr1	74378019	74378142	DNA/hAT-Charlie	503	-	62	74378081	24337
chr1	74353744	74553744	harbor1	chr1	74393652	74394002	DNA/hAT-Charlie	1806	-	175	74393827	40083
chr1	74353744	74553744	harbor1	chr1	74404492	74404678	DNA/hAT-Charlie	1024	-	93	74404585	50841
chr1	74353744	74553744	harbor1	chr1	74437755	74437924	DNA/hAT-Charlie	423	-	84	74437839	84095
chr1	114150221	114350221	harbor1	chr1	114171673	114171870	DNA/hAT-Charlie	992	-	98	114171771	21550
chr1	114150221	114350221	harbor1	chr1	114176127	114176274	DNA/hAT-Charlie	478	-	74	114176201	25980
chr1	114150221	114350221	harbor1	chr1	114178075	114178612	DNA/hAT-Charlie	1356	-	268	114178343	28122
chr1	114150221	114350221	harbor1	chr1	114178781	114178829	DNA/hAT-Charlie	1356	-	24	114178805	28584
chr1	114150221	114350221	harbor1	chr1	114225400	114225583	DNA/hAT-Charlie	867	-	92	114225492	75271
chr1	114150221	114350221	harbor1	chr1	114232276	114232531	DNA/hAT-Charlie	669	-	128	114232404	82183
chr1	199803951	200003951	harbor1	chr1	199813815	199814008	DNA/hAT-Charlie	607	-	96	199813911	9960
chr1	199803951	200003951	harbor1	chr1	199820606	199820822	DNA/hAT-Charlie	1110	-	108	199820714	16763
chr1	201026708	201226708	harbor1	chr1	201041887	201042041	DNA/hAT-Charlie	648	-	77	201041964	15256
chr1	201026708	201226708	harbor1	chr1	201049953	201050099	DNA/hAT-Charlie	416	-	73	201050026	23318
chr1	201026708	201226708	harbor1	chr1	201055507	201055692	DNA/hAT-Charlie	890	-	92	201055599	28891
chr1	201026708	201226708	harbor1	chr1	201086240	201086360	DNA/hAT-Charlie	1714	-	60	201086300	59592
chr1	201026708	201226708	harbor1	chr1	201086685	201087010	DNA/hAT-Charlie	1714	-	162	201086847	60139
chr1	201026708	201226708	harbor1	chr1	201104161	201104379	DNA/hAT-Charlie	736	-	109	201104270	77562
chr1	21703949	21903949	harbor1	chr1	21794540	21794764	DNA/hAT-Charlie	969	-	112	21794652	90703
chr1	144283332	144483332	harbor1	chr1	144293031	144293248	DNA/hAT-Charlie	744	-	108	144293139	9807
chr1	144283332	144483332	harbor1	chr1	144325717	144325909	DNA/hAT-Charlie	1179	-	96	144325813	42481
chr1	220592982	220792982	harbor1	chr1	220658337	220658510	DNA/hAT-Charlie	835	-	86	220658423	65441
chr1	67038643	67238643	harbor1	chr1	67045689	67045869	DNA/hAT-Charlie	660	-	90	67045779	7136
chr1	67038643	67238643	harbor1	chr1	67096839	67097041	DNA/hAT-Charlie	505	-	101	67096940	58297
chr1	67038643	67238643	harbor1	chr1	67127412	67127588	DNA/hAT-Charlie	522	-	88	67127500	88857
chr1	67038643	67238643	harbor1	chr1	67127971	67128158	DNA/hAT-Charlie	481	-	94	67128065	89422
chr1	152106119	152306119	harbor1	chr1	152188166	152188234	DNA/hAT-Charlie	468	-	34	152188200	82081
chr1	152106119	152306119	harbor1	chr1	152188535	152188694	DNA/hAT-Charlie	468	-	80	152188615	82496
chr1	152106119	152306119	harbor1	chr1	152203777	152204119	DNA/hAT-Charlie	2138	-	171	152203948	97829
chr1	152106119	152306119	harbor1	chr1	152204923	152205059	DNA/hAT-Charlie	420	-	68	152204991	98872
chr1	179157233	179357233	harbor1	chr1	179213069	179213278	DNA/hAT-Charlie	530	-	104	179213173	55940
chr1	59604000	59804000	harbor1	chr1	59682794	59683023	DNA/hAT-Charlie	1110	-	114	59682908	78908
chr1	72566007	72766007	harbor1	chr1	72615281	72615400	DNA/hAT-Charlie	764	-	60	72615341	49334
chr1	72566007	72766007	harbor1	chr1	72635806	72636016	DNA/hAT-Charlie	1016	-	105	72635911	69904
chr1	233496035	233696035	harbor1	chr1	233534622	233534833	DNA/hAT-Charlie	976	-	106	233534728	38693
chr1	233496035	233696035	harbor1	chr1	233555855	233556062	DNA/hAT-Charlie	888	-	104	233555959	59924
chr1	200422372	200622372	harbor1	chr1	200446701	200447037	DNA/hAT-Charlie	2342	-	168	200446869	24497
chr1	200422372	200622372	harbor1	chr1	200504174	200504303	DNA/hAT-Charlie	609	-	64	200504238	81866
chr1	200422372	200622372	harbor1	chr1	200504644	200504964	DNA/hAT-Charlie	1749	-	160	200504804	82432
chr1	28884288	29084288	harbor1	chr1	28953805	28953982	DNA/hAT-Charlie	930	-	88	28953893	69605
chr1	28884288	29084288	harbor1	chr1	28954854	28955106	DNA/hAT-Charlie	652	-	126	28954980	70692
chr1	29790768	29990768	harbor1	chr1	29792460	29792553	DNA/hAT-Charlie	550	-	46	29792506	1738
chr1	29790768	29990768	harbor1	chr1	29792858	29792926	DNA/hAT-Charlie	550	-	34	29792892	2124
chr1	29790768	29990768	harbor1	chr1	29792900	29793088	DNA/hAT-Charlie	601	-	94	29792994	2226
chr1	29790768	29990768	harbor1	chr1	29812013	29812230	DNA/hAT-Charlie	950	-	108	29812121	21353
chr1	82675227	82875227	harbor1	chr1	82692446	82692938	DNA/hAT-Charlie	703	-	246	82692692	17465
chr1	82675227	82875227	harbor1	chr1	82696370	82696837	DNA/hAT-Charlie	1365	-	234	82696604	21377
chr1	82675227	82875227	harbor1	chr1	82760545	82760769	DNA/hAT-Charlie	1043	-	112	82760657	85430
chr1	214447168	214647168	harbor1	chr1	214457622	214457918	DNA/hAT-Charlie	1304	-	148	214457770	10602
chr1	214447168	214647168	harbor1	chr1	214491376	214491681	DNA/hAT-Charlie	1613	-	152	214491528	44360
chr1	214447168	214647168	harbor1	chr1	214537791	214538101	DNA/hAT-Charlie	1302	-	155	214537946	90778
chr1	2390956	2590956	harbor1	chr1	2396020	2396168	DNA/hAT-Charlie	428	-	74	2396094	5138
chr1	2390956	2590956	harbor1	chr1	2421645	2421691	DNA/hAT-Charlie	1985	-	23	2421668	30712
chr1	2390956	2590956	harbor1	chr1	2422293	2422675	DNA/hAT-Charlie	1985	-	191	2422484	31528
chr1	2390956	2590956	harbor1	chr1	2422842	2423137	DNA/hAT-Charlie	1985	-	148	2422990	32034
chr1	5150589	5350589	harbor1	chr1	5198626	5198845	DNA/hAT-Charlie	1361	-	110	5198736	48147
chr1	25316005	25516005	harbor1	chr1	25350690	25350855	DNA/hAT-Charlie	753	-	82	25350772	34767
